Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
PADARIA E PIZZARIA OLIVEIRA,PADARIA E PIZZARIA OLIVEIRA LTDA,09542020000169,09542020000169,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,1,25000,Não Informado,206-2,Sociedade Empresária Limitada,0,14,2008-05-06,Alta,-,BRASIL,São Paulo,OSASCO,VELOSO,ALMIRANTE BARROSO,06152100,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,1,-,+55 (11) 3691-3403,-,margenassessoria@terra.com.br,EDICARLOS OLIVEIRA CARVALHO|AILTON JUAREZ OLIVEIRA DE CARVALHO,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria|pizza,Não,RUA,1,-
PADARIA E CONFEITARIA DAS FLORES,PAULO CESAR DOS SANTOS PADARIA,08260645000175,08260645000175,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,536548,4,2000,Não Informado,213-5,Empresário (Individual),0,15,2006-07-27,Média,-,BRASIL,São Paulo,OSASCO,JARDIM DAS FLORES,GARDENIA,06110240,-,-,sim,sim,SP,(3) R$360k - R$1M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,536548,1091-1/02,4,+55 (11) 3654-1809,+55 (11) 3361-5997,-,padariaeconfeitariadasflores@hotmail.com,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,RUA,275,-
PADARIA ESTRELA,C.F DA SILVA,09350985000150,09350985000150,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,0,5000,Não Informado,213-5,Empresário (Individual),0,14,2008-01-30,Média,-,BRASIL,São Paulo,MAUA,JARDIM MAUA,IDAIL MARTIN PILLON,09340390,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,0,"+55 (11) 3421-8590,+55 (11) 4541-3147",+55 (11) 4519-5237,-,lopesbandeirantes@uol.com.br,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,RUA,183,-
PADARIA FLOR DE MAUA,KAREN CRISTINE OLIVEIRA DA SILVA 42674835826,24518309000136,24518309000136,matriz,Fabricação de produtos de panificação industrial,Industria,-,-,500,Não Informado,213-5,Empresário (Individual),0,6,2016-04-04,-,-,BRASIL,São Paulo,MAUA,JARDIM ITAPARK,GERALDO RANCK,09351540,-,-,sim,sim,SP,-,-,-,-,ATIVA,Sim,Optante pelo Simples,-,1091-1/01,-,-,+55 (11) 4542-3842,-,karemtonipietro@hotmail.com,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,-,padaria,Não,RUA,240,-
PADARIA MAGALHAES,PADARIA E MERCEARIA PAIXAO DIAS LTDA,12266781000140,12266781000140,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,3,300000,Não Informado,206-2,Sociedade Empresária Limitada,0,11,2010-07-16,Média,-,BRASIL,São Paulo,GUARULHOS,JARDIM SANTO EXPEDITO,JOSE BRUMATTI,07160170,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Não Optante,360000,1091-1/02,3,+55 (11) 2684-4597,+55 (11) 2685-1404,-,assessoriacontabiljvpp@ig.com.br,KENNEDY OLIVEIRA SANTOS,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,AVENIDA,2596,-
-,PADARIA SOUSA MELO LTDA,07348784000192,07348784000192,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,4,-,Não Informado,206-2,Sociedade Empresária Limitada,0,17,2005-03-31,Alta,-,BRASIL,São Paulo,DIADEMA,ELDORADO,NOSSA SENHORA DOS NAVEGANTES,09972260,-,-,sim,não,SP,(2) R$81k - R$360k,(2) 4 - 50,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,4,-,+55 (11) 4049-6458,-,-,EDILSON RODRIGUES DE MELO|CICERA RODRIGUES DE SOUSA ARAUJO,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,AVENIDA,1189,-
-,PADARIA E CONFEITARIA ABC LTDA,02796917000170,02796917000170,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,720683,4,15000,Demais,206-2,Sociedade Empresária Limitada,0,23,1998-10-16,Alta,Estável,BRASIL,São Paulo,OSASCO,AYROSA,SAO JOSE,06283120,-,-,sim,sim,SP,(3) R$360k - R$1M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,720683,1091-1/02,4,"+55 (67) 3383-1760,+55 (19) 3368-1649",+55 (19) 3326-3121,-,escrita@controleoeste.com.br,ANIBAL DOS SANTOS FREIRE|ADENICE APARECIDA BRITO QUEIROZ,Fabricação de outros produtos alimentícios,10.9,Sudeste,(6) R$600k - R$1M,padaria,Não,AVENIDA,38,-
RESTAURANTE SAN DIEGO,CAMAROTO CORTEZ DOCES E SALGADOS LTDA,09524615000191,09524615000191,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,1,10000,Não Informado,206-2,Sociedade Empresária Limitada,0,14,2008-04-24,Média,-,BRASIL,São Paulo,OSASCO,ADALGISA,MARIA GRANDIN DOS SANTOS,06030410,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,1,+55 (11) 3769-2199,+55 (11) 3714-1965,-,expediente@contabiljaguare.com.br,ISABEL APARECIDA CAMAROTE CORTEZ|DIEGO CORTEZ,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,restaurante,Não,RUA,89,-
PADARIA SANTA CLARA,EDUARDO SILVA LIMA 43032295807,46048657000120,46048657000120,matriz,Fabricação de produtos de panificação industrial,Industria,-,-,1000,Não Informado,213-5,Empresário (Individual),0,0,2022-04-16,-,-,BRASIL,São Paulo,EMBU DAS ARTES,JARDIM SANTA CLARA,LAMBARI,06843080,-,-,não,não,SP,-,-,-,-,ATIVA,Sim,Optante pelo Simples,-,1091-1/01,-,-,-,-,-,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,-,padaria,Não,RUA,-,CONJ
MERCEARIA E PADARIA DEBORAH LTDA,MERCEARIA E PADARIA DEBORAH LTDA,24352961000123,24352961000123,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,-,80000,Não Informado,206-2,Sociedade Empresária Limitada,0,10,2011-10-21,Baixa,-,BRASIL,São Paulo,EMBU DAS ARTES,JARDIM ANGELA,FLAMENGO,06824280,-,-,sim,sim,SP,(2) R$81k - R$360k,-,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,-,"+55 (11) 4203-3515,+55 (11) 8108-4874",+55 (11) 2812-7870,-,deboraharaujoferreiraoi@gmail.com,AIRTON SANTOS FERREIRA|DEBORAH TATHIANE ARAUJO LEITE,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,RUA,320,-
