Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
-,PADARIA E LANCHONETE MARIA EUGENIA LTDA,46281011000198,46281011000198,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,-,-,3000,Não Informado,206-2,Sociedade Empresária Limitada,0,0,2022-05-05,-,-,BRASIL,São Paulo,SAO PAULO,TATUAPE,MARIA EUGENIA,03081030,-,-,não,não,SP,-,-,-,-,ATIVA,-,-,-,1091-1/02,-,-,-,-,-,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,-,lanch|padaria,Não,RUA,-,-
MOOCA PAES E DOCES,M.D. MACEDO PADARIA,19037239000164,19037239000164,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,720000,-,50000,Empresa de Pequeno Porte,213-5,Empresário (Individual),0,8,2013-10-09,Baixa,-,BRASIL,São Paulo,SAO PAULO,JARDIM ARIZE,ADANA,03573040,-,-,sim,sim,SP,(3) R$360k - R$1M,-,Pequena,-,ATIVA,Não,Não Optante,720000,1091-1/02,-,"+55 (11) 4739-8151,+55 (11) 7838-9188",+55 (11) 9999-9999,-,m.marcel.deives@hotmail.com,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,(6) R$600k - R$1M,padaria,Não,RUA,68,-
PAES E DOCES ADELAIDE MARIA,M A P DOS SANTOS PADARIA E MINIMERCADO,45615063000190,45615063000190,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,-,-,80000,Não Informado,213-5,Empresário (Individual),0,0,2022-03-11,-,-,BRASIL,São Paulo,SAO PAULO,LAJEADO,GASPAR DIAS DE ATAIDE,08452020,-,-,não,não,SP,-,-,-,-,ATIVA,Não,Optante pelo Simples,-,1091-1/02,-,-,-,-,-,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,-,padaria,Não,RUA,-,-
PADARIA GENESIO,DIEGO FELIPE DA SILVA 40999111876,46133404000154,46133404000154,matriz,Fabricação de produtos de panificação industrial,Industria,-,-,81000,Não Informado,213-5,Empresário (Individual),0,0,2022-04-25,-,-,BRASIL,São Paulo,SAO PAULO,JARDIM DAMASCENO,DOMINGOS AREVALO,02879070,-,-,não,não,SP,-,-,-,-,ATIVA,Sim,Optante pelo Simples,-,1091-1/01,-,-,-,-,-,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,-,padaria,Não,RUA,-,CASA B
PADARIA ZEUS,ELIEZE DOS SANTOS PADARIA - EIRELI,20906945000184,20906945000184,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,1,72400,Não Informado,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,7,2014-08-26,Média,-,BRASIL,São Paulo,SAO PAULO,JARDIM FIGUEIRA GRANDE,DOMINGOS AFONSO SERTAO,04914000,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,1,+55 (11) 5513-5429,+55 (11) 4114-8689,-,calixta.cleusa@gmail.com,ELIEZE DOS SANTOS,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,RUA,522,-
-,DELI GARAGE DOCERIA & PADARIA EIRELI,27839849000100,27839849000100,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,2880000,12,200000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,4,2017-05-29,Média,-,BRASIL,São Paulo,SAO PAULO,JARDIM DAS BANDEIRAS,MEDEIROS DE ALBUQUERQUE,05436060,-,deligarage.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,1091-1/02,12,-,+55 (11) 3562-0204,-,societaria1@lidergc.com.br,FERNANDA CANDIDO GOMES VALDIVIA,Fabricação de outros produtos alimentícios,10.9,Sudeste,"(8) +1,2M",padaria,Não,RUA,325,-
BREAD FACTORY,CLEMENTINO PADARIA ARTESANAL LTDA,62071162000178,62071162000178,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,-,10000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,1,32,1989-12-08,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA CLEMENTINO,CUNHA,04037030,-,-,sim,sim,SP,(2) R$81k - R$360k,-,Micro,-,ATIVA,Não,Optante pelo Simples,720000,1091-1/02,0,-,+55 (11) 2021-7179,-,volume1@globo.com,LUIS APARECIDO KAZAKEVICIUS|DANIELLA DE AZEVEDO MARTINS KAZAKEVICIUS|TANIA CRISTINA SIMAO LEITE,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,RUA,110,-
RAINHA DO CARANDIRU,PADARIA E CONFEITARIA RAINHA DO CARANDIRU LTDA,10369215000138,10369215000138,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,2,6000,Não Informado,206-2,Sociedade Empresária Limitada,0,13,2008-09-19,Alta,-,BRASIL,São Paulo,SAO PAULO,CARANDIRU,DOM JOSE MAURICIO,02028000,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,2,-,+55 (11) 2692-1886,-,impacta@impactacont.com.br,FRANCISCO ALVES DOS SANTOS|ROSIMEIRE XAVIER DE SOUSA SANTOS,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,RUA,187,-
-,PADARIA ROSA DO PORTO LTDA,21550557000176,21550557000176,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,14,50000,Não Informado,206-2,Sociedade Empresária Limitada,0,7,2014-12-11,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA COSTA MELO,PORTO DAS FLORES,03625140,-,-,sim,sim,SP,(2) R$81k - R$360k,(2) 4 - 50,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,14,-,+55 (11) 2685-6606,-,orgmtakaki@uol.com.br,PAULO CALIXTO DA COSTA,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,RUA,100,-
NOVA APARENCIA II,REGIANE PADARIA LTDA,22644807000108,22644807000108,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,283599,0,100000,Não Informado,206-2,Sociedade Empresária Limitada,0,6,2015-06-15,Média,-,BRASIL,São Paulo,SAO PAULO,JARDIM COPACABANA,FRANCISCA NUNES RODRIGUES,04939160,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,283599,1091-1/02,0,-,+55 (11) 5263-5215,-,gilberto_contabil@hotmail.com,REGIANE DE MEDEIROS OLIVEIRA,Fabricação de outros produtos alimentícios,10.9,Sudeste,(4) R$150k - R$350k,padaria,Não,RUA,6,-
RESTAURANTE SAO JORGE,MERCEARIA E CONFEITARIA CHAFIK ABIB LTDA,51213718000105,51213718000105,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,5,13000,Não Informado,206-2,Sociedade Empresária Limitada,0,43,1979-04-10,Alta,-,BRASIL,São Paulo,SAO PAULO,PARAISO,DESEMBARGADOR ELISEU GUILHERME,04004030,-,-,não,não,SP,(2) R$81k - R$360k,(2) 4 - 50,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,5,-,-,-,-,JOELINA MESQUITA DA SILVA DE AGUIAR|FELIPE SILVA AGUIAR,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,restaurante,Não,RUA,322,-
MIMOS GELADOS,KAMYLA PERPETUA SANTOS DE BARROS 07329174505,45464736000159,45464736000159,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,-,-,1000,Não Informado,213-5,Empresário (Individual),0,0,2022-02-26,-,-,BRASIL,São Paulo,SAO PAULO,JARDIM SYDNEY,OITO,02981080,-,-,não,não,SP,-,-,-,-,ATIVA,Sim,Optante pelo Simples,-,1091-1/02,-,-,-,-,-,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,-,bar,Não,RUA,-,FUNDOS CASA 04
PIZZARIA SILVA,LUAN MICHAEL SILVA 47743796892,45980154000125,45980154000125,matriz,Fabricação de alimentos e pratos prontos,Industria,-,-,4000,Não Informado,213-5,Empresário (Individual),0,0,2022-04-11,-,-,BRASIL,São Paulo,SAO PAULO,PARQUE BELEM,DORA DA PENHA DOS SANTOS,02850160,-,-,não,não,SP,-,-,-,-,ATIVA,Sim,Optante pelo Simples,-,1096-1/00,-,-,-,-,-,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,-,pizza,Não,RUA,-,CASA
LANCHES PETISCOS DO VALE,CICERA DE PAULA CORREIA DE OLIVEIRA 38092649898,45623695000104,45623695000104,matriz,Fabricação de alimentos e pratos prontos,Industria,-,-,2300,Não Informado,213-5,Empresário (Individual),0,0,2022-03-11,-,-,BRASIL,São Paulo,SAO PAULO,PARQUE SAO LUCAS,FIRMINO ALVES,03239040,-,-,não,não,SP,-,-,-,-,ATIVA,Sim,Optante pelo Simples,-,1096-1/00,-,-,-,-,-,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,-,lanch,Não,RUA,-,-
LANCHES BRASIL,FRANCISCO AURELIO SILVA BEZERRA,26991651000184,26991651000184,matriz,Fabricação de produtos de panificação industrial,Industria,360000,0,1000,Não Informado,213-5,Empresário (Individual),0,5,2017-01-31,Média,-,BRASIL,São Paulo,SAO PAULO,PARQUE CASA DE PEDRA,USHIKICHI KAMIYA,02323000,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/01,0,+55 (11) 6696-0933,+55 (11) 3798-2085,-,izabel@freitascontabil.com.br,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,lanch,Não,RUA,781,-
PADARIA ARTESANAL CHICA FLOR,PADARIA E CONFEITARIA ARTESANAL CHICA FLOR - EIRELI,29170431000188,29170431000188,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,0,100000,Não Informado,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,4,2017-11-29,Média,-,BRASIL,São Paulo,SAO PAULO,CONJUNTO HABITACIONAL TEOTONIO VILELA,TEODORO RICCIO,03928140,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,0,-,+55 (11) 2988-7495,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,cris.cardoso.gastronomia@gmail.com,MARIA CRISTINA CARDOSO,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,RUA,221,APT   24
PANIFICADORA MARIA CLARA,A P SANTOS PADARIA E MINIMERCADO,25043596000138,25043596000138,matriz,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Industria,360000,2,150000,Não Informado,213-5,Empresário (Individual),0,5,2016-06-21,Média,-,BRASIL,São Paulo,SAO PAULO,JARDIM SANTO ANTONIO,JOSE LEAO DOS SANTOS,08032280,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,1091-1/02,2,+55 (11) 5854-2751,+55 (11) 3808-1412,-,paularaissasantos@bol.com.br,-,Fabricação de outros produtos alimentícios,10.9,Sudeste,(5) R$350k - R$600k,padaria,Não,RUA,275,-
