Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
-,WALPHA SUSHI RESTAURANTE LTDA,34580388000169,34580388000169,matriz,Restaurantes e similares,Alimentação,1440000,52,99800,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,2,2019-08-16,Alta,-,BRASIL,São Paulo,BARUERI,GREEN VALLEY ALPHAVILLE,ANDROMEDA,06473000,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(3) 51 - 200,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5611-2/01,52,-,+55 (11) 3654-2553,-,paralegal@confisc.com.br,EDINEIDE RODRIGUES DA FONSECA|SIDINEI DA COSTA SUBRINHO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,AVENIDA,55,TERREOLOJA 2
EMPORIO BETHAVILLE,NS MAZZA ALIMENTOS LTDA,04697015000101,04697015000101,matriz,Restaurantes e similares,Alimentação,2880000,84,500000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,2,20,2001-09-18,Alta,-,BRASIL,São Paulo,BARUERI,JARDIM DOS CAMARGOS,DA PRATA,06410000,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(3) 51 - 200,Pequena,-,ATIVA,Não,Optante pelo Simples,8640000,5611-2/01,84,"+55 (11) 4198-6888,+55 (11) 4198-6088",+55 (11) 1234-5678,-,"nicolas@emporiobethaville.com.br,contato@emporiobethaville.com.br",ALEXANDRE THOMAZ DA SILVA|SILVIO MAZZAFIORI,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,816,LOJA  1
TEMAKERIA,LELIAN RESTAURANTE LTDA,08034096000110,08034096000110,matriz,Restaurantes e similares,Alimentação,40250852,64,5000,Demais,206-2,Sociedade Empresária Limitada,1,16,2006-01-11,Alta,Em declínio,BRASIL,São Paulo,SAO PAULO,ITAIM BIBI,JOAQUIM FLORIANO,04534010,-,temakeriaecia.com.br,sim,sim,SP,(7) R$30M - R$100M,(3) 51 - 200,Grande,-,ATIVA,Não,Não Optante,43468367,5611-2/01,66,-,+55 (11) 3073-0905,-,contabilvitoria@terra.com.br,LEONARDO ERBELLA HOURNEAUX DE MOURA|JOHANNA POCKER LEMOS HOURNEAUX DE MOURA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,307,-
L.R. RESTAURANTE,L.R. RESTAURANTE E LANCHONETE EIRELI,11722182000120,11722182000120,matriz,Fornecimento de alimentos preparados preponderantemente para empresas,Alimentação,1440000,68,78800,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),4,12,2010-02-17,Média,-,BRASIL,São Paulo,SAO CAETANO DO SUL,SANTA MARIA,TIBAGI,09560400,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(3) 51 - 200,Pequena,-,ATIVA,Não,Optante pelo Simples,5760000,5620-1/01,68,"+55 (11) 2714-2020,+55 (11) 2714-2011",+55 (11) 2714-2033,-,contabilidade@lallegro.com.br,TANIA APARECIDA GIARDINA CAETANO,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",lanch|restaurante,Não,RUA,480,SALA  03
MADERO MOOCA,MADERO INDUSTRIA E COMERCIO S.A.,13783221012484,13783221000478,filial,Restaurantes e similares,Alimentação,365937781,51,"1022964295,97",Demais,204-6,Sociedade Anônima Aberta,270,3,2019-02-19,Média,Em crescimento,BRASIL,São Paulo,SAO PAULO,VILA PRUDENTE,CAPITAO PACHECO E CHAVES,03126000,-,restaurantemadero.com.br,sim,sim,SP,(8) R$100M - R$500M,(3) 51 - 200,Grande,-,ATIVA,Não,Não Optante,94833522658,5611-2/01,7611,-,+55 (11) 2209-3763,-,contasapagar@restaurantemadero.com.br,GIUGLIO PAOLO MUNARETTO|ARIEL LEONARDO SZWARC|NICOLAS RAYMOND GORGUET|MURILLO PILOTO PROENCA|RAFAEL DE OLIVEIRA MELLO|LUIZ ADRIANO URBANSKI|LUIZ RENATO DURSKI JUNIOR|MARTIN SECCO ARIAS|SILVIA EMANOELE PEREIRA DE PAULA|FERNANDO CEZAR DANTAS PORFIRIO BORGES|CARLOS BIEDERMANN|MAYSA DITZEL DURSKI MUNARETTO|HIANAE SCHRAMM,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,313,LUC SMO 02072             PISO L2
-,MASTER KITCHEN REFEICOES E LANCHES LTDA,48159669000157,48159669000157,matriz,Fornecimento de alimentos preparados preponderantemente para empresas,Alimentação,13347205,75,100000,Demais,206-2,Sociedade Empresária Limitada,2,40,1981-12-09,Alta,Em crescimento,BRASIL,São Paulo,SAO BERNARDO DO CAMPO,CENTRO,COMENDADOR CARLO MARIO GARDANO,09720470,https://www.instagram.com/masterkitchenrefeicoes,masterkitchen.com.br,sim,sim,SP,(6) R$10M - R$30M,(3) 51 - 200,Médio,-,ATIVA,Não,Não Optante,55519192,5620-1/01,75,+55 (63) 99961-5930,+55 (63) 3474-1545,-,ger@masterkitchen.com.br,JOSEPHINA BERNARDES ROCHA|CRISTINA BERNARDES ROCHA,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",lanch,Sim,RUA,260,-
AOYAMAS,RESTAURANTE AOYAMAS LTDA,01764484000108,01764484000108,matriz,Restaurantes e similares,Alimentação,9281594,55,100000,Demais,206-2,Sociedade Empresária Limitada,0,25,1997-02-25,Alta,Em declínio,BRASIL,São Paulo,SAO PAULO,JARDIM PAULISTANO,DOUTOR MARIO FERRAZ,01453011,https://www.instagram.com/restauranteaoyama/?hl=pt-br,restauranteaoyama.com.br,sim,sim,SP,(5) R$4.8M - R$10M,(3) 51 - 200,Médio,-,ATIVA,Não,Não Optante,9281594,5611-2/01,55,-,+55 (16) 3491-1629,-,"rosa@fivestars.srv.br,fabio@restauranteaoyama.com.br",CLAUDIA YOCIDA|EDUARDO NOBUHIRO NAGAI,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Sim,RUA,563,-
-,RGOES RESTAURANTE LTDA,28727441000109,28727441000109,matriz,Restaurantes e similares,Alimentação,360000,52,20000,Não Informado,206-2,Sociedade Empresária Limitada,0,4,2017-09-26,Alta,-,BRASIL,São Paulo,GUARULHOS,JARDIM FLOR DA MONTANHA,BARTHOLOMEU DE CARLOS,07097420,-,-,sim,sim,SP,(2) R$81k - R$360k,(3) 51 - 200,Micro,-,ATIVA,Não,Optante pelo Simples,360000,5611-2/01,52,-,+55 (11) 2229-6514,-,junrestaurante@gmail.com,VILSON PEREIRA ALMEIDA COSTA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(5) R$350k - R$600k,restaurante,Não,AVENIDA,230,LOJA  LUC 1014
-,CHURRASCARIA NELORE LIMITADA.,45349685000114,45349685000114,matriz,Restaurantes e similares,Alimentação,360000,69,62200,Não Informado,206-2,Sociedade Empresária Limitada,0,41,1981-01-27,Alta,-,BRASIL,São Paulo,SAO PAULO,PINHEIROS,DOS PINHEIROS,05422010,-,-,sim,não,SP,(2) R$81k - R$360k,(3) 51 - 200,Micro,-,ATIVA,Não,Não Optante,360000,5611-2/01,69,-,+55 (11) 3069-9003,-,-,VINICIUS LOURENCO BRAZ,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(5) R$350k - R$600k,-,Não,RUA,355,-
-,SAO JOSE SERVICOS DE BUFFET EIRELI,30840187000100,30840187000100,matriz,Serviços de alimentação para eventos e recepções - bufê,Alimentação,2880000,58,105000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,3,2018-07-03,Média,-,BRASIL,São Paulo,SAO PAULO,VILA NOVA CONCEICAO,BUENO BRANDAO,04509021,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(3) 51 - 200,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,5620-1/02,58,-,+55 (11) 3897-7377,-,josephine@josephine.com.br,PAULO HENRIQUE FACCHINI DE ANDRADE,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",-,Não,RUA,314,-
