Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
NAKKA,RESTAURANTE RNK EIRELI,17080332000126,17080332000126,matriz,Restaurantes e similares,Alimentação,20639711,36,100000,Demais,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),3,9,2012-10-01,Média,Em crescimento,BRASIL,São Paulo,SAO PAULO,ITAIM BIBI,PEDROSO ALVARENGA,04531003,-,restaurantenakka.com.br,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,83608595,5611-2/01,139,"+55 (11) 2594-2577,+55 (11) 2594-4444",+55 (11) 3871-9515,-,vmassessoria@terra.com.br,ROBERTO NAKAMORI|RRNK PARTICIPACOES LTDA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,890,-
BOB'S AV. PAULISTA,OLIFREITAS COMERCIO DE ALIMENTOS LTDA,14331403000128,14331403000128,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,26615236,20,5147904,Demais,206-2,Sociedade Empresária Limitada,0,10,2011-09-20,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,BELA VISTA,PAULISTA,01310200,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,26615236,5611-2/03,20,"+55 (11) 2033-0447,+55 (11) 2956-4076,+55 (11) 2741-9730",+55 (11) 2741-4488,-,levyjdomingos@gmail.com,BFFC AP COMERCIO E PARTICIPACOES LTDA|FABIANO FRANCA DE LIMA|ANTONIO JOSE DETSI PEREIRA|BFFC DO BRASIL - COMERCIO E PARTICIPACOES LTDA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,AVENIDA,1904,-
-,MONDO HADDOCK RESTAURANTE LTDA,31716795000162,31716795000162,matriz,Restaurantes e similares,Alimentação,20259907,12,1000,Demais,206-2,Sociedade Empresária Limitada,0,3,2018-10-08,Média,-,BRASIL,São Paulo,SAO PAULO,CERQUEIRA CESAR,HADDOCK LOBO,01414002,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,20259907,5611-2/01,12,-,+55 (11) 5083-0326,-,wellington.gomes@vlcconsultores.com.br,PM SINERGIA PARTICIPACOES S/A|MARIA AUGUSTA PINTO CORDEIRO MONTANHA TEIXEIRA|FERNANDO SERGIO DE TOLEDO PORTO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,1398,-
TE QUERO COXINHA,HBGD COMERCIO DE ALIMENTOS LTDA,31496439000180,31496439000180,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,20073677,10,40000,Demais,206-2,Sociedade Empresária Limitada,2,3,2018-09-13,Alta,Estável,BRASIL,São Paulo,SAO PAULO,SANTO AMARO,AMADOR BUENO,04752005,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Optante pelo Simples,20433677,5611-2/03,10,-,+55 (11) 4301-0595,-,eduardob@maioncia.com.br,HELENA OLIMPIA DE ALMEIDA BRENNAND GUERRA|ISABELLA GOUVEIA BARBOSA DA SILVA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,-,TERREOQI 114
HOCCA BAR,H.B.M RESTAURANTE LTDA,14604591000110,14604591000110,matriz,Restaurantes e similares,Alimentação,23544582,44,100000,Demais,206-2,Sociedade Empresária Limitada,0,10,2011-11-10,Alta,Em declínio,BRASIL,São Paulo,SAO PAULO,VILA PRUDENTE,CAPITAO PACHECO E CHAVES,03126000,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,23544582,5611-2/01,44,+55 (11) 2061-8954,+55 (11) 3229-8499,-,vamadeo@uol.com.br,ANGELO NORBERTO FERREIRA GABRIEL|BRUNA DOMINGUES GABRIEL,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|restaurante,Não,RUA,313,LOJA  2071
ARTURITO,BATI BRASIL RESTAURANTES LTDA,08035611000187,08035611000187,matriz,Restaurantes e similares,Alimentação,27736323,33,1677562,Demais,206-2,Sociedade Empresária Limitada,0,16,2006-05-11,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,CERQUEIRA CESAR,ARTUR DE AZEVEDO,05404001,-,arturito.com.br,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,27736323,5611-2/01,33,"+55 (11) 3284-3520,+55 (11) 3288-7427,+55 (11) 3063-4951,+55 (11) 3079-2631",-,-,paola.carosella@gmail.com,BENNY BURATTINI GOLDENBERG|PAOLA FLORENCIA CAROSELLA|JASON MARK LOWE,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,542,-
MANIA DE CHURRASCO,PONTO ELDORADO COMERCIO DE ALIMENTOS LTDA,07985900000184,07985900000184,matriz,Restaurantes e similares,Alimentação,21615350,33,5000000,Demais,206-2,Sociedade Empresária Limitada,7,16,2006-04-13,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,PINHEIROS,REBOUCAS,05402600,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,36390706,5611-2/01,225,"+55 (11) 4747-5796,+55 (11) 4742-7889,+55 (11) 4743-2322,+55 (11) 2364-3525,+55 (11) 4747-5430,+55 (11) 99969-5727",+55 (11) 2197-6321,-,administrativo@maniadechurrasco.com,THIAGO CAMELO DE SOUZA|FILLIPHE CAMELO DE SOUZA|LUIS RICARDO YAMANISHI|MARIA LUCIA TACCONI HUESE|ZILA BARBOSA REZENDE|ALESSANDRO GONCALVES PEREIRA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,AVENIDA,3970,LOJA 403-A
PRIME ALIMENTACAO E EVENTOS,F.G.R.SILVA BUFFET E EVENTOS LTDA,09621493000151,09621493000151,matriz,Fornecimento de alimentos preparados preponderantemente para empresas,Alimentação,84414943,237,6000000,Demais,206-2,Sociedade Empresária Limitada,2,13,2008-06-03,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,INTERLAGOS,PEDRO SANTALUCIA,04815250,-,primealimentacao.com.br,sim,sim,SP,(7) R$30M - R$100M,(4) 201 - 500,Grande,-,ATIVA,Não,Não Optante,229523061,5620-1/01,442,"+55 (11) 5923-0909,+55 (11) 5523-1086,+55 (11) 5660-2031,+55 (11) 98783-1258,+55 (11) 5660-2034,+55 (11) 5939-0909",+55 (11) 5547-4535,-,fabiano@buffetprime.com.br,GIULIANO RIBEIRO DA SILVA|FABIANO RIBEIRO DA SILVA,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",-,Não,RUA,250,-
EMPORIO FRUTARIA,TENDA ORGANICA LTDA,23494176000142,23494176000142,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,28810630,1,1907529,Demais,206-2,Sociedade Empresária Limitada,0,6,2015-10-19,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,VILA NOVA CONCEICAO,DIOGO JACOME,04512001,-,emporiofrutaria.com.br,sim,sim,SP,(6) R$10M - R$30M,(1) 1 - 3,Grande,-,ATIVA,Não,Não Optante,28810630,5611-2/03,1,+55 (11) 5080-3310,+55 (11) 5080-3300,-,legalizacao@nkcontabilidade.com.br,GUILHERME RICARDO DE MENEZES JESUS|FLAG PARTICIPACOES EIRELI|MZEIN PARTICIPACOES EIRELI|SFAP PARTICIPACOES EIRELI|LYFE PARTICPACOES EIRELI|NOVA W PARTICIPACOES EIRELI|CLAUDIO CESAR CAROTTA|MARCEL ZEIN,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,616,-
QUALITY SOLUCOES EM ALIMENTACAO E SERVICOS,B & F SOLUCOES EM ALIMENTACAO E SERVICOS LTDA.,07595255000193,07595255000193,matriz,Fornecimento de alimentos preparados preponderantemente para empresas,Alimentação,31642553,-,390000,Demais,206-2,Sociedade Empresária Limitada,1,16,2005-08-03,Média,Em declínio,BRASIL,São Paulo,SAO PAULO,VILA GUMERCINDO,VIGARIO ALBERNAZ,04134020,-,quality-sas.com.br,sim,sim,SP,(7) R$30M - R$100M,-,Grande,-,ATIVA,Não,Não Optante,76850738,5620-1/01,-,-,+55 (19) 3584-4358,-,andre.tome@quality-sas.com.br,THIAGO TOME BORGES|CAIO NASCIMENTO FERNANDES,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",-,Não,RUA,72,-
IDEAL ALIMENTACAO,RC NUTRY ALIMENTACAO LTDA,11164874000109,11164874000109,matriz,Fornecimento de alimentos preparados preponderantemente para empresas,Alimentação,220030890,617,10000000,Demais,206-2,Sociedade Empresária Limitada,9,13,2009-01-07,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,ALTO DE PINHEIROS,GENERAL FURTADO NASCIMENTO,05465070,-,rcnutryalimentacao.com.br,sim,sim,SP,(8) R$100M - R$500M,(5) 501 - 1.000,Grande,-,ATIVA,Não,Não Optante,1270697609,5620-1/01,2176,+55 (11) 3159-0193,+55 (11) 3159-0097,-,financeiro@rcnutryalimentacao.com.br,SPERO PARTICIPACOES S/A|JOSE CARLOS GERALDO,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",-,Não,AVENIDA,684,CONJ  51 E 52
GSA GESTAO EM SERVICOS AUXILIARES,TORRES & VIANA FOOD LTDA,16749701000168,16749701000168,matriz,Fornecimento de alimentos preparados preponderantemente para empresas,Alimentação,89519867,388,1500000,Demais,206-2,Sociedade Empresária Limitada,1,9,2012-08-17,Média,Em crescimento,BRASIL,São Paulo,GUARULHOS,VILA GALVAO,ALBERTO FERREIRA LOPES,07056050,-,-,sim,sim,SP,(7) R$30M - R$100M,(4) 201 - 500,Grande,-,ATIVA,Não,Não Optante,162647354,5620-1/01,388,"+55 (11) 2209-0203,+55 (11) 4304-1520",+55 (11) 2209-0190,-,contratos@torresalimentacao.com.br,HEITOR MOISES TOLEDO XAVIER,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",-,Não,RUA,283,-
-,SOL SH DISTRIBUIDORA DE ALIMENTOS LTDA,96566385000128,96566385000128,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,40642951,0,800000,Demais,206-2,Sociedade Empresária Limitada,0,29,1993-04-19,Alta,Estável,BRASIL,São Paulo,SAO PAULO,CAMBUCI,LINS DE VASCONCELOS,01538001,-,casadasol.com.br,sim,sim,SP,(7) R$30M - R$100M,(1) 1 - 3,Grande,-,ATIVA,Não,Optante pelo Simples,40642951,5611-2/03,0,+55 (11) 2684-5353,+55 (11) 2684-0708,-,sol@shdistribuidora.com.br,ANA MARIA MOREIRA DANTAS,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,AVENIDA,2,BAIXOS
-,BULLGUER ALIMENTACOES LTDA,21288040000150,21288040000150,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,30800000,27,30000,Demais,206-2,Sociedade Empresária Limitada,25,7,2014-10-24,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA NOVA CONCEICAO,DIOGO JACOME,04512001,-,-,sim,sim,SP,(7) R$30M - R$100M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,276533592,5611-2/03,425,-,+55 (11) 3031-8613,-,"legal.triagem@previsaocontabil.com.br,denis.kim@vexsea.com.br,alberto@bullguer.com",THIAGO KOCH DE MENDONCA|ALBERTO GERASSI ABBONDANZA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,606,-
PAO - PADARIA ARTESANAL ORGANICA,PADARIA ARTESANAL ORGANICA LTDA,08791060000181,08791060000181,matriz,Restaurantes e similares,Alimentação,24946785,6,600000,Demais,206-2,Sociedade Empresária Limitada,6,15,2007-04-23,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,CONSOLACAO,BELA CINTRA,01415001,-,padariaartesanal.com.br,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,117529536,5611-2/01,57,+55 (16) 99761-2036,+55 (16) 3421-9406,-,rafamrosa@hotmail.com,GEORGINA MACEDO ROSA|LG PARTICIPACOES E INVESTIMENTOS - EIRELI|BRUNO MACEDO ROSA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",padaria,Não,RUA,1618,-
-,RBX ALIMENTACAO E SERVICOS EIRELI,17033316000182,17033316000182,matriz,Fornecimento de alimentos preparados preponderantemente para empresas,Alimentação,60260324,13,3000000,Demais,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),5,9,2012-09-24,Média,Em crescimento,BRASIL,São Paulo,SAO PAULO,VILA MAFRA,SAO CONSTANCIO,03414010,-,-,sim,sim,SP,(7) R$30M - R$100M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,60980324,5620-1/01,23,+55 (11) 2782-2528,+55 (11) 2506-2420,-,"contabil@vessie.com.br,marcio@vessie.com.br",BRUNA APARECIDA SALGADO MOREIRA,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",-,Não,RUA,463,-
-,EL CAMINO FOODS S.A.,10291637000138,10291637000138,matriz,Restaurantes e similares,Alimentação,97380516,23,"43670989,16",Demais,205-4,Sociedade Anônima Fechada,25,13,2008-08-18,Alta,Em declínio,BRASIL,São Paulo,SAO PAULO,VILA ANASTACIO,BARTOLOMEU PAES,05092000,-,-,sim,sim,SP,(7) R$30M - R$100M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,1428073198,5611-2/01,406,"+55 (11) 3796-8335,+55 (11) 2649-0080,+55 (11) 2649-0087,+55 (11) 97867-5087,+55 (11) 2050-9898,+55 (11) 3476-6756,+55 (11) 3831-1127",+55 (11) 3641-3177,-,juridico@sisenor.com.br,GUSTAVO HERMAN SPINOLA|JORGE AZER MALUF NETO|ELI EDDY ABADA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,139,MZNINOA/B
BASICA REFEICOES,BASICA FORNECIMENTO DE REFEICOES EIRELI,09152761000133,09152761000133,matriz,Fornecimento de alimentos preparados preponderantemente para empresas,Alimentação,71740513,818,9000000,Demais,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),3,14,2007-10-01,Média,Em crescimento,BRASIL,São Paulo,SAO PAULO,MOOCA,CANUTO SARAIVA,03113010,-,-,sim,sim,SP,(7) R$30M - R$100M,(5) 501 - 1.000,Grande,-,ATIVA,Não,Não Optante,281297203,5620-1/01,935,"+55 (11) 3927-8855,+55 (17) 3421-3642,+55 (28) 3517-8468,+55 (11) 3927-8864,+55 (16) 3392-6662,+55 (11) 3927-8881,+55 (17) 3631-0888,+55 (11) 96077-0022",+55 (11) 3927-8888,-,licitacao@basicarefeicoes.com.br,MARIA LEOPOLDINA CONSTANCIA DE PAULA MILAN ROSENTHAL,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",-,Não,RUA,214,-
BENJAMIN A PADARIA,I.B. CAFE LTDA,04914102000173,04914102000173,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,146984379,11,176650858,Demais,206-2,Sociedade Empresária Limitada,28,20,2002-02-13,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,JARDIM PAULISTA,CASA BRANCA,01408000,-,benjaminpadaria.com.br,sim,sim,SP,(8) R$100M - R$500M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,1352997509,5611-2/03,275,-,+55 (11) 3857-3048,-,mundodospaes@hotmail.com,CICLADE PARTICIPACOES LTDA.|MUNDO DOS PAES PARTICIPACOES S/A|DANILO SAMPAIO ZORZI|PAULO MORINI CALIL,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",padaria,Não,ALAMEDA,720,ANDAR 1                   SALA  01
PIADINA ROMAGNOLA,DOLOMITAS JK COMERCIO DE ALIMENTOS LTDA,32345220000143,32345220000143,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,20223730,9,840000,Demais,206-2,Sociedade Empresária Limitada,0,3,2019-01-03,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA NOVA CONCEICAO,PRESIDENTE JUSCELINO KUBITSCHEK,04543011,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Optante pelo Simples,20223730,5611-2/03,9,-,+55 (18) 3341-6279,-,roberto@piadina.com.br,DANIEL LIMA CARVALHO DUARTE|IAN BARUCH HORNETT GUPER,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,AVENIDA,2041,LOJA  405                 PAVMTO3
PIU RESTAURANTE,PIU RESTAURANTE E PARTICIPACOES LTDA,21578185000196,21578185000196,matriz,Restaurantes e similares,Alimentação,29915162,33,4237838,Demais,206-2,Sociedade Empresária Limitada,3,7,2014-12-17,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,PINHEIROS,FERREIRA DE ARAUJO,05428000,-,piurestaurante.com.br,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,69214362,5611-2/01,76,-,+55 (99) 9999-9999,-,contato@contato.com,RODRIGO MARTIN FERRAIOLE TESTA|CENTAURI PARTICIPACOES LTDA|FELIPE TEIXEIRA RODRIGUES DA CUNHA|MARCELO LASKANI|ANA PAULA MAIA BORLENGHI,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,314,-
MAMMA GRASSA,MAMMA GRASSA PRESTACAO DE SERVICOS PARA RESTAURANTES LTDA,12799256000190,12799256000190,matriz,Serviços de alimentação para eventos e recepções - bufê,Alimentação,26879046,22,10000,Demais,206-2,Sociedade Empresária Limitada,0,11,2010-10-21,Média,Em crescimento,BRASIL,São Paulo,SAO PAULO,VILA OLIMPIA,CASA DO ATOR,04546002,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Optante pelo Simples,26879046,5620-1/02,22,+55 (14) 3656-6347,+55 (14) 3656-1736,-,marcos@datecon.com.br,LIVIA DE ABREU RIDOLFI|AIRTON VALADAO RIDOLFI JUNIOR,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",restaurante,Não,RUA,608,ANDAR 1                   SALA  02
-,BUFFET 18 DO FORTE LTDA,23596284000126,23596284000126,matriz,Serviços de alimentação para eventos e recepções - bufê,Alimentação,27340830,39,10000,Demais,206-2,Sociedade Empresária Limitada,2,6,2015-11-04,Média,Em declínio,BRASIL,São Paulo,BARUERI,DEZOITO DO FORTE EMPRESARIAL/ALPHAVILLE.,COPACABANA,06472001,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Optante pelo Simples,64586549,5620-1/02,97,-,+55 (15) 3283-2943,-,classico@classico-alphaville.com.br,MARIA ALICE FERNANDES FURINI|ANTONIO COELHO DE OLIVEIRA FILHO,"Serviços de catering, bufê e outros serviços de comida preparada",56.2,Sudeste,"(8) +1,2M",-,Não,AVENIDA,166,-
