Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
COMIDA DA FAZENDA E PIZZARIA,COMIDA DA FAZENDA E PIZZARIA LTDA,30755891000157,30755891000157,matriz,Restaurantes e similares,Alimentação,19563195,-,150000,Demais,206-2,Sociedade Empresária Limitada,0,3,2018-06-21,Média,-,BRASIL,São Paulo,SAO PAULO,BELENZINHO,ARINAIA,03171040,-,-,sim,sim,SP,(6) R$10M - R$30M,-,Médio,-,ATIVA,Não,Optante pelo Simples,19563195,5611-2/01,-,+55 (11) 2592-7299,+55 (11) 4787-2977,-,comidadafazenda@gmail.com,NERIVANIA FERNANDES DE LIMA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",pizza,Não,RUA,182,-
BY KOJI,LIBERDADE COMERCIO DE ALIMENTOS E BEBIDAS LTDA.,12355884000186,12355884000186,matriz,Restaurantes e similares,Alimentação,9730186,21,1600000,Demais,206-2,Sociedade Empresária Limitada,3,11,2010-07-26,Média,Estável,BRASIL,São Paulo,SAO PAULO,JARDIM LEONOR,ROBERTO GOMES PEDROSA,05653070,-,-,sim,sim,SP,(5) R$4.8M - R$10M,(2) 4 - 50,Médio,-,ATIVA,Não,Não Optante,35391469,5611-2/01,51,-,+55 (63) 3476-2474,-,rocaorg@rocacontabil.com.br,MERI TEREZINHA MARQUES DE MAIO|CARLOS KOJI YOKOMIZO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,PRAÇA,1,ESPACO/ENTRE OS           GIGANTES 32 E 33          SETOR TERREO DO           ESTADIO DO MORUMBI
-,MOROLI RESTAURANTE LTDA,06370232000118,06370232000118,matriz,Restaurantes e similares,Alimentação,5228967,15,30000,Demais,206-2,Sociedade Empresária Limitada,0,17,2004-06-29,Alta,Estável,BRASIL,São Paulo,SAO PAULO,CENTRO,DA CANTAREIRA,01024000,-,-,sim,não,SP,(5) R$4.8M - R$10M,(2) 4 - 50,Médio,-,ATIVA,Não,Não Optante,5228967,5611-2/01,15,+55 (11) 3229-8499,+55 (11) 2965-3684,-,-,ROSELI JORGE FERREIRA GABRIEL,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,306,BOX MZ 02
-,MAHAU RESTOBAR LTDA,29365747000125,29365747000125,matriz,Restaurantes e similares,Alimentação,9474870,31,1200000,Não Informado,206-2,Sociedade Empresária Limitada,0,4,2018-01-05,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,ITAIM BIBI,BRIGADEIRO FARIA LIMA,04538133,-,-,sim,sim,SP,(5) R$4.8M - R$10M,(2) 4 - 50,Médio,-,ATIVA,Não,Optante pelo Simples,9474870,5611-2/01,31,-,+55 (11) 4191-9141,-,financeiro@manjericaoalphaville.com.br,ADILSON FERREIRA LEAO|CARLOS FERNANDO MACEDO FERREIRA|SABRINA LAIS MACEDO FERREIRA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar,Não,AVENIDA,3729,TERREOA
-,CAMARGO S CAFE - EIRELI,16551865000186,16551865000186,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,13545398,19,300000,Demais,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),3,9,2012-07-17,Alta,Em declínio,BRASIL,São Paulo,COTIA,JARDIM DINORAH,PROFESSOR JOSE BARRETO,06703000,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Médio,-,ATIVA,Não,Optante pelo Simples,84422068,5611-2/03,34,"+55 (11) 4612-9488,+55 (11) 4777-0144,+55 (11) 4193-6040",+55 (11) 4195-2300,-,classico@classico-alphaville.com.br,RODRIGO LEME CAMARGO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,AVENIDA,149,-
-,LM09 PARTICIPACOES - EIRELI,26661755000120,26661755000120,matriz,Restaurantes e similares,Alimentação,6849483,1,100000,Demais,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,5,2016-12-05,Média,Em crescimento,BRASIL,São Paulo,SAO PAULO,INDIANOPOLIS,LAVANDISCA,04515011,-,-,sim,sim,SP,(5) R$4.8M - R$10M,(1) 1 - 3,Médio,-,ATIVA,Não,Optante pelo Simples,6849483,5611-2/01,1,-,+55 (11) 5031-2860,-,legalizacao@contabem.com.br,MARIA REGINA GODINHO MARQUES DIAS,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,AVENIDA,519,-
-,FG BAR E RESTAURANTE LTDA.,38714301000150,38714301000150,matriz,Restaurantes e similares,Alimentação,19433262,-,900000,Demais,206-2,Sociedade Empresária Limitada,0,1,2020-09-23,Média,-,BRASIL,São Paulo,SAO PAULO,PINHEIROS,DOS PINHEIROS,05422000,-,-,sim,sim,SP,(6) R$10M - R$30M,-,Médio,-,ATIVA,Não,Optante pelo Simples,19433262,5611-2/01,-,-,+55 (11) 3116-2233,-,rsanchez@pacaembucnc.com.br,JEANE MARIA ARAUJO DE SOUZA|JOSE CARLOS MARQUES FERREIRA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|restaurante,Não,RUA,436,-
-,"PECORINOX BAR, RESTAURANTE, TABACARIA E EVENTOS LTDA",11899228000181,11899228000181,matriz,Restaurantes e similares,Alimentação,8808274,20,62200,Demais,206-2,Sociedade Empresária Limitada,0,12,2010-04-30,Alta,Estável,BRASIL,São Paulo,SAO PAULO,JARDIM PAULISTA,JOAQUIM EUGENIO DE LIMA,01403002,-,-,sim,sim,SP,(5) R$4.8M - R$10M,(2) 4 - 50,Médio,-,ATIVA,Não,Optante pelo Simples,8808274,5611-2/01,20,"+55 (11) 2197-7272,+55 (11) 97816-3009,+55 (11) 98295-9263,+55 (11) 2337-0211,+55 (11) 2339-2887,+55 (11) 2372-4670,+55 (11) 3044-5879,+55 (11) 3266-2427,+55 (11) 3554-3432,+55 (11) 3842-2375,+55 (11) 3846-1006,+55 (11) 3862-4524,+55 (11) 4191-2502,+55 (11) 4436-8654,+55 (11) 4440-1314,+55 (11) 4526-2952,+55 (11) 5070-7212,+55 (19) 3936-2087,+55 (31) 3166-0755,+55 (47) 3263-8487,+55 (61) 3033-8...",+55 (11) 3032-7552,-,renato@lioncont.com.br,FERNANDA BARBOSA SILVEIRA|JULIANA ALVES SILVA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|restaurante,Não,ALAMEDA,1706,-
-,CCSP RESTAURANTE E EVENTOS LTDA.,10254776000191,10254776000191,matriz,Restaurantes e similares,Alimentação,7173170,31,300000,Demais,206-2,Sociedade Empresária Limitada,0,13,2008-08-06,Alta,Em declínio,BRASIL,São Paulo,SAO PAULO,CERQUEIRA CESAR,PADRE JOAO MANUEL,01411001,-,-,sim,sim,SP,(5) R$4.8M - R$10M,(2) 4 - 50,Médio,-,ATIVA,Não,Não Optante,7173170,5611-2/01,31,+55 (11) 2309-6005,+55 (11) 2309-6004,-,seta@setacontabil.com.br,MARCELO MOROZINI BRUNI,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,1055,-
GCH SERVICOS DE EVENTOS,GCH SERVICOS DE EVENTOS EIRELI,30539176000187,30539176000187,matriz,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",Alimentação,5077854,32,100000,Demais,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,3,2018-05-23,Média,Estável,BRASIL,São Paulo,SAO PAULO,ITAIM BIBI,ARACARI,01453020,-,-,sim,sim,SP,(5) R$4.8M - R$10M,(2) 4 - 50,Médio,-,ATIVA,Não,Optante pelo Simples,5077854,5611-2/04,32,-,+55 (11) 3078-9333,-,MEGCHALEZINHO.COM,MEG MATTANI PEREYRA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,79,-
