Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
-,BAR LANCHES E RESTAURANTE BOM JESUS EIRELI,59150722000175,59150722000175,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,1440000,6,99800,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,52,1969-08-13,Alta,-,BRASIL,São Paulo,DIADEMA,PIRAPORINHA,BOM JESUS DE PIRAPORINHA,09951550,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5611-2/03,6,-,+55 (11) 4126-1656,-,legalizacao@contabilregente.com.br,JOSE LEITE DA SILVA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|lanch|restaurante,Não,PRAÇA,289,-
OZINHO BURGUER E CARNE,OZINHO BURGUER E CARNE EIRELI,37595438000170,37595438000170,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,2880000,-,110000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,1,2020-07-02,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA MARIA,PROFESSORA MARIA JOSE BARONE FERNANDES,02117022,-,-,sim,sim,SP,(4) R$1M - R$4.8M,-,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,5611-2/03,-,-,+55 (11) 2768-2813,-,tarcisio@bardozinho.com.br,FELIPE GANDOLFI,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",burg,Não,RUA,770,-
-,BAR E LANCHES 19-19-19 - EIRELI,03695872000290,03695872000100,filial,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,2880000,8,110000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),1,9,2013-04-22,Média,-,BRASIL,São Paulo,SAO PAULO,IPIRANGA,CISPLATINA,04211040,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Não Optante,5760000,5611-2/03,21,-,+55 (11) 4329-5445,-,gbrempresarial@yahoo.com.br,NATALIA DELBOSQUE GONCALVES,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|lanch,Não,RUA,31,-
COMPANY CASUAL MENU,EMMI LANCHONETE E BAR EIRELI,04814525000111,04814525000111,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,3103407,0,2000000,Demais,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,20,2001-12-17,Alta,Em declínio,BRASIL,São Paulo,SAO PAULO,BELA VISTA,PAULISTA,01311300,-,subitorestaurante.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Não Optante,3103407,5611-2/03,0,+55 (11) 3107-1598,+55 (11) 3283-4366,-,expediente@paciniocntabil.com.br,FERNANDO BERNARDO RODRIGUES,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|lanch,Não,AVENIDA,2073,LOJA  104 E 134
KBURGER,KBURGER LANCHES EIRELI,33806171000161,33806171000161,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,2880000,3,120000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,2,2019-06-03,Alta,-,BRASIL,São Paulo,SAO PAULO,PARQUE REGINA,ANTONIO JOSE BASTOS,05775120,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,5611-2/03,3,+55 (11) 5814-9333,+55 (11) 5814-9330,-,kburger@hotmail.com,JACQUELINE DE CAMPOS TOLEDO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",burg|lanch,Não,RUA,33,-
BAR E RESTAURANTE FHBS,BAR E RESTAURANTE FHBS EIRELI,03600800000131,03600800000131,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,1440000,0,99800,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,22,2000-01-17,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA MARIANA,FRANCA PINTO,04016004,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Não Optante,1440000,5611-2/03,0,-,+55 (11) 5531-2319,-,societario@issibachi.com.br,JOAO PEREZ JR,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|restaurante,Não,RUA,1146,LETRA A
DOM JOSE RESTAURANTE E LANCHONETE,PIACEVOLE ALIMENTOS - EIRELI,07028410000190,07028410000190,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,2880000,35,140000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,17,2004-09-21,Alta,-,BRASIL,São Paulo,SAO PAULO,BRAS,ELIZA WHITACKER,03009030,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,5611-2/03,35,"+55 (11) 2651-5954,+55 (11) 2653-4164",+55 (11) 2651-5953,-,financeirorestaurantedomjose@gmail.com,LEONARDO DA ROCHA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",lanch|restaurante,Não,RUA,119,: SHOPPING TOTAL BRAS; : RESTAURANTE 02; : PISO SUPERIOR;
LIDER FOODS,LIDER FOOD'S LANCHONETE EIRELI,26637101000161,26637101000161,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,1440000,6,95400,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,5,2016-11-30,Média,-,BRASIL,São Paulo,SAO PAULO,REPUBLICA,SETE DE ABRIL,01044000,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5611-2/03,6,-,+55 (11) 3928-1738,-,rafael@proptercontabilidade.com.br,LAURO CESAR BUENO VIANNA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",lanch,Não,RUA,230,ANDAR 3
LANCHONETE FAROL,LANCHONETE E CHURRASCARIA BATISTELLA DE GUARULHOS EIRELI,30000104000167,30000104000167,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,1440000,26,100000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,4,2018-03-21,Média,-,BRASIL,São Paulo,GUARULHOS,AGUA CHATA,JULIA GAIOLLI,07251500,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5611-2/03,26,+55 (11) 8277-3736,+55 (11) 2480-4714,-,guarulhos1@grupobatistella.com.br,MAICK BATISTELLO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",lanch,Não,AVENIDA,400,-
-,RESTAURANTE TERRACO ENXOVIA EIRELI,35580629000132,35580629000132,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,1440000,16,100000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,2,2019-11-21,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA SAO FRANCISCO (ZONA SUL),ENXOVIA,04711030,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5611-2/03,16,-,+55 (11) 2271-1111,-,copancontabil@gmail.com,VALTER RICARDO AFONSO|ACHILLES SILVA LEMOS|ANA MARIA AFONSO LEMOS,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,438,TERREOSOBRELOJA
