Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
PRAINHA SOMBRERO-BAR,C.Z. LANCHONETE LTDA,17050977000116,17050977000116,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,720000,4,20000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,9,2012-09-14,Média,-,BRASIL,São Paulo,SAO PAULO,JARDIM JAU (ZONA LESTE),AMORIM DINIZ,03730040,-,-,sim,sim,SP,(3) R$360k - R$1M,(2) 4 - 50,Pequena,-,ATIVA,Não,Não Optante,720000,5611-2/03,4,+55 (11) 2681-3377,+55 (11) 2681-3374,-,escwilson@uol.com.br,JOSE ROBERTO DA SILVA|CICERO JOSE DA SILVA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,bar|lanch,Não,RUA,200,-
-,ARIZONA BAR E LANCHES LTDA,43074426000100,43074426000100,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,720000,9,30000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,51,1970-07-28,Alta,-,BRASIL,São Paulo,SAO PAULO,CENTRO,DA CANTAREIRA,01024100,-,-,sim,sim,SP,(3) R$360k - R$1M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,720000,5611-2/03,9,+55 (11) 2618-1289,+55 (11) 2693-4143,-,exato.contabeis@uol.com.br,MARCIO RONALD DA SILVA|MARCIA REGINA DA SILVA ARTEM|MARIA IZABEL SANTANA SILVA|MARCILEIDE PEREIRA DE SOUZA DA SILVA|MARCOS ROBERTO SILVA JUNIOR,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,bar|lanch,Não,RUA,407,-
BOTECO 7109,WL AEROPORTO LANCHONETE E RESTAURANTE LTDA,17030546000198,17030546000198,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,720000,2,30000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,9,2012-09-21,Média,-,BRASIL,São Paulo,SAO PAULO,SANTO AMARO,WASHINGTON LUIS,04627006,-,-,sim,sim,SP,(3) R$360k - R$1M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,720000,5611-2/03,2,-,+55 (11) 2910-1931,-,escritiago@terra.com.br,DANNIELLY DE OLIVEIRA PINHO|LUCAS MUNIZ VASCONCELOS,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,boteco|lanch|restaurante,Não,AVENIDA,7109,-
VIANA LANCHES,VIANA - LANCHETERIA E RESTAURANTE LTDA,30790563000191,30790563000191,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,976633,5,20000,Não Informado,206-2,Sociedade Empresária Limitada,0,3,2018-06-26,Média,Estável,BRASIL,São Paulo,SAO PAULO,SANTA EFIGENIA,AURORA,01209003,-,-,sim,sim,SP,(3) R$360k - R$1M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,976633,5611-2/03,5,-,+55 (11) 9269-5844,-,adilson_candido12@hotmail.com,LAUDENITE BARBOSA DE MACEDO VIANA|JOSE EDVAR VIANA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,lanch|restaurante,Não,RUA,787,LOJA  64
-,RESTAURANTE E LANCHONETE J&C LTDA,28824827000139,28824827000139,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,720000,4,30000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,4,2017-10-09,Média,-,BRASIL,São Paulo,SAO PAULO,CENTRO,DA CANTAREIRA,01024000,-,-,sim,sim,SP,(3) R$360k - R$1M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,720000,5611-2/03,4,+55 (11) 9476-7012,+55 (11) 2085-5270,-,"tioali@tioaliemporioarabe.com.br,societario@uniaoorganizacao.com.br",CESAR HENRIQUE DE MENDONCA COELHO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,lanch|restaurante,Não,RUA,306,-
BRAVO BAR & GALETERIA,BRAVO BAR & GALETERIA LTDA,36752711000160,36752711000160,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,720000,0,20000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,2,2020-03-23,Alta,-,BRASIL,São Paulo,SAO PAULO,IPIRANGA,CIPRIANO BARATA,04205001,-,-,sim,sim,SP,(3) R$360k - R$1M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,720000,5611-2/03,0,-,+55 (11) 2373-9490,-,reinaldoportog@gmail.com,ACACIO SANTOS CARVALHO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,bar,Não,RUA,1670,-
-,BAR E CAFE CRISPINIANO LTDA,60442134000194,60442134000194,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,720000,17,30000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,55,1966-09-15,Alta,-,BRASIL,São Paulo,SAO PAULO,REPUBLICA,SETE DE ABRIL,01044000,-,-,sim,sim,SP,(3) R$360k - R$1M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,720000,5611-2/03,17,-,+55 (11) 3106-8001,-,departamento.legal@novacapcontabil.com.br,FABIO DE LIMA RAMIRO|DANIELA RAMIRO DE GOUVEIA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,bar,Não,RUA,96,"98,                       102"
HAM BURGUER COMERCIO DE ALIMENTOS,HAM BURGUER COMERCIO DE ALIMENTOS LTDA,28725282000103,28725282000103,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,720000,6,50000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,4,2017-09-26,Média,-,BRASIL,São Paulo,SAO PAULO,PARQUE MARIA HELENA,PAULINO VITAL DE MORAIS,05855000,-,-,sim,sim,SP,(3) R$360k - R$1M,(2) 4 - 50,Pequena,-,ATIVA,Não,Não Optante,720000,5611-2/03,6,-,+55 (11) 5181-6147,-,luis.kfk@kfkalimentos.com.br,ANALIA PEREIRA KITAGAWA|JACQUELINE GOMES PEREIRA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,burg,Não,RUA,70,-
FABRICA SETE,FABRICA 7 HAMBURGERIA DIADEMA LTDA,24454328000146,24454328000146,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,676153,10,30000,Não Informado,206-2,Sociedade Empresária Limitada,0,6,2016-03-24,Média,Estável,BRASIL,São Paulo,DIADEMA,CENTRO,SETE DE SETEMBRO,09912010,-,-,sim,sim,SP,(3) R$360k - R$1M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,676153,5611-2/03,10,+55 (11) 4044-3299,+55 (11) 4056-1418,-,vital@vitalcontabil.com.br,RICARDO COUCEIRO DE SOUZA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,burg,Não,AVENIDA,762,-
PITS BURGER,PITS BURGER ARUJA LTDA,31953494000152,31953494000152,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,604042,0,40000,Demais,206-2,Sociedade Empresária Limitada,0,3,2018-11-06,Alta,Estável,BRASIL,São Paulo,ARUJA,VILA PEDROSO,ALBERTO HINOTO,07434325,-,-,sim,sim,SP,(3) R$360k - R$1M,(1) 1 - 3,Pequena,-,ATIVA,-,-,604042,5611-2/03,0,-,+55 (11) 4438-2166,-,rubros@uol.com.br,JULIANO VIEIRA DOS SANTOS|FELIPE TADASHI SATO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,(6) R$600k - R$1M,burg,Não,RODOVIA,1386,-
