Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
LANCHONETE DA CIDADE - LC4,LC1 COMERCIO DE REFEICOES RAPIDAS E PROMOCOES LTDA,12365759000408,12365759000157,filial,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,27395702,20,13621924,Demais,206-2,Sociedade Empresária Limitada,4,7,2014-05-19,Média,Em declínio,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,HIGIENOPOLIS,01238000,-,lcfuturo.com.br,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,-,-,110709447,5611-2/03,106,+55 (11) 3815-5092,+55 (11) 3814-7678,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento,Outras sociedades de participação, exceto holdings,Restaurantes e similares,Serviços de alimentação para eventos e recepções - bufê,Serviços de organização de feiras, congressos, exposições e festas",sueli@supportcont.com.br,BENNY NOVAK|BRUNO GRINBERG|SERGIO BUENO DE CAMARGO|CIATC PARTICIPACOES S.A.|MARIO EDUARDO GORSKI|FERNANDO GRINBERG|RICARDO BARONE GARRIDO|EDGARD BUENO DA COSTA|PEDRO SOARES MELO JUNIOR|JOAO MARCELO ADAS OLIVEIRA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",lanch,Não,AVENIDA,618,-
OUTBACK STEAKHOUSE,OUTBACK STEAKHOUSE RESTAURANTES BRASIL S.A.,17261661002893,17261661000173,filial,Restaurantes e similares,Alimentação,618957074,64,"522354299,84",Demais,205-4,Sociedade Anônima Fechada,157,8,2013-12-18,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,HIGIENOPOLIS,01238000,-,-,sim,sim,SP,(9) +500M,(3) 51 - 200,Grande,-,ATIVA,-,-,90172630341,5611-2/01,10559,"+55 (11) 99652-1532,+55 (11) 3826-5954",+55 (11) 3666-0166,-,fiscal@outback.com.br,EDWARD FRANCIS WUNDHEILER|PIERRE ALBERT BERENSTEIN|ANTONIO CARLOS PONTES|GILBERTO SOARES DOS SANTOS|MAURO GUARDABASSI MARTINS|MAURICIO DAMASCENO GARCIA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,AVENIDA,618,"AREAS COMERCIAIS          ARCO 1013, 1014           1015"
FILIAL SHOPPING PATIO HIGIENOPOLIS,BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S.A.,13574594064593,13574594000196,filial,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,925692231,12,"1461068417,41",Demais,204-6,Sociedade Anônima Aberta,1111,5,2016-12-05,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,HIGIENOPOLIS,01238000,-,bkdelivery.com.br,sim,sim,SP,(9) +500M,(2) 4 - 50,Grande,-,ATIVA,-,-,734661804192,5611-2/03,17581,-,+55 (19) 3443-2950,-,licenciamento@burgerking.com.br,GABRIEL MAGALHAES DA ROCHA GUIMARAES|DANILLO TOLEDO GOMES|IURI DE ARAUJO MIRANDA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,AVENIDA,618,A 619                     ARCO N 529                2 PISO
VICA POTA PIZZARIA,VICA RACA RESTAURANTE EIRELI,15694133000182,15694133000182,matriz,Restaurantes e similares,Alimentação,2880000,14,500000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,9,2012-06-06,Alta,-,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,ALAGOAS,01242001,-,vicapota.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Não Optante,2880000,5611-2/01,14,+55 (11) 5012-0071,+55 (11) 3825-5512,-,salvalagio@globo.com,MOISES RODRIGUES JUNIOR,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",pizza|restaurante,Não,RUA,549,-
-,RALSKI RESTAURANTES LTDA,02967526000170,02967526000170,matriz,Restaurantes e similares,Alimentação,16034177,77,10000,Demais,206-2,Sociedade Empresária Limitada,0,23,1999-02-08,Alta,Estável,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,HIGIENOPOLIS,01238000,-,-,sim,não,SP,(6) R$10M - R$30M,(3) 51 - 200,Médio,-,ATIVA,-,-,16034177,5611-2/01,77,"+55 (11) 3822-0183,+55 (11) 3576-7200,+55 (11) 4169-7231,+55 (11) 3576-7282",+55 (11) 3576-7207,-,-,ROBERTO BIELAWSKI|RATI PARTICIPACOES LTDA.|RODRIGO MARTIN FERRAIOLE TESTA|BIELSTON PARTICIPACOES LTDA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,AVENIDA,646,LJ.ARCO 323 PAV. HIG.
ITZZA HIGIENOPOLIS,PIZZARIA BOIM COMERCIO DE ALIMENTOS E BEBIDAS LTDA,34676357000106,34676357000106,matriz,Restaurantes e similares,Alimentação,1440000,4,99800,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,2,2019-08-27,Alta,-,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,VILABOIM,01241010,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Não Optante,1440000,5611-2/01,4,-,+55 (11) 2372-5875,-,oscar@itzza.com.br,AUGUSTO BOTELHO DO AMARAL|OSCAR MENDIONDO CESAR LEITE,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",pizza,Não,PRAÇA,31,-
-,PIZZA MUSIC BAR LTDA,10458730000275,10458730000194,filial,Restaurantes e similares,Alimentação,1440000,1,100000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,3,7,2014-10-24,Média,-,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,HIGIENOPOLIS,01238000,-,olea.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Não Optante,5760000,5611-2/01,31,-,+55 (11) 5533-6911,-,n2k@n2k.com.br,FABIO VITA DIOMELLI|GIOVANNA PATERNO|ONORATO FIORENTINO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|pizza,Não,AVENIDA,698,LOJA  4009
-,INTERNACIONAL RESTAURANTES DO BRASIL S/A,01937526008492,01937526000165,filial,Restaurantes e similares,Alimentação,4800000,6,22898945,Demais,205-4,Sociedade Anônima Fechada,42,8,2013-11-22,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,HIGIENOPOLIS,01238000,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,-,-,8671993751,5611-2/01,547,-,+55 (11) 3865-6162,-,paralegal@adccont.com.br,JOYCE RECHE BENVENUTI|FABIANO FRANCA DE LIMA|ANTONIO JOSE DETSI PEREIRA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,AVENIDA,618,LOJA  ARCO 521
KEZ BAGEL 2,KEZ BAGEL 2 RESTAURANTE E LANCHONETE - EIRELI,38175208000114,38175208000114,matriz,Restaurantes e similares,Alimentação,2880000,8,104500,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,1,2020-08-21,Alta,-,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,PIAUI,01241000,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,5611-2/01,8,-,+55 (11) 2589-3198,"Lanchonetes, casas de chá, de sucos e similares",adm@kezbagel.com.br,CAMILA JI SUN HONG,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",lanch|restaurante,Não,RUA,368,-
-,KALILI RESTAURANTE EIRELI,07405864000132,07405864000132,matriz,Restaurantes e similares,Alimentação,1440000,16,80000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),1,17,2005-05-06,Alta,-,BRASIL,São Paulo,SAO PAULO,HIGIENOPOLIS,HIGIENOPOLIS,01238000,-,-,sim,não,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,5611-2/01,33,-,+55 (11) 3667-7758,-,-,NISSIM MARCOS KALILI,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,AVENIDA,618,ARCO N. 518 2. PAV.
