Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
''DECK PAINEIRAS'',DECK PAINEIRAS BAR E RESTAURANTE LTDA,15666382000164,15666382000164,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,19192966,22,20000,Demais,206-2,Sociedade Empresária Limitada,0,10,2012-05-07,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,JARDIM SILVIA (ZONA OESTE),DOUTOR ALBERTO PENTEADO,05678000,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Médio,-,ATIVA,Não,Optante pelo Simples,19192966,5611-2/03,22,"+55 (11) 3779-2121,+55 (11) 3779-2124",+55 (11) 3779-2120,-,daniela@rofergastronomia.com.br,ELIZABETE DE ANDRADE AVILA AKAMINE,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|restaurante,Não,AVENIDA,605,PISO 1S PLATAFORMA        DAS PISCINAS
-,DOLCISSIMO LANCHONETE E CAFE LTDA,20278105000386,20278105000114,filial,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,22400818,40,500000,Demais,206-2,Sociedade Empresária Limitada,11,6,2015-09-30,Média,Em crescimento,BRASIL,São Paulo,SAO PAULO,SANTO AMARO,WASHINGTON LUIS,04626001,-,gdolce.com.br,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,254713490,5611-2/03,193,+55 (11) 3123-8400,+55 (11) 2605-2282,-,"potencya@uol.com.br,seta@setacontabil.com.br",ANGELO LUIZ ANASTASI|EDUARDO ANASTASI,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",lanch,Não,AVENIDA,-,MZNINOT. DE PASSAGEIROS         E.B.I.EST. AEROPORT.      CONGONHAS
TBB GESTAO DE RESTAURANTES S/A,TBB GESTAO DE RESTAURANTES S/A,23259011000781,23259011000196,filial,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,25183789,-,4428144,Demais,205-4,Sociedade Anônima Fechada,26,1,2020-12-14,Alta,-,BRASIL,São Paulo,SAO PAULO,JARDIM SANTA TEREZINHA (ZONA LESTE),ARICANDUVA,03527904,-,-,sim,sim,SP,(6) R$10M - R$30M,-,Grande,-,ATIVA,-,-,562674324,5611-2/03,27,-,+55 (11) 5089-8136,-,gerente.aricanduva@tacobellbrasil.com.br,FRANCISLEI MOREIRA CUSTODIO|CARLOS ROBERTO WIZARD MARTINS|MARIO GUEDES KLINGER|JOSE FRANCISCO BUHRER|CESAR ANTONELLI|WELLINGTON DE FREITAS PIMENTEL|CHARLES PIMENTEL MARTINS|LINCOLN PIMENTEL MARTINS,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,AVENIDA,5555,SALA  FF 14
POKE POKE RESTAURANTE,POKE POKE RESTAURANTE LTDA,22270586001704,22270586000147,filial,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,23573008,5,500000,Não Informado,206-2,Sociedade Empresária Limitada,6,4,2017-10-09,Média,Em crescimento,BRASIL,São Paulo,COTIA,LAGEADINHO,RAPOSO TAVARES,06709015,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Não Optante,25733008,5611-2/03,24,-,+55 (11) 3384-3773,-,financeiro@pokepoke.com.br,TERUO CHINEN,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RODOVIA,23500,LOJA  SGV0341A            ANDAR L2
-,AGAPE PIZZARIA - EIRELI,15868767000295,15868767000104,filial,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,17664539,5,63000,Não Informado,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),1,1,2020-09-18,Média,Em crescimento,BRASIL,São Paulo,SAO PAULO,CONJUNTO RESIDENCIAL BUTANTA,NICOLAU PEREIRA LIMA,05539000,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Médio,-,ATIVA,Não,Optante pelo Simples,18024539,5611-2/03,94,-,+55 (11) 3769-2199,-,expediente@contabiljaguare.com.br,SANDRA REGINA CANDIDO FERREIRA FRIEDRICH,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",pizza,Não,RUA,331,-
FILIAL 2 CASA BRANCA,CABANA BURGER S.A.,25058899000396,25058899000124,filial,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,14676326,15,"35938707,66",Demais,205-4,Sociedade Anônima Fechada,28,5,2017-03-24,Média,Em declínio,BRASIL,São Paulo,SAO PAULO,JARDIM PAULISTA,CASA BRANCA,01408000,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Médio,-,ATIVA,Não,Não Optante,447824546,5611-2/03,403,-,+55 (18) 99644-9591,-,financeiro@cabanaburger.com.br,EVANDRO CAMARGO BOROVICZ|BRUNO LEVI D ANCONA|LUIS FILIPE FROZONI LOMONACO|SILVIO JOSE BANDINI|DANILO RAFAEL JUST SOARES|PAULO ROBERTO ASSARITO BONIFACIO|BRUNO ALEXANDRE DE ALMEIDA AMARAL LEMOS,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",burg,Não,ALAMEDA,890,LOJA  106
-,TETRA BROS BAR E LANCHONETE LTDA,07429003000194,07429003000194,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,17261797,23,20000,Demais,206-2,Sociedade Empresária Limitada,0,16,2005-06-01,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,JARDIM EUROPA,MANUEL GUEDES,04536070,-,vacaveia.com.br,sim,não,SP,(6) R$10M - R$30M,(2) 4 - 50,Médio,-,ATIVA,Não,Não Optante,17261797,5611-2/03,23,+55 (11) 3079-1884,+55 (11) 98446-6427,-,-,FABIO OLIVA LEME DO PRADO|PEDRO SUCAR FERRETTI|BIANCA FERRETTI|ULTRA BROS PARTICIPACOES LTDA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|lanch,Não,RUA,199,-
-,MADUREIRA ITAIM LANCHONETE LTDA,19251856000168,19251856000168,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,10354925,33,72400,Demais,206-2,Sociedade Empresária Limitada,0,8,2013-11-11,Alta,Estável,BRASIL,São Paulo,SAO PAULO,ITAIM BIBI,PEDROSO ALVARENGA,04531011,-,madureirasucos.com.br,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Médio,-,ATIVA,Não,Não Optante,10354925,5611-2/03,33,-,+55 (12) 3921-6933,-,paulistanacon@terra.com.br,FABIO OLIVA LEME DO PRADO|PEDRO SUCAR FERRETTI|BIANCA FERRETTI|ULTRA BROS PARTICIPACOES LTDA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",lanch,Não,RUA,839,843
'L.G.A. ESTUDIO GOURMET RESTAURANTE & EVENTOS',L.G.A. ESTUDIO GOURMET COMERCIO DE ALIMENTOS - EIRELI,20595750000160,20595750000160,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,22653305,42,90000,Demais,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,7,2014-07-08,Alta,Em declínio,BRASIL,São Paulo,SAO PAULO,PERDIZES,TURIASSU,05005000,-,-,sim,sim,SP,(6) R$10M - R$30M,(2) 4 - 50,Grande,-,ATIVA,Não,Optante pelo Simples,22653305,5611-2/03,42,"+55 (11) 3284-8392,+55 (11) 5698-8040",+55 (11) 3252-5298,-,direcao@buffetflowers.com.br,SILVANO CORDEIRO DOS SANTOS,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,1840,-
RESTAURANTE DO ELETRICITARIO,SIND DOS TRAB NAS INDUSTRIAS DA ENERGIA ELETR SAO PAULO,62194683001194,62194683000112,filial,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,24808659,0,-,Demais,313-1,Entidade Sindical,7,6,2015-11-24,Média,-,BRASIL,São Paulo,SAO PAULO,LIBERDADE,THOMAZ GONZAGA,01506020,-,-,sim,sim,SP,(6) R$10M - R$30M,(1) 1 - 3,Grande,-,ATIVA,-,-,146276278,5611-2/03,51,-,+55 (11) 3207-7618,-,f.fattori@yahoo.com.br,-,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",restaurante,Não,RUA,50,ANDAR 3
