Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
HOTEL SANMARCO,MARCO ANTONIO VAC - HOTEL,18829951000133,18829951000133,matriz,Hotéis,Hotelaria,451196,0,100000,Não Informado,213-5,Empresário (Individual),0,8,2013-09-06,Alta,-,BRASIL,São Paulo,GUARULHOS,CUMBICA,SANTOS DUMONT,07180270,-,-,sim,sim,SP,(3) R$360k - R$1M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,451196,5510-8/01,0,-,+55 (11) 2485-6050,-,exata@contabilexata.com.br,-,Hotéis e similares,55.1,Sudeste,(5) R$350k - R$600k,hotel,Não,AVENIDA,554,-
KM HOTEL,MANOEL CLAUDIO SOUZA SANTANA,08073957000170,08073957000170,matriz,Hotéis,Hotelaria,360000,1,1000,Não Informado,213-5,Empresário (Individual),0,16,2006-04-17,Média,-,BRASIL,São Paulo,SAO PAULO,SANTO AMARO,BARAO DO RIO BRANCO,04753000,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,5510-8/01,1,-,+55 (11) 5521-0709,-,afonsocontabil@uol.com.br,-,Hotéis e similares,55.1,Sudeste,(5) R$350k - R$600k,hotel,Não,RUA,22,-
-,PLAZA AVENIDA IPIRANGA HOTEL LTDA,10373089000195,10373089000195,matriz,Hotéis,Hotelaria,360000,0,50000,Não Informado,206-2,Sociedade Empresária Limitada,0,13,2008-09-26,Alta,-,BRASIL,São Paulo,SAO PAULO,REPUBLICA,IPIRANGA,01040000,https://www.instagram.com/uniclasshotel,uniclasshotel.com.br,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,5510-8/01,0,-,+55 (11) 3629-3600,-,diretoria@uniclasshotel.com.br,TERESA SHINOHARA|ELIO TOMIO SHINOHARA,Hotéis e similares,55.1,Sudeste,(5) R$350k - R$600k,hotel,Sim,AVENIDA,1152,-
-,E.S.S. HOTEL - EIRELI,27521486000160,27521486000160,matriz,Hotéis,Hotelaria,360000,1,100000,Não Informado,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,5,2017-04-12,Média,-,BRASIL,São Paulo,SAO PAULO,CONSOLACAO,NESTOR PESTANA,01303010,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,5510-8/01,1,-,+55 (11) 3315-9676,-,iguatemi@osite.com.br,ELIEZER SOUZA SILVA,Hotéis e similares,55.1,Sudeste,(5) R$350k - R$600k,hotel,Não,RUA,189,-
-,ADRENALINA HOTEL LTDA,17000404000188,17000404000188,matriz,Hotéis,Hotelaria,1440000,26,100000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,9,2012-08-15,Alta,-,BRASIL,São Paulo,SAO PAULO,JARDIM ITAPEMIRIM,CAMPANELLA,08220830,-,adrenalinahotel.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5510-8/01,26,"+55 (11) 3297-1750,+55 (11) 3624-0511",+55 (11) 2624-0508,-,"navarro@contabilnavarro.com.br,comercial@redelina.com.br",CARLOS WAGNER FERREIRA|PEDRO CESAR RAPETTI PEREIRA,Hotéis e similares,55.1,Sudeste,"(8) +1,2M",hotel,Não,AVENIDA,270,-
HOTEL FUAR,HOTEL FUAR LTDA,01771110000110,01771110000110,matriz,Hotéis,Hotelaria,360000,5,-,Não Informado,206-2,Sociedade Empresária Limitada,0,25,1997-01-21,Alta,-,BRASIL,São Paulo,SAO PAULO,TATUAPE,CELSO GARCIA,03064000,-,-,sim,não,SP,(2) R$81k - R$360k,(2) 4 - 50,Micro,-,ATIVA,Não,Optante pelo Simples,360000,5510-8/01,5,+55 (11) 9303-9719,(011) 9303-9719,-,-,JOAQUIM ALVES DA SILVA|MAGNA LUCIA BEZERRA DA SILVA,Hotéis e similares,55.1,Sudeste,(5) R$350k - R$600k,hotel,Não,AVENIDA,5836,-
LACOS DE AMOR,HOSPEDARIA LACOS DE AMOR LTDA,03764571000190,03764571000190,matriz,Hotéis,Hotelaria,360000,0,10000,Não Informado,206-2,Sociedade Empresária Limitada,0,22,2000-04-05,Alta,-,BRASIL,São Paulo,SAO PAULO,JARDIM NOSSA SENHORA DO CARMO,MATEUS SOARES,08275020,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,5510-8/01,0,-,+55 (11) 2217-9200,-,ecci@terra.com.br,JOSE MARTINS DIAS DA SILVA|BELISARIA DE FATIMA ILLES PEREIRA,Hotéis e similares,55.1,Sudeste,(5) R$350k - R$600k,-,Não,RUA,323,-
POUSADA & HOSTEL SAO PAULO,POUSADA & HOSTEL SAO PAULO LTDA,12955124000100,12955124000100,matriz,Hotéis,Hotelaria,720000,1,15000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,11,2010-11-18,Alta,-,BRASIL,São Paulo,SAO PAULO,PINHEIROS,CAPOTE VALENTE,05409000,-,-,sim,sim,SP,(3) R$360k - R$1M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,720000,5510-8/01,1,-,+55 (11) 3865-1023,-,contato@contabilleonardis.com.br,CLAUDIA MARIA PIOZZI JUNQUEIRA BELTRAME|NEUZA AREDES PIOZZI JUNQUEIRA,Hotéis e similares,55.1,Sudeste,(6) R$600k - R$1M,-,Não,RUA,292,-
GREENVILLE - EIRELI - ME,POUSADA DA BARRA GREENVILLE - EIRELI,21464347000165,21464347000165,matriz,Hotéis,Hotelaria,360000,-,500000,Não Informado,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,7,2014-11-25,Baixa,-,BRASIL,São Paulo,COTIA,PARQUE RINCAO,DA BARRA,06705420,-,-,sim,sim,SP,(2) R$81k - R$360k,-,Micro,-,ATIVA,Não,Optante pelo Simples,360000,5510-8/01,-,+55 (11) 3445-8820,+55 (11) 9126-5280,-,macedoscontabilidade@ig.com.br,EDUARDO CESAR SILVA MACEDO,Hotéis e similares,55.1,Sudeste,(5) R$350k - R$600k,bar,Não,RUA,684,-
-,REPUBLICA NOVA MORADA EIRELI,27483992000101,27483992000101,matriz,Outros alojamentos não especificados anteriormente,Hotelaria,360000,0,100000,Não Informado,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,5,2017-04-05,Média,-,BRASIL,São Paulo,SAO PAULO,MOOCA,FREI GASPAR,03164100,-,-,sim,sim,SP,(2) R$81k - R$360k,(1) 1 - 3,Micro,-,ATIVA,Não,Optante pelo Simples,360000,5590-6/99,0,+55 (11) 2041-1105,+55 (11) 2045-5900,-,expedicao3@smscontabil.com.br,LARISSA CHIOTTI GUIDO,Outros tipos de alojamento não especificados anteriormente,55.9,Sudeste,(5) R$350k - R$600k,pub,Não,RUA,441,-
