Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
MERCADO SOARES DE QUEIROZ,MERCADO SOARES DE QUEIROZ EIRELI,23735591000140,23735591000140,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,1440000,31,96000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,6,2015-11-24,Média,-,BRASIL,São Paulo,SAO PAULO,RECANTO CAMPO BELO,CARLOS JORGE SCHMIDT,04880040,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,4712-1/00,31,-,+55 (11) 5011-6691,-,mercadodoalvaro2@gmail.com,ALVARO SOARES DE QUEIROZ,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",mercad,Não,RUA,9,LOTE  09                  QUADRA19
BOAS FORMAS DISTRIBUIDORA,BOAS FORMAS DISTRIBUIDORA E IMPORTADORA DE PRODUTOS FITNESS EIRELI,28874936000160,28874936000160,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,2880000,0,350000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,4,2017-10-17,Média,-,BRASIL,São Paulo,SAO PAULO,MOOCA,PRESIDENTE ALMEIDA COUTO,03108020,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,4712-1/00,0,-,+55 (11) 7176-7615,-,boasformasdistribuidoras@gmail.com,ALINE DA SILVA GOES,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",-,Não,RUA,48,-
REAL SILVA,REAL SILVA UTILIDADES LTDA,37898821000105,37898821000105,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,1440000,0,100000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,1,2020-07-29,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA JOANIZA,YERVANT KISSAJIKIAN,04428000,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,4712-1/00,0,-,+55 (11) 5666-0070,-,contato@aasantoscontabilidade.com.br,ITALO GUSTAVO SOUZA SILVA|ANGELICA DE SOUZA MODESTO SILVA,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",-,Não,AVENIDA,2068,-
DISTRIBUIDORA COTRIM,C D C COMERCIO E DISTRIBUIDORA COTRIM - EIRELI,24924778000155,24924778000155,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,2880000,1,500000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,5,2016-06-02,Média,-,BRASIL,São Paulo,BARUERI,JARDIM MUTINGA,DOM FELICIANO,06463230,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Não Optante,2880000,4712-1/00,1,-,+55 (11) 7829-7254,-,cdc.distribuidora@gmail.com,BRUNO COTRIM DA SILVA,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",-,Não,RUA,49,TERREO
MERCADO BOA ESPERANCA,J.N.S. OLIVEIRA MERCADO,10885278000147,10885278000147,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,1440000,10,100000,Empresa de Pequeno Porte,213-5,Empresário (Individual),0,13,2009-03-30,Média,-,BRASIL,São Paulo,SAO PAULO,JARDIM DAS ROSAS (IGUATEMI),ANECY ROCHA,08372209,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,4712-1/00,10,+55 (11) 5928-0933,+55 (11) 5929-4086,-,avanco@uol.com.br,-,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",mercad,Não,RUA,1113,-
-,EMPORIO NATUREZA EM GRAOS LTDA,20899773000169,20899773000169,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,1440000,0,72400,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,7,2014-08-25,Média,-,BRASIL,São Paulo,SAO PAULO,PERDIZES,DIANA,05019000,-,naturezaemgraos.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,4712-1/00,0,"+55 (11) 4114-1732,+55 (11) 3873-8311",+55 (11) 8413-4007,-,lisadrecastello@hotmail.com,EMERSON SILVA SANTOS|LISANDRE DE MORAES CASTELLO,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",-,Não,RUA,800,-
BORA BORA HORTIFRUTI,BORA BORA HORTIFRUTI EIRELI,41031281000127,41031281000127,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,2880000,-,110000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,1,2021-03-01,Média,-,BRASIL,São Paulo,SAO PAULO,JAGUARE,KENKITI SIMOMOTO,05347010,-,-,sim,sim,SP,(4) R$1M - R$4.8M,-,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,4712-1/00,-,-,+55 (11) 3643-8646,-,tgo.moretto@gmail.com,BARBARA MAIA DA CUNHA MORETTO,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",-,Não,AVENIDA,75,-
MERCADO 18 PAES,MERCADO 18 PAES EIRELI,37169006000105,37169006000105,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,2880000,0,150000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,1,2020-05-18,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA VERDE,NABICA,08230510,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,4712-1/00,0,-,+55 (11) 8781-4329,-,marciele.anjo.alan@gmail.com',DANILO PAULINO DA SILVA,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",mercad,Não,RUA,1,-
-,MINI MERCADO MAIA'S - EIRELI,34196786000186,34196786000186,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,1440000,1,100000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,2,2019-07-12,Alta,-,BRASIL,São Paulo,SAO PAULO,BRAS,SAIAO LOBATO,03012030,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,4712-1/00,1,+55 (11) 2296-4658,+55 (11) 2294-4527,-,shallon1@uol.com.br,FRANCISCA ANTONIA MAIA,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",mercad,Não,RUA,134,-
-,THE ORGANIC TEAM EMPORIO LTDA,21346805000161,21346805000161,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,2611306,1,400000,Demais,206-2,Sociedade Empresária Limitada,0,7,2014-11-05,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,JARDIM PAULISTANO,DOUTOR MARIO FERRAZ,01453011,-,dayaeture.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,2611306,4712-1/00,1,+55 (11) 2647-1740,+55 (11) 3078-4508,-,consult@consultcontabil.cnt.br,CAMILA BRENNAND FORTES|PAULA DE MACEDO SOARES MASETTI DIAS|MARINA NUGENT SETUBAL,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",-,Não,RUA,503,-
EMPORIO DO GAUCHO,EMPORIO DO GAUCHO EIRELI,28147448000151,28147448000151,matriz,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Varejo,1440000,1,93700,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,4,2017-07-10,Média,-,BRASIL,São Paulo,SAO PAULO,PARQUE DA VILA PRUDENTE,SANTA HELENA,03138030,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(1) 1 - 3,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,4712-1/00,1,+55 (11) 3564-8701,+55 (11) 3564-8700,-,jotape@jotapecontabilidade.com.br,OSMILDA TERESINHA MATTOS DOS SANTOS,Comércio varejista não-especializado,47.1,Sudeste,"(8) +1,2M",-,Não,PRAÇA,138,-
