Nome fantasia,Razão social,CNPJ,CNPJ matriz,Tipo de unidade,CNAE principal descrição,Segmento,Faturamento,Funcionários,Capital social,Porte RF,Natureza jurídica,Natureza jurídica descrição,Filiais,Idade empresa,Data de abertura,Nível de atividade,Tendência de crescimento,País,Estado,Cidade,Bairro,Endereço,CEP,Perfil instagram,Website,Possui telefone,Possui e-mail,UF,Faturamento - Faixas,Funcionários - Faixas,Porte,Relacionamento,Situação,Opção MEI,Opção Simples,Faturamento grupo,CNAE principal,Funcionários grupo,Telefones,Telefone principal,CNAEs secundários,E-mails,Sócios,Grupo CNAE,Grupo CNAE código,Regiões,Faturamento - Faixas Personalizadas,Palavra Mapeada,Possui Instagram?,Tipo Logradouro,Endereço Número,Endereço Complemento
-,NEO BRASIL ALIMENTOS EIRELI,37820037000176,37820037000176,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,2880000,12,105000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),2,1,2020-07-22,Alta,-,BRASIL,São Paulo,GUARULHOS,CUMBICA,PRESIDENTE DUTRA,07178580,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,5760000,5611-2/03,12,-,+55 (11) 4790-7500,-,forte@dibello.com.br,GABRIEL MAXIMO DI BELLO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RODOVIA,664,KM    214                 LOJA  FF01  FF02 E FF03
OLARIA,GRILL OLARIA ESPETOS LTDA.,14548492000169,14548492000169,matriz,Restaurantes e similares,Alimentação,3280984,8,45000,Demais,206-2,Sociedade Empresária Limitada,0,10,2011-10-27,Alta,Em crescimento,BRASIL,São Paulo,SAO PAULO,BELA VISTA,TREZE DE MAIO,01327002,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,3280984,5611-2/01,8,-,+55 (11) 3289-0822,-,matinsalves21@gmail.com,CLAUDEMIR DOS SANTOS RIBEIRO|CLAUDIO CORDEIRO RABELO|DANIEL MARTINS ALVES,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,1802,-
RESTAURANTE MULTIGRAOS,RESTAURANTE FAZENDINHA DO MERCADO LTDA,08243369000137,08243369000137,matriz,Restaurantes e similares,Alimentação,1440000,4,80000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,15,2006-08-11,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA FORMOSA,CANARIAS,03359120,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5611-2/01,4,"+55 (11) 3242-5893,+55 (11) 3107-7890",+55 (11) 3242-9010,-,reparticoes@tormena.com.br,KIMIE UEHARA NIIGAKI|REIKO KANASHIRO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",mercad|restaurante,Não,PRAÇA,-,BOX 28 E 29
-,PREMIER HAUS CHURRASCO & GASTRONOMIA LTDA,31933550000197,31933550000197,matriz,Restaurantes e similares,Alimentação,4800000,6,600000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,3,2018-11-05,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA GERTRUDES,BACAETAVA,04705010,-,premierhaus.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,4800000,5611-2/01,6,-,+55 (11) 5056-4050,-,rodrigoprianti@gmail.com,DULCE BERNARDES MACIEL|MATEUS FREIRE TEOBALDO|TARSO LUIZ RIBEIRO MONTENEGRO|WILLIAM JOSE PRIANTI|RODRIGO TESSER ANTUNES PRIANTI,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,166,-
HADU ALIMENTOS,HADU COMERCIO DE ALIMENTOS LTDA,36144034000105,36144034000105,matriz,Restaurantes e similares,Alimentação,2880000,5,300000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,2,2020-01-27,Alta,-,BRASIL,São Paulo,GUARULHOS,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,PRESIDENTE DUTRA,07210000,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,2880000,5611-2/01,5,"+55 (11) 4966-0066,+55 (11) 4966-0067",+55 (11) 4966-0065,-,contato@monteirocontabilidade.com,PAULA DAYANE SOUSA DOS ANJOS|CLEITON SILVEIRA DUTRA,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RODOVIA,214,LOJA  FF05
L'ENTRECOTE WEST PLAZA,LP WP BAR E RESTAURANTE EIRELI,24546993000160,24546993000160,matriz,Restaurantes e similares,Alimentação,1440000,17,90000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,6,2016-04-07,Alta,-,BRASIL,São Paulo,SAO PAULO,AGUA BRANCA,ANTARTICA,05003900,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5611-2/01,17,-,+55 (11) 5281-7256,-,ldpmplace@gmail.com,RODRIGO DE CAMPOS BORGES,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",bar|restaurante,Não,AVENIDA,380,LOJA  1215
MAWARI VILA OLIMPIA,TADAIMA ALIMENTOS EIRELI,24194420000114,24194420000114,matriz,Restaurantes e similares,Alimentação,2090278,7,88000,Demais,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,6,2016-02-17,Alta,Em declínio,BRASIL,São Paulo,SAO PAULO,VILA OLIMPIA,OLIMPIADAS,04551000,-,mawari.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,2090278,5611-2/01,7,+55 (11) 2591-2721,+55 (11) 2273-5233,-,fgfcontabil@uol.com.br,ANGELO MIYAKE,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,360,4 PISO              LOJA  LUC 510                   SHOP. VILA OLIMPIA
CAFE SAN JOSE,CAFE SAN JOSE ALIMENTOS LTDA,27085270000107,27085270000107,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,1440000,5,100000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,5,2017-02-10,Alta,-,BRASIL,São Paulo,TABOAO DA SERRA,CIDADE INTERCAP,REGIS BITTENCOURT,06768200,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5611-2/03,5,+55 (11) 7609-1240,+55 (11) 8811-4981,-,marcus@g5br.com,MARCUS VINICIUS DA FONSECA GONCALVES VIANEZ|ROSANI MACHADO GONCALVES VIANEZ,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RODOVIA,2643,-
-,MERCATTO COMERCIO DE ALIMENTOS EIRELI,03559320000174,03559320000174,matriz,Restaurantes e similares,Alimentação,4800000,13,600000,Empresa de Pequeno Porte,230-5,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),0,22,1999-12-17,Alta,-,BRASIL,São Paulo,SAO PAULO,VILA ALMEIDA,DAS NACOES UNIDAS,04795000,-,mercattorestaurante.com.br,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,4800000,5611-2/01,13,-,+55 (11) 99947-9488,-,fiscal@contabilmodelar.com.br,ROBERTO DONAIRE SOBRINHO,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,AVENIDA,12901,LOJA 120
MEI MEI CULINARIA ASIATICA,MXT ALIMENTOS LTDA,24660023000190,24660023000190,matriz,"Lanchonetes, casas de chá, de sucos e similares",Alimentação,1440000,17,100000,Empresa de Pequeno Porte,206-2,Sociedade Empresária Limitada,0,6,2016-04-26,Alta,-,BRASIL,São Paulo,SAO PAULO,CIDADE MAE DO CEU,DOMINGOS AGOSTIM,03306010,-,-,sim,sim,SP,(4) R$1M - R$4.8M,(2) 4 - 50,Pequena,-,ATIVA,Não,Optante pelo Simples,1440000,5611-2/03,17,-,+55 (11) 9326-5070,-,ericachen40@gmail.com,BIA SARAH CARVALHO MIRON CORDOVIL,Restaurantes e outros serviços de alimentação e bebidas,56.1,Sudeste,"(8) +1,2M",-,Não,RUA,91,LOJA  509
