systemId,Code,Quantity,Amount,Sale Date,Transaction ID
6148,1081,6,247.500000000,2022-01-03,368280
19939,594,30,957.300000000,2022-01-03,368214
5398,594,2,63.820000000,2022-01-03,368303
6960,1101,10,361.700000000,2022-01-03,368353
20052,594,6,179.460000000,2022-01-03,368360
20052,908,5,171.700000000,2022-01-03,368360
26413,1000,1,19.450000000,2022-01-03,368515
19865,1081,5,223.100000000,2022-01-03,368297
19865,9523,12,119.880000000,2022-01-03,368297
26026,1120,30,536.400000000,2022-01-04,368423
26371,594,18,584.820000000,2022-01-04,368430
26426,594,6,205.440000000,2022-01-04,368418
26627,847,12,486.960000000,2022-01-04,368361
26627,1095,12,483.600000000,2022-01-04,368361
6249,594,54,1848.960000000,2022-01-04,368416
20180,1081,12,495.000000000,2022-01-04,368406
15470,594,12,389.880000000,2022-01-04,368395
11680,594,18,616.320000000,2022-01-04,368488
11792,594,12,410.880000000,2022-01-04,368485
15742,594,6,205.440000000,2022-01-04,368486
25442,594,12,389.760000000,2022-01-04,368259
3793,908,5,171.300000000,2022-01-04,368432
23085,847,6,243.480000000,2022-01-04,368289
19444,594,6,205.440000000,2022-01-04,368446
25448,1057,8,259.920000000,2022-01-04,368341
22242,847,6,277.140000000,2022-01-04,368422
22830,594,6,194.940000000,2022-01-04,368491
25893,908,6,219.540000000,2022-01-04,368494
7695,1101,8,289.360000000,2022-01-04,368370
13731,1101,8,289.360000000,2022-01-04,368449
6148,1081,6,247.500000000,2022-01-04,368350
26701,594,4,136.960000000,2022-01-04,368305
11208,1081,12,474.120000000,2022-01-04,368283
5080,1000,1,26.520000000,2022-01-04,368368
22949,594,1,31.650000000,2022-01-04,368514
20141,594,60,2054.400000000,2022-01-04,368343
15474,1054,2,93.120000000,2022-01-04,368492
19817,594,12,410.880000000,2022-01-04,368348
20814,787,12,347.640000000,2022-01-04,368319
4098,1000,10,290.000000000,2022-01-04,368420
4098,1101,32,1157.440000000,2022-01-04,368420
19232,1000,10,265.200000000,2022-01-04,368419
26472,1113,12,153.720000000,2022-01-04,368347
26472,9562,1,26.890000000,2022-01-04,368347
23117,1113,12,153.720000000,2022-01-04,368320
21086,1120,10,178.800000000,2022-01-04,368270
25312,9549,22,172.260000000,2022-01-04,368277
4455,1112,20,152.400000000,2022-01-04,368398
11442,787,18,521.460000000,2022-01-04,368394
7955,847,12,486.960000000,2022-01-04,368390
7955,9523,12,150.360000000,2022-01-04,368390
10646,9525,12,133.320000000,2022-01-04,368340
10646,9549,22,172.260000000,2022-01-04,368340
26667,1112,60,457.200000000,2022-01-04,368445
21598,9337,6,154.980000000,2022-01-04,368375
5311,787,24,642.720000000,2022-01-04,368470
5019,787,12,324.120000000,2022-01-04,368421
20690,787,24,695.280000000,2022-01-04,368357
20635,594,12,389.880000000,2022-01-04,368475
22509,847,6,243.480000000,2022-01-04,368458
26602,1113,48,601.440000000,2022-01-04,368338
26602,9527,32,328.640000000,2022-01-04,368338
26602,9549,44,344.520000000,2022-01-04,368338
24942,9528,20,130.200000000,2022-01-04,368374
23297,1112,20,145.600000000,2022-01-04,368299
21245,1113,12,144.480000000,2022-01-04,368284
21245,9527,16,158.880000000,2022-01-04,368284
21245,9549,22,172.260000000,2022-01-04,368285
24543,594,6,192.480000000,2022-01-04,368262
20669,594,12,389.880000000,2022-01-04,368428
23650,787,30,869.100000000,2022-01-04,368302
4897,1095,12,483.600000000,2022-01-04,368376
18688,594,6,179.520000000,2022-01-04,368372
7899,594,10,299.100000000,2022-01-04,368516
23916,1000,10,265.200000000,2022-01-04,368304
19574,1112,20,152.400000000,2022-01-04,368274
19574,9520,12,160.920000000,2022-01-04,368274
23094,9520,12,0.000000000,2022-01-04,368403
23094,9520,120,1609.200000000,2022-01-04,368365
23094,9549,22,172.260000000,2022-01-04,368365
24026,847,18,730.440000000,2022-01-04,368351
24026,1095,18,725.400000000,2022-01-04,368351
22494,594,12,389.880000000,2022-01-04,368405
8271,594,6,205.440000000,2022-01-04,368417
16382,1072,6,335.400000000,2022-01-04,368295
26357,1081,6,247.500000000,2022-01-04,368400
22167,787,12,359.880000000,2022-01-04,368435
19605,9564,1,31.990000000,2022-01-04,368554
24847,1120,2,27.860000000,2022-01-04,368551
5398,594,20,638.200000000,2022-01-04,368664
19939,847,2,81.160000000,2022-01-04,368749
19939,1081,2,82.500000000,2022-01-04,368749
20047,1118,1,7.250000000,2022-01-04,368696
17304,847,12,486.960000000,2022-01-05,368644
21892,787,6,173.820000000,2022-01-05,368661
17188,847,48,1826.400000000,2022-01-05,368640
17188,847,24,913.200000000,2022-01-05,368653
23862,1113,36,461.160000000,2022-01-05,368688
10863,594,12,410.880000000,2022-01-05,368687
11682,1000,10,251.900000000,2022-01-05,368576
4562,9525,12,127.320000000,2022-01-05,368611
4562,9527,16,155.360000000,2022-01-05,368611
11809,9525,12,133.320000000,2022-01-05,368560
25521,787,6,162.000000000,2022-01-05,368667
14491,9524,20,125.000000000,2022-01-05,368569
14491,9525,12,123.480000000,2022-01-05,368569
6501,787,12,324.000000000,2022-01-05,368607
25717,1113,24,307.440000000,2022-01-05,368764
25717,1116,18,190.620000000,2022-01-05,368764
25717,9523,36,451.080000000,2022-01-05,368764
25717,9524,20,132.200000000,2022-01-05,368764
25717,9527,16,158.880000000,2022-01-05,368764
25717,9549,22,172.260000000,2022-01-05,368764
15868,1112,20,152.400000000,2022-01-05,368614
15868,1113,24,307.440000000,2022-01-05,368614
