CEP,Logradouro,Bairro,Cidade,UF
57305210,RUA ABDIAS FRANCISCO DOS SANTOS,MANUEL TELES,ARAPIRACA,AL
57305270,RUA ABEL MONTEIRO DE MAIA,MANUEL TELES,ARAPIRACA,AL
57306490,RUA ABRAÃO DE OLIVEIRA,CAVACO,ARAPIRACA,AL
57301734,RUA ADALGISA FERNANDES CAVALCANTE,SÃO LUIZ II,ARAPIRACA,AL
57316395,RUA ADEILDO NEPOMUCENO MARQUES,NOVA ESPERANÇA,ARAPIRACA,AL
57308100,RUA ADEMAR MEDEIROS,PLANALTO,ARAPIRACA,AL
57313705,RUA ADERVAL INÁCIO DA SILVA,BRASÍLIA,ARAPIRACA,AL
57313700,RUA ADILSON TORRES DE MELO,BRASÍLIA,ARAPIRACA,AL
57303250,RUA ADJALMA SILVA,BOA VISTA,ARAPIRACA,AL
57316090,RUA ADRIÃO HENRIQUE SILVA,JARDIM TROPICAL,ARAPIRACA,AL
57301412,RUA ADVOGADO MÁRIO CORREIA MACÊDO,SÃO LUIZ,ARAPIRACA,AL
57305310,RUA AFONSO PENA,MANUEL TELES,ARAPIRACA,AL
57301250,RUA AFRA ALBUQUERQUE LIMA,SÃO LUIZ,ARAPIRACA,AL
57301393,RUA AFRA CORREIA BARBOSA,SÃO LUIZ,ARAPIRACA,AL
57316065,PRAÇA AFRÂNIO SALGADO LAGES,JARDIM TROPICAL,ARAPIRACA,AL
57305705,RUA AGNELO LEITE,ZÉLIA BARBOSA ROCHA,ARAPIRACA,AL
57307130,RUA AGRIPINO DAMASCENO RIBEIRO,BAIXA GRANDE,ARAPIRACA,AL
57308000,RODOVIA AL-220 - LADO PAR,PLANALTO,ARAPIRACA,AL
57312220,RUA ALAN KARDEC,SANTA ESMERALDA,ARAPIRACA,AL
57314090,RUA ALVINA NUNES DA SILVA,ITAPOÃ,ARAPIRACA,AL
57307050,RUA AMÁLIA GONZAGA LIMA,BAIXA GRANDE,ARAPIRACA,AL
57314290,RUA AMÂNCIO MATIAS DA SILVA,ITAPOÃ,ARAPIRACA,AL
57303150,RUA AMAZONAS,VERDES CAMPOS,ARAPIRACA,AL
57304060,RUA ESTUDANTE ANA BEATRIZ,PRIMAVERA,ARAPIRACA,AL
57301360,RUA ANA LÚCIA ANDRADE NEVES,SÃO LUIZ,ARAPIRACA,AL
57304280,RUA ANA MARIA MENDES LIRA,PRIMAVERA,ARAPIRACA,AL
57306130,RUA ANA NERY,ELDORADO,ARAPIRACA,AL
57301706,RUA ANA ROSA DE OLIVEIRA,SÃO LUIZ II,ARAPIRACA,AL
57308190,RUA ANADIA,PLANALTO,ARAPIRACA,AL
57307330,AVENIDA ANDRÉ AVELINO DA SILVA,JARDIM ESPERANÇA,ARAPIRACA,AL
57312650,RUA ANDRÉ FÉLIX DA SILVA,NOVO HORIZONTE,ARAPIRACA,AL
57313160,AVENIDA ANDRÉ LEÃO,BRASÍLIA,ARAPIRACA,AL
57305390,RUA ÂNGELO TAVARES,BAIXÃO,ARAPIRACA,AL
57300270,RUA ANÍBAL LIMA,CENTRO,ARAPIRACA,AL
57311046,RUA ANITA ARISTIDES DA SILVA,JARDIM DE MARIA,ARAPIRACA,AL
57300250,LARGO AMPHILÓFIO C. SOUZA GUERRA,CENTRO,ARAPIRACA,AL
