CEP,Logradouro,Bairro,Cidade,UF
58307130,RUA ABDON MILANEZ,CENTRO,BAYEUX,PB
58305330,RUA ADAUTO CARVALHO,SÃO BENTO,BAYEUX,PB
58306220,RUA ADEMIR MOREIRA ARAÚJO,JARDIM SÃO SEVERINO,BAYEUX,PB
58305270,RUA ALEXANDRINO DE SANTANA,SÃO BENTO,BAYEUX,PB
58309140,RUA ALMIRANTE TAMANDARÉ,IMACULADA,BAYEUX,PB
58309450,1ª TRAVESSA ALMIRANTE TAMANDARÉ,IMACULADA,BAYEUX,PB
58309145,2ª TRAVESSA ALMIRANTE TAMANDARÉ,IMACULADA,BAYEUX,PB
58307660,RUA AMÂNCIO NUTO DE LACERDA,TAMBAY,BAYEUX,PB
58307560,RUA ANA NERY,TAMBAY,BAYEUX,PB
58309030,RUA ANTÔNIO COELHO DE SOUSA,IMACULADA,BAYEUX,PB
58308325,RUA ANTÔNIO FÉLIX,JARDIM AEROPORTO,BAYEUX,PB
58307070,RUA ANTÔNIO FERREIRA,CENTRO,BAYEUX,PB
58308300,RUA ANTÔNIO LEANDRO MEDEIROS,ALTO DA BOA VISTA,BAYEUX,PB
58305130,AVENIDA ANTÔNIO VENÂNCIO,SÃO BENTO,BAYEUX,PB
58307030,RUA ARISTÉIA FRANCISCA,CENTRO,BAYEUX,PB
58305040,RUA ARNAUD OLIVEIRA LIMA,SÃO BENTO,BAYEUX,PB
58307300,RUA AURORA,BRASÍLIA,BAYEUX,PB
58305310,RUA BALBINO MENDONÇA,SÃO BENTO,BAYEUX,PB
58307600,RUA BARÃO DO BOM RETIRO,TAMBAY,BAYEUX,PB
58308510,RUA DOUTOR BEZERRA DE MENEZES,ALTO DA BOA VISTA,BAYEUX,PB
58309600,RODOVIA BR-101,MANGUINHOS,BAYEUX,PB
58305230,VILA CABO LIMA,SÃO BENTO,BAYEUX,PB
58305190,RUA CAPITÃO JOÃO PAREDES,SÃO BENTO,BAYEUX,PB
58305195,VILA CAPITÃO JOÃO PAREDES,SÃO BENTO,BAYEUX,PB
58306130,RUA MANOEL FRANCISCO VENÂNCIO,CENTRO,BAYEUX,PB
58309070,RUA CARLOS GOMES,IMACULADA,BAYEUX,PB
58307330,RUA CAROLINA MACHADO,TAMBAY,BAYEUX,PB
58309330,RUA CASTRO ALVES,IMACULADA,BAYEUX,PB
