CEP,Logradouro,Bairro,Cidade,UF
64216095,RUA A,SANTA LUZIA,PARNAÍBA,PI
64205565,TRAVESSA FIRMINO TEIXEIRA DO AMARAL,JOÃO XXIII,PARNAÍBA,PI
64212010,RUA ADÍLIA BORGES,RODOVIÁRIA,PARNAÍBA,PI
64215275,RUA AFONSO PENA - ATÉ 2099/2100,PINDORAMA,PARNAÍBA,PI
64207023,RUA AFONSO PENA - DE 2101/2102 AO FIM,FREI HIGINO,PARNAÍBA,PI
64206270,RUA AGRIMENSOR ALPRIM DA SILVA ARRY,SÃO JUDAS TADEU,PARNAÍBA,PI
64215370,RUA AIMORÉS,BOA ESPERANÇA,PARNAÍBA,PI
64218360,RUA ALARICO JOSÉ DA CUNHA,SÃO JOSÉ,PARNAÍBA,PI
64218600,RUA ALBERTO CORREIA,NOVA PARNAÍBA,PARNAÍBA,PI
64200190,RUA ALCENOR CANDEIRA,CENTRO,PARNAÍBA,PI
64210490,RUA ALEGRIA,DIRCEU ARCOVERDE,PARNAÍBA,PI
64200250,RUA ALMIRANTE GERVÁSIO SAMPAIO,CENTRO,PARNAÍBA,PI
64218305,RUA ALTO LONGÁ,SÃO JOSÉ,PARNAÍBA,PI
64218375,AVENIDA ÁLVARO MENDES,NOVA PARNAÍBA,PARNAÍBA,PI
64204230,RUA ALZIRA GUILHERMINA NEVES,REIS VELOSO,PARNAÍBA,PI
64215150,TRAVESSA ANHANGÜERA,SÃO FRANCISCO DA GUARITA,PARNAÍBA,PI
64215195,RUA ANHANGÜERA - ATÉ 1905/1906,SÃO FRANCISCO DA GUARITA,PARNAÍBA,PI
64208120,RUA ANHANGÜERA - DE 1907/1908 AO FIM,PIAUÍ,PARNAÍBA,PI
64218200,RUA ANÍSIO DE ABREU,SÃO JOSÉ,PARNAÍBA,PI
64215480,RUA ANÍSIO NEVES,BOA ESPERANÇA,PARNAÍBA,PI
64212020,RUA ANTONIETA VELOSO,RODOVIÁRIA,PARNAÍBA,PI
64218340,PRAÇA ANTÔNIO DO MONTE,SÃO JOSÉ,PARNAÍBA,PI
64216150,RUA ANTÔNIO VERAS,SANTA LUZIA,PARNAÍBA,PI
64218260,RUA AREOLINO DE ABREU,SÃO JOSÉ,PARNAÍBA,PI
64212025,RUA ARIZONA,RODOVIÁRIA,PARNAÍBA,PI
64215215,TRAVESSA ARMANDO BURLAMAQUI,SÃO FRANCISCO DA GUARITA,PARNAÍBA,PI
64212090,LOTEAMENTO ATLÂNTICO,RODOVIÁRIA,PARNAÍBA,PI
64202155,RUA AUGUSTO SEVERO,NOSSA SENHORA DE FÁTIMA,PARNAÍBA,PI
64204100,RUA B,REIS VELOSO,PARNAÍBA,PI
64200370,RUA BACHAREL BENJAMIN CONSTANT,CENTRO,PARNAÍBA,PI
64218870,RUA DA BAIXINHA,BEBEDOURO,PARNAÍBA,PI
64215670,RUA BANDEIRANTES,BOA ESPERANÇA,PARNAÍBA,PI
64218220,RUA BARÃO,SÃO JOSÉ,PARNAÍBA,PI
64204140,RUA DO MARIA LUÍSA SOARES DO NASCIMENTO,REIS VELOSO,PARNAÍBA,PI
64218020,RUA DOS BARQUEIROS,SÃO JOSÉ,PARNAÍBA,PI
64215805,CONJUNTO BEBETA II,CEARÁ,PARNAÍBA,PI
64208330,RUA BEIJA FLOR,PIAUÍ,PARNAÍBA,PI
64200110,RUA BEIRA RIO,NOSSA SENHORA DO CARMO,PARNAÍBA,PI
64217385,RUA BEIRA RIO,SÃO VICENTE DE PAULA,PARNAÍBA,PI
64204015,CONJUNTO BELA VISTA,REIS VELOSO,PARNAÍBA,PI
64204145,RUA BELARMINO PIRES,REIS VELOSO,PARNAÍBA,PI
64216130,RUA BENTIVI,SANTA LUZIA,PARNAÍBA,PI
64215610,RUA JOSÉ RODRIGUES DE MENEZES,BOA ESPERANÇA,PARNAÍBA,PI
64215630,RUA FRANCISCO VIEIRA CARDOSO,BOA ESPERANÇA,PARNAÍBA,PI
64202530,RUA BOA VISTA,SÃO BENEDITO,PARNAÍBA,PI
64207018,RUA BOM JESUS,FREI HIGINO,PARNAÍBA,PI
64216110,TRAVESSA BORGES,SANTA LUZIA,PARNAÍBA,PI
