CEP,Logradouro,Bairro,Cidade,UF
49090290,RUA MARIA DE LOURDES CRUZ DO NASCIMENTO,JARDIM CENTENÁRIO,ARACAJU,SE
49090520,RUA FAUSTINA ARAÚJO LIMA,BUGIO,ARACAJU,SE
49038050,ALAMEDA DOS JOSÉ CARLOS VITAL,AEROPORTO,ARACAJU,SE
49060010,RUA ABDIAS BEZERRA,PALESTINA,ARACAJU,SE
49046050,RUA ABDIAS NASCIMENTO,LUZIA,ARACAJU,SE
49047440,RUA ABGAIL FERREIRA ARAÚJO RAMOS,PONTO NOVO,ARACAJU,SE
49042010,RUA ABÍLIO FERREIRA,SÃO CONRADO,ARACAJU,SE
49082010,RUA ABOLIÇÃO,NOVO PARAÍSO,ARACAJU,SE
49055010,PRAÇA ACCIOLY PORTO,GETÚLIO VARGAS,ARACAJU,SE
49072010,RUA ACRE,DEZOITO DO FORTE,ARACAJU,SE
49075010,RUA ACRE - ATÉ 1084 - LADO PAR,SIQUEIRA CAMPOS,ARACAJU,SE
49075020,RUA ACRE - ATÉ 2501 - LADO ÍMPAR,SIQUEIRA CAMPOS,ARACAJU,SE
49080010,RUA ACRE - DE 1086 A 2504 - LADO PAR,AMÉRICA,ARACAJU,SE
49097010,RUA ACRE - DE 2505/2506 AO FIM,PONTO NOVO,ARACAJU,SE
49030010,PRAÇA ACRÍSIO GARCEZ,FAROLÂNDIA,ARACAJU,SE
49025340,RUA ACRÍSIO MOREIRA SIQUEIRA,JARDINS,ARACAJU,SE
49055020,TRAVESSA ADALTO BOTELHO,GETÚLIO VARGAS,ARACAJU,SE
49085010,RUA ADELAIDE DE SOUZA FERRAZ,JOSÉ CONRADO DE ARAÚJO,ARACAJU,SE
49040010,AVENIDA ADELBRANDO FRANCO MENEZES - LADO ÍMPAR,INÁCIO BARBOSA,ARACAJU,SE
49045010,AVENIDA ADELBRANDO FRANCO MENEZES - LADO PAR,LUZIA,ARACAJU,SE
49045020,RUA ADELERMO BRITO BOMFIM,LUZIA,ARACAJU,SE
49048010,AVENIDA ADÉLIA FRANCO - ATÉ 9998 - LADO PAR,LUZIA,ARACAJU,SE
49027010,AVENIDA ADÉLIA FRANCO - ATÉ 3249 - LADO ÍMPAR,GRAGERU,ARACAJU,SE
49040020,AVENIDA ADÉLIA FRANCO - DE 3251 AO FIM - LADO ÍMPAR,INÁCIO BARBOSA,ARACAJU,SE
49065010,RUA ADOZINDO DA COSTA PINTO,INDUSTRIAL,ARACAJU,SE
49031270,AVENIDA ADRIANO PRADO PAES MENDONÇA,FAROLÂNDIA,ARACAJU,SE
49040030,RUA ADROALDO CAMPOS,INÁCIO BARBOSA,ARACAJU,SE
49010730,TRAVESSA AFONSO FONSECA,CENTRO,ARACAJU,SE
49082020,RUA AFONSO PENA,NOVO PARAÍSO,ARACAJU,SE
49030020,RUA AGENOR MACHADO DE FREITAS,FAROLÂNDIA,ARACAJU,SE
49037720,RUA AGNALDO JOSÉ BRITO,AEROPORTO,ARACAJU,SE
49095740,PRAÇA AGRINALDO CAMPOS LIRA,JABOTIANA,ARACAJU,SE
49042020,RUA AIRTON SANTANA,SÃO CONRADO,ARACAJU,SE
