,Local,Tipo,SKU,Cód. Fabricante,Produto,Fabricante,Departamento,Seção,Categoria,Linha,Fator CX,Unid. CMP,Estoque,Qtde Pendente,Qtde Disponível,Caixa Disponível,Peso Disponível,Custo C/ST,Custo Total,Qtde CMP
465,DEMARCHI CENTRAL ,CENTRAL,9595,1000009716,"CONG. BATATA MCCAIN CORTE FINO (5X2,5 KG)",MCCAIN,CONGELADOS,BATATAS CONGELADAS,BATATA CORTE FINO,BATATA 7MM,5.0,CX,1750,0,1750,350.0,4375.0,29.312,51296.0,350.0
445,DEMARCHI CENTRAL ,CENTRAL,9573,503865,MASSA SBW CONG PAO BRANCO 11900G UNB,BIMBO,CONGELADOS,PADARIA,ARTESANAL,ARTESANAL,1.0,CX,1156,0,1156,1156.0,14334.4,77.9779,90142.45,1156.0
444,DEMARCHI CENTRAL ,CENTRAL,9572,503826,MASSA SBW CONG PAO 9 GRAOS 12900G UNB,BIMBO,CONGELADOS,PADARIA,ARTESANAL,ARTESANAL,1.0,CX,666,0,666,666.0,8258.4,91.5418,60966.84,666.0
401,DEMARCHI CENTRAL ,CENTRAL,9480,503873,PAO RIVIERA SC CONG CXP 6800G UNB,BIMBO,CONGELADOS,PADARIA,PAES FOOD,RIVIERA,9.0,CX,315,0,315,35.0,4126.5,10.7334,3381.02,35.0
449,DEMARCHI CENTRAL ,CENTRAL,9578,303502,"CONGELADO VAGEM INT GRANO (2,0KG)",GRANO,CONGELADOS,VEGETAIS CONGELADOS,VAGEM,"LEGUMES ATÉ 2,5KG",5.0,KG,250,0,250,50.0,500.0,28.44,7110.0,500.0
124,DEMARCHI CENTRAL ,CENTRAL,690,401.000.01,PALMITO 300G,CONTE,SECOS,PROD DIVERSOS SECOS,PALMITO,PALMITO INTEIRO,15.0,UN,211,0,211,14.0,63.3,11.328,2390.21,211.0
350,DEMARCHI CENTRAL ,CENTRAL,9394,101165171,POLPA DE BANANA IND CUBOS (12KG),DE MARCHI,CONGELADOS,POLPAS DE FRUTAS,POLPA BARRA,POLPA BARRA 12KG,1.0,KG,46,0,46,46.0,563.196,132.0528,6074.43,563.196
279,DEMARCHI CENTRAL ,CENTRAL,1171,7897424401239,ESFIHA CARNE ASSADA CONGELADO DM 1KG,CUNHA,CONGELADOS,SALGADOS,ESFIHA,SALGADOS,6.0,KG,46,0,46,7.0,46.0,26.208,1205.57,46.0
385,DEMARCHI CENTRAL ,CENTRAL,9452,503842,BOLO VOVO COCO 2500G BV,BIMBO,CONGELADOS,PADARIA,BOLOS,BOLO DA VOVO,8.0,CX,44,0,44,5.0,13.2,5.0576,222.53,5.0
463,DEMARCHI CENTRAL ,CENTRAL,9593,101132853,"CONGELADO BETERRABA CUBO (1,02KG)",DE MARCHI,CONGELADOS,VEGETAIS CONGELADOS,BETERRABA,"LEGUMES ATÉ 2,5KG",0.0,UN,41,0,41,,42.8369,6.7,274.7,41.0
254,DEMARCHI CENTRAL ,CENTRAL,1142,3014003,"CONGELADO CENOURA CUBO PRACTICE 2,5 KG",PRACTICE,CONGELADOS,VEGETAIS CONGELADOS,CENOURA,"LEGUMES ATÉ 2,5KG",10.0,KG,24,0,24,2.0,62.495,16.0,384.0,62.495
299,DEMARCHI CENTRAL ,CENTRAL,2508,101113651,(200G) POLPINHA DE MELANCIA,DE MARCHI,CONGELADOS,POLPAS DE FRUTAS,POLPINHA,POLPINHA 200G,4.0,KG,20,0,20,5.0,20.0,7.8865,157.73,20.0
334,DEMARCHI CENTRAL ,CENTRAL,9363,101157121,PESSEGO CONGELADO CUBOS 10MM BLOCO 10KG,DE MARCHI,CONGELADOS,FRUTAS CONGELADAS,FRUTAS A GRANEL,FRUTA A GRANEL,1.0,KG,20,0,20,20.0,200.0,112.0,2240.0,200.0
150,DEMARCHI CENTRAL ,CENTRAL,913,3017001,"CONGELADO COUVE DE BRUXELAS 2,5 KG PRACTICE",PRACTICE,CONGELADOS,VEGETAIS CONGELADOS,COUVE DE BRUXELAS,"LEGUMES ATÉ 2,5KG",6.0,KG,20,0,20,3.0,50.0,26.25,525.0,50.0
53,DEMARCHI CENTRAL ,CENTRAL,431,101184071,POLPA DE MORANGO (12KG),DE MARCHI,CONGELADOS,POLPAS DE FRUTAS,POLPA BARRA,POLPA BARRA 12KG,1.0,KG,20,0,20,20.0,240.0456,133.0935,2661.87,240.0456
60,DEMARCHI CENTRAL ,CENTRAL,449,101122515,IQF MELÃO (100G),DE MARCHI,CONGELADOS,FRUTAS CONGELADAS,FRUTAS 100G,FRUTA 100G,5.0,KG,15,0,15,3.0,15.0,9.8,147.0,15.0
322,DEMARCHI CENTRAL ,CENTRAL,9343,101194071,POLPA DE MELANCIA 12KG,DE MARCHI,CONGELADOS,POLPAS DE FRUTAS,POLPA BARRA,POLPA BARRA 12KG,1.0,KG,13,0,13,13.0,156.2856,74.4298,967.59,156.2856
271,DEMARCHI CENTRAL ,CENTRAL,1160,1967,MASSA RONDELE BÚFALA C/ NOZES DM 400G,PASTA NOBRE,CONGELADOS,PRATOS PRONTOS,MASSA,MASSA<1KG,10.0,UN,8,0,8,0.0,3.2,18.078,144.62,8.0
250,DEMARCHI CENTRAL ,CENTRAL,1136,1000010034,"CONGELADO BATATA MCCAIN SURECRINKLE SEASONED(2,5KG)",MCCAIN,CONGELADOS,BATATAS CONGELADAS,BATATA EXTRA CROCANTE,PALITO EXTRA CROCANT,4.0,KG,7,0,7,1.0,17.5,37.8225,264.76,17.5
454,DEMARCHI CENTRAL ,CENTRAL,9583,303407,CONGELADO SELETA MIX BROCOLIS GRANO (2KG),GRANO,CONGELADOS,VEGETAIS CONGELADOS,MIX,LEGUMES 2KG,6.0,KG,6,0,6,1.0,12.0,22.24,133.44,12.0
458,DEMARCHI CENTRAL ,CENTRAL,9587,2282,EMPADA 20G PALMITO CONGELADO DM 1KG,CUNHA,CONGELADOS,SALGADOS,EMPADA,SALGADOS,8.0,KG,6,0,6,0.0,6.0,36.2638,217.58,6.0
283,DEMARCHI CENTRAL ,CENTRAL,2008,101112601,(200G) POLPINHA DE ACAI,DE MARCHI,CONGELADOS,POLPAS DE FRUTAS,POLPINHA,POLPINHA 200G,4.0,KG,6,0,6,1.0,6.0,6.9935,41.96,6.0
260,DEMARCHI CENTRAL ,CENTRAL,1148,101825031,CONGELADO PAO AZEITE E AZEITONAS 220GR DEMARCHI,DE MARCHI,CONGELADOS,PADARIA,PÃES DE MARCHI,PÃES,20.0,UN,5,0,5,0.0,1.1,7.9095,39.55,5.0
