CEP,Logradouro,Bairro,Cidade,UF
65606030,TRAVESSA AARÃO REIS,CENTRO,CAXIAS,MA
65602230,TRAVESSA ACRÍSIO CRUZ,CENTRO,CAXIAS,MA
65602690,RUA AEROPORTO VELHO,SERIEMA,CAXIAS,MA
65604000,RUA AFONSO CUNHA,CENTRO,CAXIAS,MA
65600060,RUA AFONSO PENA,CENTRO,CAXIAS,MA
65608030,RUA AGOSTINHO REIS,CENTRO,CAXIAS,MA
65606630,RUA ALECRIM,CENTRO,CAXIAS,MA
65606200,TRAVESSA DO ALECRIM,CANGALHEIRO,CAXIAS,MA
65604360,RUA DA ALEGRIA,CENTRO,CAXIAS,MA
65604390,TRAVESSA ALTO DA CRUZ,NOVA CAXIAS,CAXIAS,MA
65604330,RUA ALTO DA CRUZ,NOVA CAXIAS,CAXIAS,MA
65608290,VILA ALTO DO SOSSEGO,TREZIDELA,CAXIAS,MA
65608430,RUA AMAZONAS,PIRAJÁ,CAXIAS,MA
65608540,RUA ANA AMÉLIA,CENTRO,CAXIAS,MA
65606220,TRAVESSA DO ANGELIM,CANGALHEIRO,CAXIAS,MA
65607560,RUA ANICETO CRUZ,PONTE,CAXIAS,MA
65607570,1ª TRAVESSA ANICETO CRUZ,PONTE,CAXIAS,MA
65607580,2ª TRAVESSA ANICETO CRUZ,PONTE,CAXIAS,MA
65607590,3ª TRAVESSA ANICETO CRUZ,PONTE,CAXIAS,MA
65606400,RUA ANICETO CRUZ,VOLTA REDONDA,CAXIAS,MA
65606080,RUA ANTÔNIO JOAQUIM,CENTRO,CAXIAS,MA
65602240,RUA ANTÔNIO PEREIRA NETO,CENTRO,CAXIAS,MA
65602270,RUA DA AROEIRA,CENTRO,CAXIAS,MA
65602260,TRAVESSA DA ARUEIRA,CENTRO,CAXIAS,MA
65600230,1ª TRAVESSA CENTRAL,REFINARIA,CAXIAS,MA
65600430,TRAVESSA BAIXINHA,REFINARIA,CAXIAS,MA
65600410,RUA DA BAIXINHA,REFINARIA,CAXIAS,MA
65604110,AVENIDA BANDEIRANTE,CASTELO BRANCO,CAXIAS,MA
65606570,RUA BARRINHA,CANGALHEIRO,CAXIAS,MA
65600240,BECO DO GALO,CENTRO,CAXIAS,MA
65606330,RUA BELA VISTA,VOLTA REDONDA,CAXIAS,MA
65604190,2ª TRAVESSA BELA VISTA,CASTELO BRANCO,CAXIAS,MA
65604180,1ª TRAVESSA BELA VISTA,CASTELO BRANCO,CAXIAS,MA
65604160,RUA BELA VISTA,CASTELO BRANCO,CAXIAS,MA
65607600,RUA BELO HORIZONTE,PONTE,CAXIAS,MA
65604020,RUA BENEDITO LEITE,CENTRO,CAXIAS,MA
65604270,1ª TRAVESSA BENJAMIN CONSTANT,NOVA CAXIAS,CAXIAS,MA
65604280,2ª TRAVESSA BENJAMIN CONSTANT,NOVA CAXIAS,CAXIAS,MA
65609600,TRAVESSA BERENICE CASTELO,SALOBRO,CAXIAS,MA
