CEP,Logradouro,Bairro,Cidade,UF
59612300,AVENIDA ABEL COELHO,ABOLIÇÃO,MOSSORÓ,RN
59633360,RUA ABOLICIONISTA ANDRÉ CURSINO,PLANALTO TREZE DE MAIO,MOSSORÓ,RN
59626010,RUA ADAILTON LEITE,RINCÃO,MOSSORÓ,RN
59603070,RUA ADAUTO CÂMARA,DOZE ANOS,MOSSORÓ,RN
59631260,RUA ADOLFO RODRIGUES,ALTO DE SÃO MANOEL,MOSSORÓ,RN
59614240,RUA ADONIAS CLEMENTINO LIMA,ABOLIÇÃO,MOSSORÓ,RN
59626620,RUA ADONIS DUARTE FERREIRA,RINCÃO,MOSSORÓ,RN
59612850,RUA ADRIÃO DUARTE,ABOLIÇÃO,MOSSORÓ,RN
59619260,RUA ADRIÃOZINHO,ABOLIÇÃO,MOSSORÓ,RN
59618020,RUA AFONSO PENA,PAREDÕES,MOSSORÓ,RN
59619010,RUA AFONSO PENA,SANTO ANTÔNIO,MOSSORÓ,RN
59619700,RUA AGOSTINHO FERNANDES SEGUNDO,SANTO ANTÔNIO,MOSSORÓ,RN
59618114,RUA AGOSTINHO MILITÃO,PAREDÕES,MOSSORÓ,RN
59633210,RUA AGRÔNOMO ASSIS REINALDO,PLANALTO TREZE DE MAIO,MOSSORÓ,RN
59626040,RUA AILTON DUARTE FERREIRA,RINCÃO,MOSSORÓ,RN
59607060,RUA ALAÍDE DA ESCÓSSIA,NOVA BETÂNIA,MOSSORÓ,RN
59628180,RUA JOSÉ MARCELINO DE ARAÚJO,ALTO DE SÃO MANOEL,MOSSORÓ,RN
59626330,RUA ALBERTO BEZERRA,RINCÃO,MOSSORÓ,RN
59600485,AVENIDA ALBERTO MARANHÃO,BELO HORIZONTE,MOSSORÓ,RN
59618700,AVENIDA ALBERTO MARANHÃO,BOM JARDIM,MOSSORÓ,RN
59621000,AVENIDA ALBERTO MARANHÃO,BARROCAS,MOSSORÓ,RN
59615600,RUA ALCINDO FALCÃO,SANTA DELMIRA,MOSSORÓ,RN
59626050,RUA ALDECI RODRIGUES DA SILVA,RINCÃO,MOSSORÓ,RN
59615490,RUA ALDO DAMIÃO,SANTA DELMIRA,MOSSORÓ,RN
59612080,RUA ALDO FERNANDES,NOVA BETÂNIA,MOSSORÓ,RN
59604450,RUA RAIMUNDO JACINTO DA COSTA,BELO HORIZONTE,MOSSORÓ,RN
59618030,RUA ALEXANDRE BARAÚNA,PAREDÕES,MOSSORÓ,RN
59607540,RUA ALEXANDRE GOMES,AEROPORTO,MOSSORÓ,RN
59605030,RUA ALEXANDRE SILVA,BOA VISTA,MOSSORÓ,RN
59628120,RUA ALEXANDRE SOARES DO COUTO,ALTO DE SÃO MANOEL,MOSSORÓ,RN
59619410,RUA ALFREDO ANANIAS,ABOLIÇÃO,MOSSORÓ,RN
59631310,RUA DEUZANIRA DEUZA DE LIMA,ALTO DE SÃO MANOEL,MOSSORÓ,RN
59600180,RUA ALFREDO FERNANDES,CENTRO,MOSSORÓ,RN
59619050,RUA PADRE ALFREDO SIMONETI,SANTO ANTÔNIO,MOSSORÓ,RN
59600294,PRAÇA ALÍPIO BANDEIRA,ALTO DA CONCEIÇÃO,MOSSORÓ,RN
59620325,RUA ALMIRANTE ARY PARREIRAS,REDENÇÃO,MOSSORÓ,RN
59600290,RUA ALMIRANTE BARROSO,ALTO DA CONCEIÇÃO,MOSSORÓ,RN
59628250,RUA CHIQUINCA DE GERMANO,ALTO DE SÃO MANOEL,MOSSORÓ,RN
59605040,RUA AMÂNCIO LEITE,BOA VISTA,MOSSORÓ,RN
59603030,RUA AMARO DUARTE - ATÉ 281/282,DOZE ANOS,MOSSORÓ,RN
59612060,RUA AMARO DUARTE - DE 283/284 AO FIM,NOVA BETÂNIA,MOSSORÓ,RN
59626500,RUA AMÉLIA RESENDE,RINCÃO,MOSSORÓ,RN
59605060,RUA ANA NERI,BOA VISTA,MOSSORÓ,RN
59616320,RUA ANALINO SALGADO,SANTA DELMIRA,MOSSORÓ,RN
59633420,RUA ANANIAS BEDEO,PLANALTO TREZE DE MAIO,MOSSORÓ,RN
59612170,RUA ANANIAS RAIMUNDO DE ALMEIDA,ABOLIÇÃO,MOSSORÓ,RN
59615280,RUA ANDRONICO LEITE REBOUÇAS,SANTA DELMIRA,MOSSORÓ,RN
59626080,RUA ANELSON JALES,RINCÃO,MOSSORÓ,RN
59625450,RUA DOS ANGICOS,PRESIDENTE COSTA E SILVA,MOSSORÓ,RN
59604424,RUA ANTÃO RODRIGUES,BELO HORIZONTE,MOSSORÓ,RN
59604423,TRAVESSA ANTÃO RODRIGUES,BELO HORIZONTE,MOSSORÓ,RN
59612700,RUA ANTÔNIO AMARAL,ABOLIÇÃO,MOSSORÓ,RN
59619690,RUA ANTÔNIO AUGUSTO DE CASTRO,ABOLIÇÃO,MOSSORÓ,RN
59628600,AVENIDA ANTÔNIO BENTO,DOM JAIME CÂMARA,MOSSORÓ,RN
59612270,RUA ANTÔNIO BEZERRA,ABOLIÇÃO,MOSSORÓ,RN
59621340,TRAVESSA ANTÔNIO BORGES DE ANDRADE,SANTO ANTÔNIO,MOSSORÓ,RN
59633230,RUA ANTÔNIO CÂMARA,PLANALTO TREZE DE MAIO,MOSSORÓ,RN
59621350,TRAVESSA ANTÔNIO CHAVES,SANTO ANTÔNIO,MOSSORÓ,RN
59619635,TRAVESSA ANTÔNIO CIRILINO,ABOLIÇÃO,MOSSORÓ,RN
59619630,RUA ANTÔNIO CIRILINO,ABOLIÇÃO,MOSSORÓ,RN
59633125,TRAVESSA ANTÔNIO CIRILO,PLANALTO TREZE DE MAIO,MOSSORÓ,RN
59605275,RUA ANTÔNIO COSTA FILHO,DOZE ANOS,MOSSORÓ,RN
