CEP,Logradouro,Bairro,Cidade,UF
97542010,RUA ABRELINO DA SILVA VALES,MACEDO,ALEGRETE,RS
97546640,RUA ACÁCIO DO PRADO PEDROSO,BALNEÁRIO CAVERÁ,ALEGRETE,RS
97547010,RUA AÇUCENAS,CAPÃO DO ANGICO,ALEGRETE,RS
97541010,RUA ADÃO ALVES PAIM,RUI RAMOS,ALEGRETE,RS
97545010,RUA ADOLFHO KURTZ,JARDIM PLANALTO,ALEGRETE,RS
97541020,RUA ADOLFO SOUTO CORRÊA,VILA NOVA,ALEGRETE,RS
97546650,AVENIDA AFONSO LIGORIO,BALNEÁRIO CAVERÁ,ALEGRETE,RS
97547550,RUA AFONSO DE MACEDO CASADO,DR. ROMÁRIO A DE OLIVEIRA,ALEGRETE,RS
97545020,RUA AGAPITO LARA RODRIGUES,LARA,ALEGRETE,RS
97545030,RUA ALBERTO PASQUALINE,KENNEDY,ALEGRETE,RS
97545040,RUA ALBERTO XAVIER,JARDIM PLANALTO,ALEGRETE,RS
97543010,RUA ALCEU WAMOSY,ASSUNÇÃO,ALEGRETE,RS
97547020,RUA ALCIDES SANTANA MAGALHÃES,FAVILA,ALEGRETE,RS
97546020,RUA ALENCAR DA SILVA BICA,PROMORAR,ALEGRETE,RS
97542030,RUA ALFEU BICCA DE MEDEIROS,RESTINGA,ALEGRETE,RS
97544010,RUA ALFREDO GONÇALVES FILHO,JOAQUIM FONSECA MILANO,ALEGRETE,RS
97543020,RUA ALLAN KARDEC,ASSUNÇÃO,ALEGRETE,RS
97546030,RUA ALMEDORINA OLIVEIRA,CENTENÁRIO,ALEGRETE,RS
97546040,RUA ALOÍSIO DOS SANTOS MORAIS,PROMORAR,ALEGRETE,RS
97544020,RUA ALONSO MEDEIROS,JOAQUIM FONSECA MILANO,ALEGRETE,RS
97545050,RUA ÁLVARO IGNÁCIO DE MEDEIROS,ATLÂNTIDA,ALEGRETE,RS
97547030,RUA AMAPÁ,SANTOS DUMONT,ALEGRETE,RS
97547040,RUA AMAZONAS,SANTOS DUMONT,ALEGRETE,RS
97544030,RUA DAS AMÉRICAS,VERA CRUZ,ALEGRETE,RS
97546700,RUA ANACLETO CADORE,BALNEÁRIO CAVERÁ,ALEGRETE,RS
97547540,RUA ANACLIDES SEVERO RIBEIRO,DR. ROMÁRIO A DE OLIVEIRA,ALEGRETE,RS
97541001,RUA DOS ANDRADAS - LADO ÍMPAR,CENTRO,ALEGRETE,RS
97541000,RUA DOS ANDRADAS - LADO PAR,CENTRO,ALEGRETE,RS
97547050,RUA ANDRÉ CORTELINI,FAVILA,ALEGRETE,RS
97547430,RUA ÂNGELO GOMES,PALMA,ALEGRETE,RS
97543030,RUA ANITA GARIBALDI,ASSUNÇÃO,ALEGRETE,RS
97546050,RUA ANITA PÍCCOLI,CENTENÁRIO,ALEGRETE,RS
97542050,RUA ANTENOR SANTOS MENEZES,MACEDO,ALEGRETE,RS
97543040,RUA ANTÔNIO BRASIL MILANO,PROGRESSO,ALEGRETE,RS
97547440,RUA ANTÔNIO FRANQUEIRA DA COSTA,NOSSA SENHORA DA CONCEIÇÃO APARECIDA,ALEGRETE,RS
97545070,AVENIDA ANTÔNIO JOSÉ DE VARGAS,NOVO LAR,ALEGRETE,RS
97547490,RUA ANTÔNIO REPETTO ROGOSKI,DR. ROMÁRIO A DE OLIVEIRA,ALEGRETE,RS
97546660,RUA ANTÔNIO SALVE REGINA,BALNEÁRIO CAVERÁ,ALEGRETE,RS
97547070,RUA ARAÇÁ,CAPÃO DO ANGICO,ALEGRETE,RS
97544040,RUA ARGENTINA,VERA CRUZ,ALEGRETE,RS
97547060,PRAÇA ARISTIDES CARVALHO,CAPÃO DO ANGICO,ALEGRETE,RS
97547480,RUA ARLIM SILVA PINHEIRO,DR. ROMÁRIO A DE OLIVEIRA,ALEGRETE,RS
97544050,RUA ARMANDO GRILLO,JOAQUIM FONSECA MILANO,ALEGRETE,RS
97542060,RUA ARNALDO BALVE,IZABEL,ALEGRETE,RS
97541030,RUA ARTHUR BENTO HORMAIN,VILA NOVA,ALEGRETE,RS
