CEP,Logradouro,Bairro,Cidade,UF
89012078,RUA ABACATEIRO,VICTOR KONDER,BLUMENAU,SC
89032130,RUA DAS ACÁCIAS,SALTO WEISSBACH,BLUMENAU,SC
89068165,RUA ACÁCIO BERNARDES,ITOUPAVA CENTRAL,BLUMENAU,SC
89053175,RUA ACÁCIO PEREIRA,ITOUPAVA NORTE,BLUMENAU,SC
89020450,RUA ACHILES JACOBSEN,GARCIA,BLUMENAU,SC
89065340,RUA ACHILES CAVILHA,SALTO DO NORTE,BLUMENAU,SC
89058140,RUA ACONCÁGUA,FORTALEZA ALTA,BLUMENAU,SC
89055330,RUA AÇORES,TRIBESS,BLUMENAU,SC
89022430,RUA ACRE,GARCIA,BLUMENAU,SC
89041470,RUA ACRÍSIO MOREIRA DA COSTA,ÁGUA VERDE,BLUMENAU,SC
89041740,RUA ADAM BITTELBRUNN,ÁGUA VERDE,BLUMENAU,SC
89045230,RUA ADÉCIO GONÇALVES,VELHA,BLUMENAU,SC
89032301,RUA ADELE JANSEN,PASSO MANSO,BLUMENAU,SC
89066354,RUA ADELE WRUCK,ITOUPAVAZINHA,BLUMENAU,SC
89066372,RUA ADÉLIA KRUTSCH,ITOUPAVAZINHA,BLUMENAU,SC
89027750,RUA ADELINA NUSS,PROGRESSO,BLUMENAU,SC
89037395,RUA ADELINO PEREIRA,ÁGUA VERDE,BLUMENAU,SC
89015145,RUA ADILSON DOS SANTOS,RIBEIRÃO FRESCO,BLUMENAU,SC
89066558,RUA ADIR AMORIM,ITOUPAVAZINHA,BLUMENAU,SC
89056161,RUA ADMAR MANOEL DOS SANTOS,FORTALEZA,BLUMENAU,SC
89070090,RUA ADOLF PUFF,BADENFURT,BLUMENAU,SC
89074390,RUA ADOLFO BAULER,ITOUPAVAZINHA,BLUMENAU,SC
89074150,RUA ADOLFO BUHR,TESTO SALTO,BLUMENAU,SC
89036780,RUA ADOLFO DE ZUTTER,VELHA,BLUMENAU,SC
89022160,RUA ADOLFO FREYGANG,GARCIA,BLUMENAU,SC
89030060,RUA ADOLFO JOSÉ DOS SANTOS,ITOUPAVA SECA,BLUMENAU,SC
89041110,RUA ADOLFO KARSTEN,VELHA,BLUMENAU,SC
89023612,RUA ADOLFO KOLPING,VALPARAISO,BLUMENAU,SC
89075680,RUA ADOLFO KRAUSE,VILA ITOUPAVA,BLUMENAU,SC
89036560,RUA ADOLFO MAX HOESCHL,ÁGUA VERDE,BLUMENAU,SC
89056010,RUA ADOLFO RADUNZ,FORTALEZA,BLUMENAU,SC
89030280,RUA ADOLFO REIF,ITOUPAVA SECA,BLUMENAU,SC
89015405,RUA ADOLFO SCHMALZ,VORSTADT,BLUMENAU,SC
89066270,RUA ADOLFO SCHWANZ,ITOUPAVA CENTRAL,BLUMENAU,SC
89012240,RUA ADOLFO TALLMANN,BOA VISTA,BLUMENAU,SC
89069030,RUA ADOLFO VOLLES,ITOUPAVA CENTRAL,BLUMENAU,SC
89031410,RUA ADOLFO WRUCK,ESCOLA AGRÍCOLA,BLUMENAU,SC
89057430,RUA ADONIRAN BARBOSA,TRIBESS,BLUMENAU,SC
89036755,RUA ADRIANO CURI,VELHA,BLUMENAU,SC
89023620,RUA ADRIANO SCHAEFER,VALPARAISO,BLUMENAU,SC
89041730,RUA AFFONSO OECHSLER,ÁGUA VERDE,BLUMENAU,SC
89035280,RUA AFONSO PENA,VILA NOVA,BLUMENAU,SC
89031322,RUA AGENOR ROSA DOS SANTOS,ESCOLA AGRÍCOLA,BLUMENAU,SC
89058085,RUA AGEU ADÃO SABINO DE SOUZA,FORTALEZA ALTA,BLUMENAU,SC
89055040,RUA AGNES MICHEL,FORTALEZA,BLUMENAU,SC
89035330,RUA AGOBAR BRANCO,VILA NOVA,BLUMENAU,SC
89060230,RUA AGRIPINO GRIECO,FIDÉLIS,BLUMENAU,SC
89057100,RUA AGROLÂNDIA,FORTALEZA,BLUMENAU,SC
89023430,RUA AGRONÔMICA,VALPARAISO,BLUMENAU,SC
89042150,RUA ÁGUA VERDE,ÁGUA VERDE,BLUMENAU,SC
89021410,RUA AIMORÉS,GARCIA,BLUMENAU,SC
89030090,RUA ALAGOAS,ITOUPAVA SECA,BLUMENAU,SC
89056130,RUA ALBERT EINSTEIN,FORTALEZA,BLUMENAU,SC
89056560,RUA ALBERT GOLL,FORTALEZA,BLUMENAU,SC
89053597,RUA ALBERT MARTIN,ITOUPAVA NORTE,BLUMENAU,SC
