CEP,Logradouro,Bairro,Cidade,UF
68905628,RUA ACÉZIO GUEDES,PERPÉTUO SOCORRO,MACAPÁ,AP
68908390,AVENIDA ACRE,PACOVAL,MACAPÁ,AP
68908571,RUA ADILSON JOSÉ PINTO PEREIRA,SÃO LÁZARO,MACAPÁ,AP
68903220,RUA AGENOR FERREIRA PINTO,JARDIM MARCO ZERO,MACAPÁ,AP
68902140,AVENIDA DOS AIMORÉS - ATÉ 641/642,BEIROL,MACAPÁ,AP
68902868,AVENIDA DOS AIMORÉS - DE 643/644 AO FIM,BURITIZAL,MACAPÁ,AP
68904780,AVENIDA ALMERINDO S. FARIAS,NOVO BURITIZAL,MACAPÁ,AP
68901450,RUA ÁLVARO BEZERRA,SANTA INÊS,MACAPÁ,AP
68903240,AVENIDA ÁLVARO NOBRE,JARDIM MARCO ZERO,MACAPÁ,AP
68903230,RUA AMADEU GAMA,JARDIM MARCO ZERO,MACAPÁ,AP
68908330,AVENIDA AMAZONAS,PACOVAL,MACAPÁ,AP
68908540,AVENIDA AMBRÓSIO LÚCIO DA SILVA,SÃO LÁZARO,MACAPÁ,AP
68901460,RUA ANDRÉ DE OLIVEIRA COSTA,SANTA INÊS,MACAPÁ,AP
68908570,AVENIDA ANETE GOMES DA SILVA,SÃO LÁZARO,MACAPÁ,AP
68901280,AVENIDA ANTÔNIO COELHO DE CARVALHO - DE 2170/2171 AO FIM,SANTA RITA,MACAPÁ,AP
68903362,AVENIDA ANTÔNIO LISBOA PINHEIRO,JARDIM MARCO ZERO,MACAPÁ,AP
68904812,RUA ANTÔNIO PINHEIRO SAMPAIO (CJ C ASFALTO),NOVO BURITIZAL,MACAPÁ,AP
68903188,RUA ANTÔNIO WANILDO TAVARES PINHEIRO,JARDIM MARCO ZERO,MACAPÁ,AP
68903883,RUA DO ARAXÁ,ARAXÁ,MACAPÁ,AP
68904030,AVENIDA ARMANDO LIMEIRA PONTES,NOVO BURITIZAL,MACAPÁ,AP
68908560,AVENIDA ARMANDO TUPAN ALVES DE ABREU,SÃO LÁZARO,MACAPÁ,AP
68904350,AVENIDA ARTHUR ROQUE,CONGÓS,MACAPÁ,AP
68904381,AVENIDA AURELIANO RENING,CONGÓS,MACAPÁ,AP
68908470,AVENIDA AURINO BORGES DE OLIVEIRA,SÃO LÁZARO,MACAPÁ,AP
68904120,TRAVESSA AVÓ GUARDINA,NOVO BURITIZAL,MACAPÁ,AP
68908320,AVENIDA BAHIA,PACOVAL,MACAPÁ,AP
68901350,RUA BARÃO DE MAUÁ - ATÉ 70/71,SANTA RITA,MACAPÁ,AP
68902873,RUA BARÃO DE MAUÁ - DE 72/73 AO FIM,BURITIZAL,MACAPÁ,AP
68900453,PRAÇA BARÃO DO RIO BRANCO,CENTRAL,MACAPÁ,AP
68901470,RUA BEIRA RIO,SANTA INÊS,MACAPÁ,AP
68901690,AVENIDA BENEDITO MALCHER,NOVA ESPERANÇA,MACAPÁ,AP
68909094,RODOVIA BR-156,JARDIM FELICIDADE,MACAPÁ,AP
68903250,AVENIDA CABO MAURÍCIO,JARDIM MARCO ZERO,MACAPÁ,AP
68905670,RUA CÂNDIDO MENDES - ATÉ 523/524,PERPÉTUO SOCORRO,MACAPÁ,AP
68900100,RUA CÂNDIDO MENDES - DE 525/526 AO FIM,CENTRAL,MACAPÁ,AP
68902100,AVENIDA CARAMURU - DE 60/61 A 411/412,BEIROL,MACAPÁ,AP
68902863,AVENIDA CARAMURU - DE 413/414 AO FIM,BURITIZAL,MACAPÁ,AP
68903198,RUA CARLOS CANTÍDIO CORTE,JARDIM MARCO ZERO,MACAPÁ,AP
68904376,RUA CARLOS DRUMOND DE ANDRADE,CONGÓS,MACAPÁ,AP
68901660,AVENIDA CELESTINO PINHEIRO,NOVA ESPERANÇA,MACAPÁ,AP
68908114,PRAÇA CHICO NOÉ,JESUS DE NAZARÉ,MACAPÁ,AP
68901670,AVENIDA CLEMÊNCIA ZAGURY,NOVA ESPERANÇA,MACAPÁ,AP
68909067,RUA CLODOALDO DA SILVA MATIAS,JARDIM FELICIDADE,MACAPÁ,AP
68901110,AVENIDA CLODÓVIO COELHO - ATÉ 828/829,TREM,MACAPÁ,AP
68902885,AVENIDA CLODÓVIO COELHO - DE 830/831 AO FIM,BURITIZAL,MACAPÁ,AP
68900010,AVENIDA COARACY NUNES,CENTRAL,MACAPÁ,AP
68904397,AVENIDA COMANDANTE MARAPANIM,CONGÓS,MACAPÁ,AP
68900101,AVENIDA CORIOLANO JUCÁ,CENTRAL,MACAPÁ,AP
68902280,AVENIDA CREUZA MENDES HOLANDA - DE 618/619 AO FIM,MUCA,MACAPÁ,AP
68909023,RODOVIA CURIAU,JARDIM FELICIDADE,MACAPÁ,AP
68904382,AVENIDA DELEGADO ANTÔNIO MELO,CONGÓS,MACAPÁ,AP
68904800,RUA DEZENOVE DE JULHO (CONJ. HAB. LAURINDO BANHA),NOVO BURITIZAL,MACAPÁ,AP
68904710,AVENIDA DEZESSEIS DE JULHO (CONJ. HAB. LAURINDO BANHA),NOVO BURITIZAL,MACAPÁ,AP
68906635,TRAVESSA DEZESSETE,ALVORADA,MACAPÁ,AP
68904690,AVENIDA DEZESSETE DE JULHO (CONJ. HAB. LAURINDO BANHA),NOVO BURITIZAL,MACAPÁ,AP
68904620,AVENIDA DEZOITO DE JULHO (CONJ. HAB. LAURINDO BANHA),NOVO BURITIZAL,MACAPÁ,AP
