CEP,Logradouro,Bairro,Cidade,UF
48005470,PARQUE ALAGOINHAS,CENTRO,ALAGOINHAS,BA
48030000,CONJUNTO ALAGOINHAS IV,ALAGOINHAS VELHA,ALAGOINHAS,BA
48005230,RUA ALAMEDA DAS ALGAROBAS,CENTRO,ALAGOINHAS,BA
48005240,TRAVESSA ALAMEDA DAS ALGAROBAS,CENTRO,ALAGOINHAS,BA
48010490,PARQUE ALAMEDAS,SANTA TEREZINHA,ALAGOINHAS,BA
48030475,RUA ALBERTINA ESPINHEIRA,ALAGOINHAS VELHA,ALAGOINHAS,BA
48010400,PRAÇA ALCINDO DE CAMARGO,CENTRO,ALAGOINHAS,BA
48020060,RUA ALECRIM,KENNEDY,ALAGOINHAS,BA
48080040,RUA ALEGRIA,JARDIM PEDRO BRAGA,ALAGOINHAS,BA
48080070,RUA ALFREDO GARCIA,JARDIM PEDRO BRAGA,ALAGOINHAS,BA
48060530,LOTEAMENTO ALTO CORAÇÃO DE JESUS,MANGALÔ,ALAGOINHAS,BA
48050050,TRAVESSA ALTO DO CORTE,SANTA ISABEL,ALAGOINHAS,BA
48010450,RUA ALTO DO PERU,SANTA TEREZINHA,ALAGOINHAS,BA
48050160,RUA ALTO SANTO ANTÔNIO,SANTA ISABEL,ALAGOINHAS,BA
48051300,RUA ÁLVARO DANTAS,DOIS DE JULHO,ALAGOINHAS,BA
48091510,RUA AMILTON COUTO,CENTRO,ALAGOINHAS,BA
48020030,RUA ANA OLIVEIRA CAMPOS,KENNEDY,ALAGOINHAS,BA
48051220,AVENIDA ANTÔNIO AMORIM,DOIS DE JULHO,ALAGOINHAS,BA
48070070,RUA ANTÔNIO BALBINO,PARQUE VITÓRIA,ALAGOINHAS,BA
48070010,TRAVESSA ANTÔNIO CARLOS MAGALHÃES,PARQUE VITÓRIA,ALAGOINHAS,BA
48071250,RUA ANTÔNIO CARNEIRO,BARREIRO,ALAGOINHAS,BA
48070130,TRAVESSA ANTÔNIO CARNEIRO,BARREIRO,ALAGOINHAS,BA
48020160,RUA CONSELHEIRO ANTÔNIO,KENNEDY,ALAGOINHAS,BA
48080230,RUA ANTÔNIO PINTO CARDOSO,TERESÓPOLIS,ALAGOINHAS,BA
48050070,TRAVESSA APOLÔNIO PITA,SANTA ISABEL,ALAGOINHAS,BA
48050060,RUA APOLÔNIO PITA,SANTA ISABEL,ALAGOINHAS,BA
48020660,RUA AREIA BRANCA,KENNEDY,ALAGOINHAS,BA
48091490,PRAÇA ARISTIDES MALTEZ,CENTRO,ALAGOINHAS,BA
48020550,RUA ARTISTAS,KENNEDY,ALAGOINHAS,BA
48060110,RUA ARTUR PEREIRA DE OLIVEIRA,SILVA JARDIM,ALAGOINHAS,BA
48050110,AVENIDA AURELINA FREITAS,SANTA ISABEL,ALAGOINHAS,BA
48070120,TRAVESSA DO AVIÃO,BARREIRO,ALAGOINHAS,BA
48070110,RUA DO AVIÃO,BARREIRO,ALAGOINHAS,BA
48031060,RUA BAHIA,JARDIM PETROLAR,ALAGOINHAS,BA
48060440,TRAVESSA BAIXA DA CANDEIA,MANGALÔ,ALAGOINHAS,BA
48060430,RUA BAIXA DA CANDEIA,MANGALÔ,ALAGOINHAS,BA
48060470,TRAVESSA BAIXA DO CORTE,MANGALÔ,ALAGOINHAS,BA
48060460,RUA BAIXA DO CORTE,MANGALÔ,ALAGOINHAS,BA
48005170,PRAÇA DA BANDEIRA,CENTRO,ALAGOINHAS,BA
48005135,PRAÇA BARÃO DO RIO BRANCO,CENTRO,ALAGOINHAS,BA
48010560,RUA BELA VISTA,SANTA TEREZINHA,ALAGOINHAS,BA
48050120,RUA BENÍCIO DE MACEDO,SANTA ISABEL,ALAGOINHAS,BA
48005455,RUA BENJAMIN CONSTANT,CENTRO,ALAGOINHAS,BA
48005050,RUA BRASILINO VIEGAS,CENTRO,ALAGOINHAS,BA
48080060,RUA BRASÍLIO XAVIER,JARDIM PEDRO BRAGA,ALAGOINHAS,BA
48070160,ALTO CAMAÇARI,BARREIRO,ALAGOINHAS,BA
48070150,RUA CAMAÇARI,BARREIRO,ALAGOINHAS,BA
48020230,RUA CAMPO DO PIRINEL,KENNEDY,ALAGOINHAS,BA
48005410,RUA CARLOS AZEVEDO,CENTRO,ALAGOINHAS,BA
48005030,TRAVESSA CARLOS GOMES,CENTRO,ALAGOINHAS,BA
48005010,RUA CARLOS GOMES,CENTRO,ALAGOINHAS,BA
48091500,RUA CARLOS ROSAS,CENTRO,ALAGOINHAS,BA
48070060,RUA CASTELO BRANCO,PARQUE VITÓRIA,ALAGOINHAS,BA
48050090,TRAVESSA CASTRO ALVES,SANTA ISABEL,ALAGOINHAS,BA
48050080,RUA CASTRO ALVES,SANTA ISABEL,ALAGOINHAS,BA
48005180,PRAÇA CASTRO LEAL,CENTRO,ALAGOINHAS,BA
48080190,RUA CELSO MAGALHÃES DANTAS,TERESÓPOLIS,ALAGOINHAS,BA
48020140,RUA CÉU,KENNEDY,ALAGOINHAS,BA
48020150,RUA CHICO MENDES,KENNEDY,ALAGOINHAS,BA
48051240,VILA CONCEIÇÃO,DOIS DE JULHO,ALAGOINHAS,BA
48005130,RUA CONSELHEIRO COUTO,CENTRO,ALAGOINHAS,BA
48020630,RUA CONSELHEIRO DANTAS,KENNEDY,ALAGOINHAS,BA
48020640,TRAVESSA CONSELHEIRO DANTAS,KENNEDY,ALAGOINHAS,BA
48090030,TRAVESSA CONSELHEIRO JUNQUEIRA,CATU,ALAGOINHAS,BA
48090020,RUA CONSELHEIRO JUNQUEIRA - ATÉ 641/642,CATU,ALAGOINHAS,BA
48090021,RUA CONSELHEIRO JUNQUEIRA - DE 643/644 AO FIM,CATU,ALAGOINHAS,BA
48010030,RUA CONSELHEIRO MOURA,CENTRO,ALAGOINHAS,BA
48010020,RUA CONSELHEIRO SARAIVA,CENTRO,ALAGOINHAS,BA
48010080,RUA CORONEL ANÍSIO CARDOSO,CENTRO,ALAGOINHAS,BA
48051230,AVENIDA COTOVELO,DOIS DE JULHO,ALAGOINHAS,BA
48030030,RUA DANTAS BIÃO,ALAGOINHAS VELHA,ALAGOINHAS,BA
48030040,TRAVESSA DANTAS BIÃO,ALAGOINHAS VELHA,ALAGOINHAS,BA
48005190,RUA DEOCLECIANO BARBOSA,CENTRO,ALAGOINHAS,BA
48080160,TRAVESSA DEZ DE NOVEMBRO,TERESÓPOLIS,ALAGOINHAS,BA
48080150,RUA DOM AVELAR BRANDÃO VILELA,TERESÓPOLIS,ALAGOINHAS,BA
48070140,RUA DIAS D ÁVILA,BARREIRO,ALAGOINHAS,BA
48051310,PARQUE DIESEL,DOIS DE JULHO,ALAGOINHAS,BA
48030090,RUA DJALMA MORAIS,ALAGOINHAS VELHA,ALAGOINHAS,BA
48005025,RUA DOM PEDRO I,CENTRO,ALAGOINHAS,BA
48010050,RUA DOM PEDRO II,CENTRO,ALAGOINHAS,BA
48031090,RUA DUQUE DE CAXIAS,JARDIM PETROLAR,ALAGOINHAS,BA
48080080,RUA ELDORADO,JARDIM PEDRO BRAGA,ALAGOINHAS,BA
48005150,RUA ELVIRA DÓREA,CENTRO,ALAGOINHAS,BA
48005160,TRAVESSA ELVIRA DÓREA,CENTRO,ALAGOINHAS,BA
48070240,RUA ESPLANADA,BARREIRO,ALAGOINHAS,BA
48070320,TRAVESSA DOS EUCALIPTOS,BARREIRO,ALAGOINHAS,BA
48010160,LARGO DA FEDERAÇÃO,CENTRO,ALAGOINHAS,BA
48070410,RUA FEIRA DE SANTANA,BARREIRO,ALAGOINHAS,BA
48080240,RUA FEITICEIRA,TERESÓPOLIS,ALAGOINHAS,BA
48050100,BECO DOS FERROVIÁRIOS,SANTA ISABEL,ALAGOINHAS,BA
48010120,RUA FRANCISCO BATISTA,CENTRO,ALAGOINHAS,BA
48070220,TRAVESSA FRANCISCO CERQUEIRA,BARREIRO,ALAGOINHAS,BA
48070210,RUA FRANCISCO CERQUEIRA,BARREIRO,ALAGOINHAS,BA
