CEP,Logradouro,Bairro,Cidade,UF
70722500,CLN 102,ASA NORTE,BRASÍLIA,DF
70722510,CLN 102 BLOCO A,ASA NORTE,BRASÍLIA,DF
70722520,CLN 102 BLOCO B,ASA NORTE,BRASÍLIA,DF
70722530,CLN 102 BLOCO C,ASA NORTE,BRASÍLIA,DF
70722540,CLN 102 BLOCO D,ASA NORTE,BRASÍLIA,DF
70732500,CLN 103,ASA NORTE,BRASÍLIA,DF
70732510,CLN 103 BLOCO A,ASA NORTE,BRASÍLIA,DF
70732520,CLN 103 BLOCO B,ASA NORTE,BRASÍLIA,DF
70732530,CLN 103 BLOCO C,ASA NORTE,BRASÍLIA,DF
70732540,CLN 103 BLOCO D,ASA NORTE,BRASÍLIA,DF
70733500,CLN 104,ASA NORTE,BRASÍLIA,DF
70733510,CLN 104 BLOCO A,ASA NORTE,BRASÍLIA,DF
70733520,CLN 104 BLOCO B,ASA NORTE,BRASÍLIA,DF
70733530,CLN 104 BLOCO C,ASA NORTE,BRASÍLIA,DF
70733540,CLN 104 BLOCO D,ASA NORTE,BRASÍLIA,DF
70734500,CLN 105,ASA NORTE,BRASÍLIA,DF
70734510,CLN 105 BLOCO A,ASA NORTE,BRASÍLIA,DF
70734520,CLN 105 BLOCO B,ASA NORTE,BRASÍLIA,DF
70734530,CLN 105 BLOCO C,ASA NORTE,BRASÍLIA,DF
70734540,CLN 105 BLOCO D,ASA NORTE,BRASÍLIA,DF
70742500,CLN 106,ASA NORTE,BRASÍLIA,DF
70742510,CLN 106 BLOCO A,ASA NORTE,BRASÍLIA,DF
70742520,CLN 106 BLOCO B,ASA NORTE,BRASÍLIA,DF
70742530,CLN 106 BLOCO C,ASA NORTE,BRASÍLIA,DF
70742540,CLN 106 BLOCO D,ASA NORTE,BRASÍLIA,DF
70743500,CLN 107,ASA NORTE,BRASÍLIA,DF
70743510,CLN 107 BLOCO A,ASA NORTE,BRASÍLIA,DF
70743520,CLN 107 BLOCO B,ASA NORTE,BRASÍLIA,DF
70743530,CLN 107 BLOCO C,ASA NORTE,BRASÍLIA,DF
70743540,CLN 107 BLOCO D,ASA NORTE,BRASÍLIA,DF
70744500,CLN 108,ASA NORTE,BRASÍLIA,DF
70744510,CLN 108 BLOCO A,ASA NORTE,BRASÍLIA,DF
70744520,CLN 108 BLOCO B,ASA NORTE,BRASÍLIA,DF
