CEP,Logradouro,Bairro,Cidade,UF
53540010,AVENIDA A,CAETÉS II,ABREU E LIMA,PE
53550340,RUA DO ABC,PLANALTO,ABREU E LIMA,PE
53550510,RUA DA ABOLIÇÃO,PLANALTO,ABREU E LIMA,PE
53565750,RUA DO ÁCIDO,ALTO SÃO MIGUEL,ABREU E LIMA,PE
53520360,TRAVESSA ADUTORA,TIMBÓ,ABREU E LIMA,PE
53570230,RUA AFLITOS,DESTERRO,ABREU E LIMA,PE
53510390,RUA AFONSO PENA,CENTRO,ABREU E LIMA,PE
53565130,RUA ALGAROBA,ALTO SÃO MIGUEL,ABREU E LIMA,PE
53550530,RUA ALMIRANTE TAMANDARÉ,PLANALTO,ABREU E LIMA,PE
53570290,RUA ALTO DO MANDU,DESTERRO,ABREU E LIMA,PE
53565000,RUA SÃO MIGUEL,ALTO SÃO MIGUEL,ABREU E LIMA,PE
53550310,RUA DO ALUMÍNIO,PLANALTO,ABREU E LIMA,PE
53510440,RUA ÁLVARO PESSOA,CENTRO,ABREU E LIMA,PE
53550380,RUA ALVORADA,PLANALTO,ABREU E LIMA,PE
53510450,1ª TRAVESSA DO AMARAL,CENTRO,ABREU E LIMA,PE
53565480,RUA ANA DE SOUZA GONÇALVES,ALTO SÃO MIGUEL,ABREU E LIMA,PE
53565730,RUA ANAJÁ,ALTO SÃO MIGUEL,ABREU E LIMA,PE
53550541,TRAVESSA ANANIAS LACERDA DE ANDRADE,PLANALTO,ABREU E LIMA,PE
53550560,RUA ANTIMÔNIO,PLANALTO,ABREU E LIMA,PE
53570520,RUA ANTIMÔNIO,DESTERRO,ABREU E LIMA,PE
53560105,RUA ARACATI,JARDIM CAETÉS,ABREU E LIMA,PE
53510380,RUA CAVALEIRO,CENTRO,ABREU E LIMA,PE
53510370,RUA EDUCADOR PAULO FREIRE,CENTRO,ABREU E LIMA,PE
53585070,RUA ARARAMAR,MATINHA,ABREU E LIMA,PE
53550460,RUA DO ARARIPE,PLANALTO,ABREU E LIMA,PE
53580040,RUA ARCOVERDE,BOA ESPERANÇA,ABREU E LIMA,PE
53580041,TRAVESSA ARCOVERDE,BOA ESPERANÇA,ABREU E LIMA,PE
53570420,RUA AREIAS,DESTERRO,ABREU E LIMA,PE
53525780,RUA DO ARGÔNIO,CENTRO,ABREU E LIMA,PE
53550410,RUA DO ARRAIAL,PLANALTO,ABREU E LIMA,PE
53560165,RUA ARRUDA,JARDIM CAETÉS,ABREU E LIMA,PE
53550220,RUA ARSÊNIO,PLANALTO,ABREU E LIMA,PE
53570580,RUA ASTATO,DESTERRO,ABREU E LIMA,PE
53550420,RUA ATALAIA,PLANALTO,ABREU E LIMA,PE
53570120,RUA DA NATIVIDADE,DESTERRO,ABREU E LIMA,PE
53585200,RUA SEBASTIÃO GOMES DE MELO,MATINHA,ABREU E LIMA,PE
53515060,RUA PRESIDENTE HENRIQUE CARDOSO (LOT RECANTO TIMBÓ PAULISTA,ALTO DA BELA VISTA,ABREU E LIMA,PE
53515200,RUA DO BÁDIO,ALTO DA BELA VISTA,ABREU E LIMA,PE
53565360,AVENIDA MANOEL VICENTE BORBA,ALTO SÃO MIGUEL,ABREU E LIMA,PE
53565631,1ª TRAVESSA BAHIA,ALTO SÃO MIGUEL,ABREU E LIMA,PE
53565362,2ª TRAVESSA BAHIA,ALTO SÃO MIGUEL,ABREU E LIMA,PE
53585800,RUA JÚLIO FRANCISCO DO NASCIMENTO,MATINHA,ABREU E LIMA,PE
53515130,RUA DO BÁLIO,ALTO DA BELA VISTA,ABREU E LIMA,PE
53550570,RUA BANDEIRANTE,PLANALTO,ABREU E LIMA,PE
53570550,RUA BÁRIO,DESTERRO,ABREU E LIMA,PE
