CEP,Logradouro,Bairro,Cidade,UF
78088456,RUA QUATROCENTOS E VINTE,TIJUCAL,CUIABÁ,MT
78005200,RUA ZULMIRA CANAVARROS,CENTRO-NORTE,CUIABÁ,MT
78098250,RUA A,SÃO SEBASTIÃO,CUIABÁ,MT
78050520,RUA A,BELA VISTA,CUIABÁ,MT
78095010,RUA APIACÁ,PARQUE ATALAIA,CUIABÁ,MT
78055711,RUA A,NOVO PARAÍSO,CUIABÁ,MT
78005825,RUA A,RESIDENCIAL CONCADORO,CUIABÁ,MT
78058164,AVENIDA CURIÓ (NÚC HAB CPA IV),MORADA DA SERRA,CUIABÁ,MT
78085560,RUA A (LOT DR ENZO RICCI),COXIPÓ,CUIABÁ,MT
78058851,RUA IVONETE PEREIRA DOS REIS,RESIDENCIAL ITAMARATI,CUIABÁ,MT
78093480,RUA ENGENHEIRO JOSÉ HERCÍLIO NETO SANTOS,JARDIM FORTALEZA,CUIABÁ,MT
78098676,AVENIDA A (LOT JD INDUSTRIÁRIO I),JARDIM INDUSTRIÁRIO,CUIABÁ,MT
78088620,RUA PALMEIRAS IMPERIAIS,JARDIM DOS IPÊS,CUIABÁ,MT
78090850,AVENIDA A,JARDIM MOSSORÓ,CUIABÁ,MT
78090558,TRAVESSA A,JARDIM MALOUF,CUIABÁ,MT
78090180,RUA A (LOT JD PRESIDENTE II),JARDIM PRESIDENTE,CUIABÁ,MT
78025564,AVENIDA A (LOT CAPÃO DO GAMA),PORTO,CUIABÁ,MT
78055730,AVENIDA A,JARDIM VITÓRIA,CUIABÁ,MT
78098576,TRAVESSA ELIDIA MORAES DA CRUZ (LOT PRQ N ESPERANÇA I),NOVA ESPERANÇA,CUIABÁ,MT
78058602,RUA A,PRIMEIRO DE MARÇO,CUIABÁ,MT
78090472,TRAVESSA ARARA (LOT RES ITAPAJÉ),RESIDENCIAL COXIPÓ,CUIABÁ,MT
78050400,RUA A,TERRA NOVA,CUIABÁ,MT
78040455,RUA A,RIBEIRÃO DA PONTE,CUIABÁ,MT
78095480,RUA A,RESIDENCIAL SÃO MATHEUS,CUIABÁ,MT
78050602,RUA A,SÃO ROQUE,CUIABÁ,MT
78053438,RUA A (ST NORTE),MORADA DO OURO,CUIABÁ,MT
78048418,RUA ESTIVA,ALVORADA,CUIABÁ,MT
78090654,RUA A-1 (LOT JD N SRA APARECIDA),NOSSA SENHORA APARECIDA,CUIABÁ,MT
78095250,RUA A-1,PARQUE CUIABÁ,CUIABÁ,MT
78098558,TRAVESSA BENEDITO PINHEIRO RIBEIRO (LOT PRQ N ESPERANÇA I),NOVA ESPERANÇA,CUIABÁ,MT
78098564,RUA A-10 (LOT PRQ N ESPERANÇA I),NOVA ESPERANÇA,CUIABÁ,MT
78095325,RUA A-2,PARQUE CUIABÁ,CUIABÁ,MT
78098577,TRAVESSA ANTÔNIO DE OLIVEIRA DANTAS (LOT PRQ N ESPERANÇA I),NOVA ESPERANÇA,CUIABÁ,MT
78095310,RUA A-3,PARQUE CUIABÁ,CUIABÁ,MT
78098578,TRAVESSA MANOEL CAETANO DE SOUZA XAVIER (LOT PRQ N ESPERANÇ,NOVA ESPERANÇA,CUIABÁ,MT
78095296,RUA A-4,PARQUE CUIABÁ,CUIABÁ,MT
78098584,TRAVESSA CLOVES DA CRUZ (LOT PRQ N ESPERANÇA I),NOVA ESPERANÇA,CUIABÁ,MT
78095470,RUA A-6,PARQUE CUIABÁ,CUIABÁ,MT
78098586,RUA A-7 (LOT PRQ N ESPERANÇA I),NOVA ESPERANÇA,CUIABÁ,MT
78098275,RUA A/D,DISTRITO INDUSTRIAL,CUIABÁ,MT
78098505,RUA A/X,DISTRITO INDUSTRIAL,CUIABÁ,MT
78043188,RUA DAS ACÁCIAS,JARDIM CUIABÁ,CUIABÁ,MT
78060708,RUA ACAPULCO,JARDIM DAS AMÉRICAS,CUIABÁ,MT
78050040,AVENIDA ACLIMAÇÃO,BOSQUE DA SAÚDE,CUIABÁ,MT
78055358,RUA ACORIZAL (NÚC HAB CPA II),MORADA DA SERRA,CUIABÁ,MT
78048405,RUA ACORIZAL,ALVORADA,CUIABÁ,MT
78025503,RUA ACORIZAL (COHAB NOVA),PORTO,CUIABÁ,MT
78028750,RUA ACRE,CIDADE VERDE,CUIABÁ,MT
78055518,RUA LUIZ GERALDO DA SILVA (NÚC HAB CPA II),MORADA DA SERRA,CUIABÁ,MT
78085200,RUA ADAUTO BOTELHO,COOPHEMA,CUIABÁ,MT
78050200,RUA ADOLFO LUTZ,BOSQUE DA SAÚDE,CUIABÁ,MT
78048193,RUA AFEGANISTÃO (JD MTE LÍBANO),ALVORADA,CUIABÁ,MT
78050120,RUA ÁGATA,BOSQUE DA SAÚDE,CUIABÁ,MT
78030210,AVENIDA AGRÍCOLA PAES DE BARROS - DE 703 A 1361 - LADO ÍMPAR,CIDADE ALTA,CUIABÁ,MT
78025332,AVENIDA AGRÍCOLA PAES DE BARROS - DE 1363/1364 AO FIM,PORTO,CUIABÁ,MT
78025433,TRAVESSA ÁGUA CLARA (COHAB NOVA),PORTO,CUIABÁ,MT
78055498,RUA AGUAPEÍ (NÚC HAB CPA II),MORADA DA SERRA,CUIABÁ,MT
78065375,RUA ALAGOAS,JARDIM PAULISTA,CUIABÁ,MT
78058771,RUA ALASKA,PLANALTO,CUIABÁ,MT
78068210,RUA ALBERTO DE OLIVEIRA,SANTA CRUZ,CUIABÁ,MT
78010180,RUA ALBERTO VELHO MOREIRA,BANDEIRANTES,CUIABÁ,MT
78065410,RUA ALEMANHA,JARDIM EUROPA,CUIABÁ,MT
78040010,RUA ALEMANHA,SANTA ROSA,CUIABÁ,MT
78055010,RUA ALENKER (NÚC HAB CPA I),MORADA DA SERRA,CUIABÁ,MT
78060820,RUA ALESSANDRIA,JARDIM ITÁLIA,CUIABÁ,MT
78080030,RUA ALEXANDRE DE BARROS,CHÁCARA DOS PINHEIROS,CUIABÁ,MT
78015215,RUA ALEXANDRE RODRIGUES,DOM AQUINO,CUIABÁ,MT
78040600,RUA ALFENAS,JARDIM MARIANA,CUIABÁ,MT
78043386,RUA ALICE BORGES LIMA AVELINO,DUQUE DE CAXIAS,CUIABÁ,MT
78020505,TRAVESSA ALICE FARIAS,CENTRO-SUL,CUIABÁ,MT
78050670,RUA ALINE HUGUENEY DE SIQUEIRA,CARUMBÉ,CUIABÁ,MT
78005710,RUA ALYRIO HUGUENEY DE MATTOS,ARAÉS,CUIABÁ,MT
78048226,RUA ALÍSIOS (JD BOM CLIMA),DESPRAIADO,CUIABÁ,MT
78035155,AVENIDA ALLAN KARDEK,JARDIM SANTA ISABEL,CUIABÁ,MT
78030170,RUA LUIS DE SIQUEIRA (LOT JD PRIMAVERA),CIDADE ALTA,CUIABÁ,MT
