CEP,Logradouro,Bairro,Cidade,UF
76873386,RUA ABEL COUTO,SETOR 08,ARIQUEMES,RO
76876808,RUA ALVORADA,MARECHAL RONDON 02,ARIQUEMES,RO
76875880,RUA AMETISTA,PARQUE DAS GEMAS,ARIQUEMES,RO
76877040,RUA ANTÔNIO GABRIEL,MARECHAL RONDON 01,ARIQUEMES,RO
76870278,RUA ARARA,ÁREAS ESPECIAIS,ARIQUEMES,RO
76877020,RUA ASSIS MENDES,MARECHAL RONDON 01,ARIQUEMES,RO
76873372,RUA ATAÍDE DARTIBALLE,SETOR 08,ARIQUEMES,RO
76870227,RUA ATUM,ÁREAS ESPECIAIS,ARIQUEMES,RO
76873244,ALAMEDA BEM-TE-VI,SETOR 02,ARIQUEMES,RO
76876398,RUA CAMPO GRANDE,SETOR 09,ARIQUEMES,RO
76872872,RUA CANINDÉ,SETOR INSTITUCIONAL,ARIQUEMES,RO
76870156,ALAMEDA CASTANHEIRA,SETOR 01,ARIQUEMES,RO
76870872,RUA CHILE,ÁREA INDUSTRIAL,ARIQUEMES,RO
76873338,RUA CLARA NUNES,SETOR 08,ARIQUEMES,RO
76873378,RUA CLAUDIO COUTINHO,SETOR 08,ARIQUEMES,RO
76876400,RUA COLATINA,SETOR 09,ARIQUEMES,RO
76870838,RUA COLOMBIA,ÁREA INDUSTRIAL,ARIQUEMES,RO
76873360,RUA ELIS REGINA,SETOR 08,ARIQUEMES,RO
76877012,RUA EVALDO BENEVIDES,MARECHAL RONDON 01,ARIQUEMES,RO
76876458,RUA F,PARK TROPICAL,ARIQUEMES,RO
76877165,RUA FLORIANO PEIXOTO,MONTE CRISTO,ARIQUEMES,RO
76876452,RUA G,PARK TROPICAL,ARIQUEMES,RO
76870754,RUA GUAJARÁ MIRIM,BNH,ARIQUEMES,RO
76870848,RUA GUIANAS,ÁREA INDUSTRIAL,ARIQUEMES,RO
76876453,RUA H,PARK TROPICAL,ARIQUEMES,RO
76872866,CALÇADÃO HEITOR VILLA LOBOS,SETOR INSTITUCIONAL,ARIQUEMES,RO
76871412,RUA IPORÃ,JARDIM PARANÁ,ARIQUEMES,RO
76870662,RUA ITAPOÃ DO OESTE,SETOR 05,ARIQUEMES,RO
76870038,TRAVESSA IMBAÚBA,SETOR 01,ARIQUEMES,RO
76876578,RUA IXUÍ,JARDIM JORGE TEIXEIRA,ARIQUEMES,RO
76876455,RUA J,PARK TROPICAL,ARIQUEMES,RO
76876502,RUA JACUTINGA,JARDIM JORGE TEIXEIRA,ARIQUEMES,RO
76870666,RUA JACI PARANÁ,SETOR 05,ARIQUEMES,RO
76873388,RUA JÂNIO QUADROS,SETOR 08,ARIQUEMES,RO
76870784,RUA JI-PARANÁ,BNH,ARIQUEMES,RO
76877018,RUA JOÃO MOURA DOS SANTOS,MARECHAL RONDON 01,ARIQUEMES,RO
76873394,RUA JOSÉ LEVI BORGES DE OLIVEIRA,SETOR 08,ARIQUEMES,RO
76876447,RUA K,PARK TROPICAL,ARIQUEMES,RO
76870274,RUA LAMBARI,ÁREAS ESPECIAIS,ARIQUEMES,RO
76877005,RUA LUDOVICO MONTEIRO,MARECHAL RONDON 01,ARIQUEMES,RO
76877024,RUA LUIZ MONTEIRO,MARECHAL RONDON 01,ARIQUEMES,RO
76877006,RUA MARÇAL COCEIRO DE ALMEIDA,MARECHAL RONDON 01,ARIQUEMES,RO
76876682,TRAVESSA MARTE,GRANDES ÁREAS,ARIQUEMES,RO
76873350,RUA MARTIN LUTHER KING,SETOR 08,ARIQUEMES,RO
76876700,TRAVESSA MERCÚRIO,GRANDES ÁREAS,ARIQUEMES,RO
76876676,TRAVESSA DO MIGRANTES,GRANDES ÁREAS,ARIQUEMES,RO
76870174,ALAMEDA MOGNO,SETOR 01,ARIQUEMES,RO
76877030,RUA PADRE ADOLFO,MARECHAL RONDON 01,ARIQUEMES,RO
76871008,RUA PANAMÁ,JARDIM AMÉRICA,ARIQUEMES,RO
76876560,RUA PARIQUIS,JARDIM JORGE TEIXEIRA,ARIQUEMES,RO
76870214,RUA PIAÚ,ÁREAS ESPECIAIS,ARIQUEMES,RO
76870218,RUA PIQUIRA,ÁREAS ESPECIAIS,ARIQUEMES,RO
76870258,RUA PIRARUCU,ÁREAS ESPECIAIS,ARIQUEMES,RO
76870788,RUA PRESIDENTE MÉDICI,BNH,ARIQUEMES,RO
76877050,RUA PROFESSOR LEVINO MOTA,MARECHAL RONDON 01,ARIQUEMES,RO
76872868,RUA QUATRO NAÇÕES (SETOR 8-B),SETOR INSTITUCIONAL,ARIQUEMES,RO
