CEP,Logradouro,Bairro,Cidade,UF
69043040,AVENIDA PROFESSORA MARIA T. MONTEIRO,ALVORADA,MANAUS,AM
69060332,BECO ALLIUM,ALEIXO,MANAUS,AM
69020375,BECO RIO BRANCO,PRAÇA 14 DE JANEIRO,MANAUS,AM
69038250,RUA PINDAÍ,LÍRIO DO VALE,MANAUS,AM
69043380,RUA RAIMUNDO NONATO,ALVORADA,MANAUS,AM
69050160,RUA WILSON CASTRO,PARQUE 10 DE NOVEMBRO,MANAUS,AM
69030260,RUA ALBERTO DE OLIVEIRA,COMPENSA,MANAUS,AM
69055660,RUA ÁLVARO BRAGA,PARQUE 10 DE NOVEMBRO,MANAUS,AM
69060260,RUA OSCARITO,ALEIXO,MANAUS,AM
69053600,RUA LÁPIS LAZÚLI,NOSSA SENHORA DAS GRAÇAS,MANAUS,AM
69054664,RUA HOKKAIDO,PARQUE 10 DE NOVEMBRO,MANAUS,AM
69095502,RUA IBITITA,CIDADE NOVA,MANAUS,AM
69095610,RUA MARIA DA GLÓRIA SANTOS (CJ R S PINTO II),CIDADE NOVA,MANAUS,AM
69082713,TRAVESSA DAS MONÇÕES,COROADO,MANAUS,AM
69085540,RUA RIO JARI,SÃO JOSÉ OPERÁRIO,MANAUS,AM
69090757,RUA PROFESSORA EMÍLIA GRANA,CIDADE NOVA,MANAUS,AM
69043151,TRAVESSA LUIZ ALVARES PINTO,ALVORADA,MANAUS,AM
69057067,RUA MIRANDA SIMÕES,ADRIANÓPOLIS,MANAUS,AM
69049610,RUA ROMEIRO CAVALCANTE,REDENÇÃO,MANAUS,AM
69058112,RUA BADAJÓS,PARQUE 10 DE NOVEMBRO,MANAUS,AM
69082471,RUA LUIS EDUARDO MAGALHÃES,COROADO,MANAUS,AM
69054691,RUA EPAMINONDAS BARAÚNA,PARQUE 10 DE NOVEMBRO,MANAUS,AM
69054714,RUA JACK LONDON,PARQUE 10 DE NOVEMBRO,MANAUS,AM
69054723,RUA ALEXANDRE MAGNO,PARQUE 10 DE NOVEMBRO,MANAUS,AM
69035799,RUA A,COMPENSA,MANAUS,AM
69097290,RUA LAGOA BONITA,CIDADE NOVA,MANAUS,AM
69077783,RUA ALBERTO CARREIRA,JAPIIM,MANAUS,AM
69046120,RUA INHAPI,ALVORADA,MANAUS,AM
69076100,RUA CLARICE LISPECTOR,JAPIIM,MANAUS,AM
69046130,RUA DOIS RIACHOS,ALVORADA,MANAUS,AM
69076110,RUA HERNANDO DE SOTO,JAPIIM,MANAUS,AM
69046140,RUA TAGUARAMA,ALVORADA,MANAUS,AM
69076120,RUA MARQUES REBELO,JAPIIM,MANAUS,AM
69046150,TRAVESSA JARAMATAIA,ALVORADA,MANAUS,AM
69076130,RUA RAUL DE LEONY,JAPIIM,MANAUS,AM
69046160,TRAVESSA MIRANORTE,ALVORADA,MANAUS,AM
69076140,RUA BENTO TEIXEIRA,JAPIIM,MANAUS,AM
69046170,TRAVESSA CARAIBAS,ALVORADA,MANAUS,AM
69076150,RUA MÁRIO SOUZA LIMA,JAPIIM,MANAUS,AM
69046180,TRAVESSA ERNESTO MILLE,ALVORADA,MANAUS,AM
69076160,RUA A 16,JAPIIM,MANAUS,AM
69046190,RUA DOUTOR JORGE DE MORAES,ALVORADA,MANAUS,AM
69076170,RUA ISMAEL PINHEIRO,JAPIIM,MANAUS,AM
69046210,RUA IGNÁCIO PADEREWSKI,ALVORADA,MANAUS,AM
69077795,RUA JOSÉ DE ALENCAR,JAPIIM,MANAUS,AM
69076020,RUA GEOVANI FIGLIUOLO,JAPIIM,MANAUS,AM
69046220,RUA CRISANDALIA,ALVORADA,MANAUS,AM
69046230,RUA PROFESSORA AMANDA CAVALCANTE,ALVORADA,MANAUS,AM
