CEP,Logradouro,Bairro,Cidade,UF
79070141,TRAVESSA A,PIONEIROS,CAMPO GRANDE,MS
79042850,RUA ANTÔNIO DE CASTRO TEIXEIRA,TIRADENTES,CAMPO GRANDE,MS
79097834,RUA ABADIA ALVES DIAS,JARDIM TARUMÃ,CAMPO GRANDE,MS
79052500,RUA ABADIA ALVES DE SOUZA,PARQUE RESIDENCIAL RITA VIEIRA,CAMPO GRANDE,MS
79097010,RUA ABADIA JABOUR,COOPHAVILA II,CAMPO GRANDE,MS
79062320,RUA ABADIA MAFALDA PEREIRA SOUZA,JARDIM NOSSA SENHORA DO PERPÉTUO SOCORRO,CAMPO GRANDE,MS
79097250,RUA ABAETÉ,JARDIM TARUMÃ,CAMPO GRANDE,MS
79082080,RUA ABATÉ,GUANANDI II,CAMPO GRANDE,MS
79065138,RUA ABATI,VILA MORENINHA II,CAMPO GRANDE,MS
79093340,RUA ABATIXI,JARDIM SANTA EMÍLIA,CAMPO GRANDE,MS
79093670,RUA ABAÚNA,JARDIM SANTA EMÍLIA,CAMPO GRANDE,MS
79017053,RUA ABDA NASSAR,NOVA LIMA,CAMPO GRANDE,MS
79105370,RUA ABDALA GAZAL,VILA POPULAR,CAMPO GRANDE,MS
79117180,RUA ABDO CHEQUER,COOPHASUL,CAMPO GRANDE,MS
79093030,RUA ABDON,JARDIM SANTA EMÍLIA,CAMPO GRANDE,MS
79073023,RUA ABDON BUNAZAR,JARDIM DAS MACAÚBAS,CAMPO GRANDE,MS
79086070,RUA ABEL CALARGE,GUANANDI,CAMPO GRANDE,MS
79032350,RUA ABEL F. ARAGÃO,CARANDÁ BOSQUE,CAMPO GRANDE,MS
79091802,RUA ABELARDO BARBOSA,RESIDENCIAL OLIVEIRA III,CAMPO GRANDE,MS
79065100,RUA ABÉLIA,VILA MORENINHA II,CAMPO GRANDE,MS
79032510,RUA HÉLIO PEREIRA COELHO,CARANDÁ BOSQUE,CAMPO GRANDE,MS
79032274,RUA ABIAS BATISTA FILHO,PORTAL ITAYARA,CAMPO GRANDE,MS
79118130,RUA ABÍLIO DA SILVEIRA BARBOSA,SÃO FRANCISCO,CAMPO GRANDE,MS
79084170,TRAVESSA ABÍLIO BARBOSA DE SOUZA,CONJUNTO AERO RANCHO,CAMPO GRANDE,MS
79062641,RUA GRANDE HOTELO,JARDIM ITAMARACÁ,CAMPO GRANDE,MS
79042160,RUA ABÍLIO SOARES,JARDIM ITATIAIA,CAMPO GRANDE,MS
79115210,RUA ABIURENA,COOPHATRABALHO,CAMPO GRANDE,MS
79006070,RUA DA ABOLIÇÃO,VILA TAQUARUSSU,CAMPO GRANDE,MS
79044330,RUA ABRAÃO ELIAS,MARIA APARECIDA PEDROSSIAN,CAMPO GRANDE,MS
