CEP,Logradouro,Bairro,Cidade,UF
83511210,RUA A (JD MARROCOS),BONFIM,ALMIRANTE TAMANDARÉ,PR
83502120,RUA ALICE DE SIQUEIRA,JARDIM DO ROCIO,ALMIRANTE TAMANDARÉ,PR
83513300,RUA BRASÍLIA MUSSULIN DE SIQUEIRA,JARDIM BELA VISTA,ALMIRANTE TAMANDARÉ,PR
83505122,AVENIDA DOS ABOLICIONISTAS,JARDIM KOKOT,ALMIRANTE TAMANDARÉ,PR
83514110,RUA VANDA MARIA ANTONIACOMI,AREIAS,ALMIRANTE TAMANDARÉ,PR
83513490,RUA ADELINO DE LIMA,LOTEAMENTO MARIA CLÁUDIA,ALMIRANTE TAMANDARÉ,PR
83511090,RUA ADJALME GARCIA DA SILVA,JARDIM GIANNINI,ALMIRANTE TAMANDARÉ,PR
83512260,RUA ADRIANO WILSON KOTVISKI,RESTINGA SECA,ALMIRANTE TAMANDARÉ,PR
83504130,RUA ADRIANÓPOLIS,JARDIM ROMA,ALMIRANTE TAMANDARÉ,PR
83504060,RUA AIDES ÂNGELO DE OLIVEIRA,JARDIM ROMA,ALMIRANTE TAMANDARÉ,PR
83506360,RUA ALBINO PAVONI,BONFIM,ALMIRANTE TAMANDARÉ,PR
83514520,RUA ALDO SEBASTIÃO SERONATO,AREIAS,ALMIRANTE TAMANDARÉ,PR
83505660,RUA ALEMANHA,CAMPINA DO ARRUDA,ALMIRANTE TAMANDARÉ,PR
83507160,RUA ALEXANDRA DIMITROV,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83502370,RUA ALEXANDRE DE CRISTO,VILA GRÉCIA,ALMIRANTE TAMANDARÉ,PR
83513030,RUA ALEXANDRE DOMACOSKI,MATO DENTRO,ALMIRANTE TAMANDARÉ,PR
83513170,RUA ALFREDO JOSÉ DE FREITAS,PACOTUBA,ALMIRANTE TAMANDARÉ,PR
83502380,RUA ALMIRANTE BARROSO,VILA GRÉCIA,ALMIRANTE TAMANDARÉ,PR
83507450,TRAVESSA ALMIRANTE TAMANDARÉ,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83511130,RUA JOÃO GOWASKI FILHO,JARDIM DO NORTE,ALMIRANTE TAMANDARÉ,PR
83505170,RUA ÂNGELO PRODOCIMO,JARDIM APUCARANA,ALMIRANTE TAMANDARÉ,PR
83506320,RUA AMANTINO PEREIRA DE AZEVEDO,BONFIM,ALMIRANTE TAMANDARÉ,PR
83506080,RUA AMBRÓSIO BINI,CACHOEIRA,ALMIRANTE TAMANDARÉ,PR
83508040,RUA AMÉRICA,TANGUÁ,ALMIRANTE TAMANDARÉ,PR
83507630,RUA DAS AMOREIRAS,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83506220,RUA ANA IMOTO,JARDIM DONA LUIZA,ALMIRANTE TAMANDARÉ,PR
83508180,RUA DAS ANDORINHAS,LOTEAMENTO MONTPARNASSE,ALMIRANTE TAMANDARÉ,PR
83504240,TRAVESSA ANJO-DA-GUARDA,COLÔNIA SÃO VENÂNCIO,ALMIRANTE TAMANDARÉ,PR
83505715,RUA ANTÔNIA MARIA XAVIER,CAMPINA DO ARRUDA,ALMIRANTE TAMANDARÉ,PR
83501090,RUA ANTÔNIO BAPTISTA DE SIQUEIRA,VILA SANTA TEREZINHA,ALMIRANTE TAMANDARÉ,PR
83513460,RUA ANTÔNIO BINI,JARDIM BELA VISTA,ALMIRANTE TAMANDARÉ,PR
83506010,RUA ANTÔNIO DE PAULA BRAGA,CACHOEIRA,ALMIRANTE TAMANDARÉ,PR
83501640,RUA ANTÔNIO DE SIQUEIRA,VILA RACHEL,ALMIRANTE TAMANDARÉ,PR
83504510,RUA ARTUR KAMAROSKI DA SILVA,CACHOEIRA,ALMIRANTE TAMANDARÉ,PR
83513510,RUA ANTÔNIO FERRO,BOICHININGA,ALMIRANTE TAMANDARÉ,PR
83508470,RUA ANTÔNIO FRANCISCO LISBOA,TANGUÁ,ALMIRANTE TAMANDARÉ,PR
83513450,RUA ANTÔNIO GIDEÃO TOSIN,VILA BELA VISTA,ALMIRANTE TAMANDARÉ,PR
83514070,RUA ANTÔNIO STOCHERO,TRANQUEIRA,ALMIRANTE TAMANDARÉ,PR
83511010,RUA ANÚNCIA VIANTE GIANNINI,JARDIM GIANNINI,ALMIRANTE TAMANDARÉ,PR
83507640,RUA DAS ARAPONGAS,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83504070,RUA ARAUCÁRIA,JARDIM ROMA,ALMIRANTE TAMANDARÉ,PR
83501530,RUA ARGENTINA,JARDIM SÃO FRANCISCO,ALMIRANTE TAMANDARÉ,PR
83501110,RUA ARY ANTÔNIO BUZATO,JARDIM SÃO JOSÉ,ALMIRANTE TAMANDARÉ,PR
83513530,RUA ARI DE LARA VAZ,MATO DENTRO,ALMIRANTE TAMANDARÉ,PR
83508430,RUA ARLETE ANTÔNIA DA SILVA,TANGUÁ,ALMIRANTE TAMANDARÉ,PR
83513520,RUA AROLDO TEIXEIRA ALVES,MATO DENTRO,ALMIRANTE TAMANDARÉ,PR
83501030,RUA ATHAIDE DE SIQUEIRA,VILA RACHEL,ALMIRANTE TAMANDARÉ,PR
83512160,RUA AUGUSTO DOMACOSKI,RESTINGA SECA,ALMIRANTE TAMANDARÉ,PR
83505300,RUA ÁUSTRIA,CAMPINA DO ARRUDA,ALMIRANTE TAMANDARÉ,PR
83504160,RUA AYRTON SENNA,JARDIM ANITA GARIBALDI,ALMIRANTE TAMANDARÉ,PR
83512340,RUA NEWTON TEIXEIRA DE FARIAS (RECANTO DOS PAPAGAIOS),RESTINGA SECA,ALMIRANTE TAMANDARÉ,PR
83511220,RUA B (JD MARROCOS),BONFIM,ALMIRANTE TAMANDARÉ,PR
83514120,RUA ANDERSON PAULO CZELUSNIAK,AREIAS,ALMIRANTE TAMANDARÉ,PR
83511465,RUA SERGIPE,BOTIATUBA,ALMIRANTE TAMANDARÉ,PR
83505205,RUA MARIA REGINA FERREIRA DOS SANTOS,JARDIM ALVORADA II,ALMIRANTE TAMANDARÉ,PR
83511440,RUA BAHIA,BOTIATUBA,ALMIRANTE TAMANDARÉ,PR
83514060,RUA MIGUEL MENDES,TRANQUEIRA,ALMIRANTE TAMANDARÉ,PR
83504120,RUA BALSA NOVA,JARDIM ROMA,ALMIRANTE TAMANDARÉ,PR
83506180,RUA BALTAZAR BUNIK,CACHOEIRA,ALMIRANTE TAMANDARÉ,PR
83508090,RUA BARÃO DO RIO BRANCO,TANGUÁ,ALMIRANTE TAMANDARÉ,PR
83511110,RUA MARCELINO CHAMPAGNAT,JARDIM DO NORTE,ALMIRANTE TAMANDARÉ,PR
83503100,RUA BARIGUI,VILA ALTO PINHEIROS,ALMIRANTE TAMANDARÉ,PR
83508170,RUA BEIJA-FLOR,LOTEAMENTO MONTPARNASSE,ALMIRANTE TAMANDARÉ,PR
83505410,RUA BELA VISTA DO IPÊ,CAMPINA DO ARRUDA,ALMIRANTE TAMANDARÉ,PR
83504410,RUA BELO HORIZONTE,COLÔNIA SÃO VENÂNCIO,ALMIRANTE TAMANDARÉ,PR
83507600,RUA DO BEM-TE-VI,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83507550,RUA BENEDITO GONÇALVES DE OLIVEIRA,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83501670,RUA BENJAMIN CARLESSO,CENTRO,ALMIRANTE TAMANDARÉ,PR
83513050,RUA BERNARDO DOMAKOSKI,MATO DENTRO,ALMIRANTE TAMANDARÉ,PR
83506200,RUA BERNARDO MILEK,BONFIM,ALMIRANTE TAMANDARÉ,PR
83507030,RUA BERNARDO STAMM,BONFIM,ALMIRANTE TAMANDARÉ,PR
83501150,RUA BERTOLINA KENDRIK DE OLIVEIRA,VILA SANTA TEREZINHA,ALMIRANTE TAMANDARÉ,PR
83513470,TRAVESSA BINI,JARDIM BELA VISTA,ALMIRANTE TAMANDARÉ,PR
83504050,RUA BOCAIÚVA DO SUL,JARDIM ROMA,ALMIRANTE TAMANDARÉ,PR
83501550,RUA BOLÍVIA,JARDIM SÃO FRANCISCO,ALMIRANTE TAMANDARÉ,PR
83502470,RUA BONIFÁCIO BENTO CORDEIRO,VILA GRÉCIA,ALMIRANTE TAMANDARÉ,PR
83514200,RUA BÔRTOLO MURARO,AREIAS,ALMIRANTE TAMANDARÉ,PR
83503080,RUA TIATUVA,VILA ALTO PINHEIROS,ALMIRANTE TAMANDARÉ,PR
83514510,RUA BRAZ ELÍSIO ALVES,AREIAS,ALMIRANTE TAMANDARÉ,PR
83505150,AVENIDA ZUMBI DOS PALMARES,JARDIM APUCARANA,ALMIRANTE TAMANDARÉ,PR
83511230,RUA C (JD MARROCOS),BONFIM,ALMIRANTE TAMANDARÉ,PR
83512350,RUA MARTA SCHOLOCHOSKI,RESTINGA SECA,ALMIRANTE TAMANDARÉ,PR
83502140,RUA JORGE SILVA DO PRADO,JARDIM DO ROCIO,ALMIRANTE TAMANDARÉ,PR
83514130,RUA IVANILDE BRITO KEPPEL,AREIAS,ALMIRANTE TAMANDARÉ,PR
83505105,RUA CAÇADOR,JARDIM APUCARANA,ALMIRANTE TAMANDARÉ,PR
83514320,RUA JOÃO DA MARTA,TRANQUEIRA,ALMIRANTE TAMANDARÉ,PR
83503090,RUA CACHOEIRA,VILA ALTO PINHEIROS,ALMIRANTE TAMANDARÉ,PR
83504580,RUA PROFESSORA TEREZINHA CAMARGO,CACHOEIRA,ALMIRANTE TAMANDARÉ,PR
83504040,RUA CAMPINA GRANDE DO SUL,JARDIM ROMA,ALMIRANTE TAMANDARÉ,PR
83504010,RUA CAMPO LARGO,JARDIM ROMA,ALMIRANTE TAMANDARÉ,PR
83508150,AVENIDA DOS CANÁRIOS,LOTEAMENTO MONTPARNASSE,ALMIRANTE TAMANDARÉ,PR
83508440,RUA CÂNDIDO RONDON,TANGUÁ,ALMIRANTE TAMANDARÉ,PR
83506130,RUA CARLOTA RODRIGUES DIAS,CACHOEIRA,ALMIRANTE TAMANDARÉ,PR
83504550,RUA PROFESSORA MAFALDA KLAPOWSKO,CACHOEIRA,ALMIRANTE TAMANDARÉ,PR
83507230,RUA HUMBERTO DE ALENCAR CASTELO BRANCO,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83506150,RUA CATARINA PEDROSA DE MORAES,CACHOEIRA,ALMIRANTE TAMANDARÉ,PR
83511450,RUA CEARÁ,BOTIATUBA,ALMIRANTE TAMANDARÉ,PR
83514030,RUA CEARÁ,TRANQUEIRA,ALMIRANTE TAMANDARÉ,PR
83508320,RUA CECÍLIA MEIRELES,TANGUÁ,ALMIRANTE TAMANDARÉ,PR
83508520,RUA CEZAR AUGUSTO FERRI,PLANTA ALMIRANTE,ALMIRANTE TAMANDARÉ,PR
83501520,RUA CHILE,JARDIM SÃO FRANCISCO,ALMIRANTE TAMANDARÉ,PR
83505640,RUA CHINA,CAMPINA DO ARRUDA,ALMIRANTE TAMANDARÉ,PR
83513240,RUA SÉRGIO FERNANDO DE SIQUEIRA,SUMIDOURO,ALMIRANTE TAMANDARÉ,PR
83502220,RUA JOÃO ALVES BANDEIRA,COLÔNIA ANTÔNIO PRADO,ALMIRANTE TAMANDARÉ,PR
83503370,RUA JAPIRA,VILA TEFÉ,ALMIRANTE TAMANDARÉ,PR
83513150,RUA GERMANO THOALDO,MATO DENTRO,ALMIRANTE TAMANDARÉ,PR
83513350,RUA CINCO,JARDIM TATIANA,ALMIRANTE TAMANDARÉ,PR
83502040,RUA VICENTE MARTINS DOS SANTOS,JARDIM CAMPO VERDE,ALMIRANTE TAMANDARÉ,PR
83507140,RUA JOÃO EVANGELISTA,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83504290,RUA DURVALINO DA SILVA,COLÔNIA SÃO VENÂNCIO,ALMIRANTE TAMANDARÉ,PR
83502520,RUA AMARILDO LAPOLA,JARDIM DAS OLIVEIRAS,ALMIRANTE TAMANDARÉ,PR
83514370,RUA LÍCIO DE BARROS TEIXEIRA,TRANQUEIRA,ALMIRANTE TAMANDARÉ,PR
83514490,RUA JOSÉ CAVASSIN,TRANQUEIRA,ALMIRANTE TAMANDARÉ,PR
83513175,RUA CYRILO DE FREITAS,MATO DENTRO,ALMIRANTE TAMANDARÉ,PR
83512250,RUA CLÁUDIO MANOEL DIAS,RESTINGA SECA,ALMIRANTE TAMANDARÉ,PR
83501540,RUA COLÔMBIA,JARDIM SÃO FRANCISCO,ALMIRANTE TAMANDARÉ,PR
83507410,RUA COLOMBO,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83501590,AVENIDA COLONIAL,JARDIM COLONIAL,ALMIRANTE TAMANDARÉ,PR
83507010,RUA COMENDADOR ANTÔNIO BARROS,BONFIM,ALMIRANTE TAMANDARÉ,PR
83511510,RUA CONGREGAÇÃO,BOTIATUBA,ALMIRANTE TAMANDARÉ,PR
83501010,RUA CORONEL JOÃO CÂNDIDO DE OLIVEIRA,VILA RACHEL,ALMIRANTE TAMANDARÉ,PR
83507020,RUA CORONEL PROCÓPIO GOMES,BONFIM,ALMIRANTE TAMANDARÉ,PR
83507210,RUA CRISTÓVÃO COLOMBO,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83507420,AVENIDA CURITIBA,LAMENHA GRANDE,ALMIRANTE TAMANDARÉ,PR
83504420,RUA CURITIBA,COLÔNIA SÃO VENÂNCIO,ALMIRANTE TAMANDARÉ,PR
83512360,RUA DINARTE JOSÉ BATISTA,RESTINGA SECA,ALMIRANTE TAMANDARÉ,PR
83511240,RUA D (JD MARROCOS),BONFIM,ALMIRANTE TAMANDARÉ,PR
83514140,RUA ANTÔNIO CAMARGO,AREIAS,ALMIRANTE TAMANDARÉ,PR
83505165,AVENIDA DAS SENZALAS,JARDIM APUCARANA,ALMIRANTE TAMANDARÉ,PR
83504330,RUA CATARINA BONFIM MARA,COLÔNIA SÃO VENÂNCIO,ALMIRANTE TAMANDARÉ,PR
83512170,RUA ANTÔNIO CHEVÔNICA,RESTINGA SECA,ALMIRANTE TAMANDARÉ,PR
83502570,RUA JULIETA SOUTO DE ANDRADE,JARDIM DAS OLIVEIRAS,ALMIRANTE TAMANDARÉ,PR
83513290,RUA DEZ,SUMIDOURO,ALMIRANTE TAMANDARÉ,PR
83513400,RUA DEZ,JARDIM TATIANA,ALMIRANTE TAMANDARÉ,PR
83502090,RUA ANÁLIA MENDES DOS SANTOS,JARDIM CAMPO VERDE,ALMIRANTE TAMANDARÉ,PR
83505490,RUA DIAMANTINA,CAMPINA DO ARRUDA,ALMIRANTE TAMANDARÉ,PR
